"NetC","ENEL Brindisi","","","","","","","","","","","","","","",""
"Stat","Terminale Passeggeri","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5

,,,,,

01/01/2012 1.00,"0,992198",,,"0,414347","69,463647","7,1","0,496042","3,6"
01/01/2012 2.00,"0,922023",,,"0,424082","70,04557","7,1","0,486634","3,6"
01/01/2012 3.00,"0,601274",,,"0,395557","70,444808","7,1","0,473058","3,6"
01/01/2012 4.00,"1,126376",,,"0,380759","70,835567","7,1","0,482007","3,6"
01/01/2012 5.00,"2,779893",,,"0,322248","70,111544","7,1","0,489279","3,6"
01/01/2012 6.00,"2,934093",,,"0,432455","68,282928","7,1","0,479515","3,6"
01/01/2012 7.00,"2,381539",,,"0,702812","68,624632","7,1","0,469396","3,6"
01/01/2012 8.00,"0,856313",,,"0,768333","68,770103","7,1","0,478905","3,6"
01/01/2012 9.00,"0,002463",,,"0,813603","61,173165","7,1","0,477075","3,6"
01/01/2012 10.00,,,,"0,910277","50,538099","7,1","1,157041","3,6"
01/01/2012 11.00,,,,"0,887399","67,291669","7,1","0,874417","3,6"
01/01/2012 12.00,,,,"0,87484","70,510743","7,1","0,623014","3,6"
01/01/2012 13.00,,,,"0,849625","73,249439","7,1","0,477024","3,6"
01/01/2012 14.00,,,,"0,842226","74,323628","7,1","0,455769","3,6"
01/01/2012 15.00,"0,064435",,,"0,820624","75,272049","7,1","0,296354","3,6"
01/01/2012 16.00,"1,048596",,,"0,784495","75,612596","7,1","0,460752","3,6"
01/01/2012 17.00,"0,157626",,,"0,810196","74,944433","7,1","0,460294","3,6"
01/01/2012 18.00,"0,261141",,,"0,846997","72,809623","7,1","0,464566","3,6"
01/01/2012 19.00,"0,07835",,,"0,864521","72,873938","7,1","0,46721","3,6"
01/01/2012 20.00,"0,38707",,,"0,904826","71,622139","7,1","0,46126","3,6"
01/01/2012 21.00,"0,279986",,,"0,925465","72,843474","7,1","0,46304","3,6"
01/01/2012 22.00,"0,341024",,,"0,948247","71,361631","7,1","0,498788","3,6"
01/01/2012 23.00,"0,145812","11,037614","15,221733","1,011723","54,526881","7,1","0,447327","3,6"
02/01/2012 0.00,,"42,896312","50,953671","1,327058","11,991722","7,1","0,777751","3,6"
02/01/2012 1.00,,"48,649693","62,73706","1,411564","8,209313","24,9","0,992033","18,5"
02/01/2012 2.00,,"39,409398","50,196785","1,421008","9,601496","24,9","1,518788","18,5"
02/01/2012 3.00,,"30,715762","35,528153","1,34468","16,626693","24,9","1,31071","18,5"
02/01/2012 4.00,,"19,382919","23,401865","1,257644",,"24,9","0,774954","18,5"
02/01/2012 5.00,,"18,631329","20,966265","1,198257","22,411929","24,9","0,709459","18,5"
02/01/2012 6.00,,"15,008574","17,401811","1,132249","21,720085","24,9","0,7089","18,5"
02/01/2012 7.00,,"32,15416","51,021586","0,672048","8,023238","24,9","0,719121","18,5"
02/01/2012 8.00,,"39,601419","75,963108","0,694635","4,318642","24,9","1,010186","18,5"
02/01/2012 9.00,,"48,511798","109,417928","0,797539","6,483886","24,9","3,697151","18,5"
