
Stat, San Pietro In Lama,,,,,
,NO2,NOX,CO,O3,PM10,BENZENE

,,,,,

01/01/2012 1.00,"10,67499045","22,64517352","0,41798686","53,8062672",,"2,69255835"
01/01/2012 2.00,"13,63803788","26,1625652","0,4357333","46,6284567","52,74725","2,45385625"
01/01/2012 3.00,"14,91124633","26,68782984","0,36748294","45,20077485",,"2,11925409"
01/01/2012 4.00,"14,73213973","26,05880096","0,34088832","35,64799665","38,09523","1,77000917"
01/01/2012 5.00,"7,55880711","18,10446797","0,28509647","39,39927495",,"1,56092414"
01/01/2012 6.00,"8,21553131","18,67513878","0,27755543","36,1933698","28,32722","1,23413967"
01/01/2012 7.00,"8,09353042","18,89951581","0,2704932","34,5518439",,"1,22643284"
01/01/2012 8.00,"8,41021115","19,12128104","0,27665022","29,6110269","23,93162","1,14638783"
01/01/2012 9.00,"5,28623259","15,9398182","0,2384091","36,9782427",,"1,23424951"
01/01/2012 10.00,"3,07855326","14,26542435","0,20778824","46,44984435","18,55921","1,25660012"
01/01/2012 11.00,"3,31995665","14,5520561","0,24600839","49,5136656",,"1,17061073"
01/01/2012 12.00,"5,02795581","18,31457765","0,26667666","56,1298437","8,302809","1,30801862"
01/01/2012 13.00,"6,63342397","21,843644","0,2727731","66,1846836",,"1,40204637"
01/01/2012 14.00,"8,79438166","23,36888464","0,31753473","67,04941635","7,814408","1,236672"
01/01/2012 15.00,"5,70284974","17,72575239","0,26159376","70,4664324",,"1,49089861"
01/01/2012 16.00,"5,12399939","16,83732438","0,28199291","70,149786","10,74481","1,37892488"
01/01/2012 17.00,"8,95402028","21,30539688","0,31926592","63,4700073",,"1,49343094"
01/01/2012 18.00,"24,66474264","38,98055584","0,49726511","42,6566112","13,18681","1,82175719"
01/01/2012 19.00,"54,18485632","82,32026136","0,92872519","17,7238613",,"3,44995385"
01/01/2012 20.00,"55,51906904","82,75992576","0,95820435","15,58026971","40,04884","5,52857981"
01/01/2012 21.00,"50,1225064","84,0076396","0,99514184","11,62599816",,"5,94884183"
01/01/2012 22.00,"47,03487496","91,08649456","0,940275","8,46880293","65,93405","5,58902622"
01/01/2012 23.00,"47,88238808","104,49074264","1,18934151","7,92613899",,"5,12450333"
02/01/2012 0.00,"47,82009512","131,32384624","1,4125392","8,10477129","80,58608","6,54031276"
02/01/2012 1.00,"49,00115664","148,96271544","1,76103148","7,77186564",,"7,44249346"
02/01/2012 2.00,,,"1,56390416",,"101,5873","8,47910936"
02/01/2012 3.00,"33,93415688","56,8956708",,"5,03148177",,"7,59619674"
02/01/2012 4.00,"25,25658312","41,43053528","0,86823955","4,60925997","83,51647","4,62045474"
02/01/2012 5.00,"21,84576632","36,87039616","0,83371711","4,66880274",,"4,26317145"
02/01/2012 6.00,"21,74972656","39,56809432","0,88003984","3,60242138","64,46885","3,73214694"
02/01/2012 7.00,"21,191652","52,18635744","0,9071622","3,20861835",,"4,17585997"
