
Stat, Carcere,,,,,
,SO2,NO2,NOX,PM10

,,,,

01/01/2012 1.00,"14,928959","16,844425","17,221878",
01/01/2012 2.00,"7,428359","22,26109","23,669775","18,07081"
01/01/2012 3.00,"11,55612","37,213235","40,86766",
01/01/2012 4.00,"10,013746","22,288987","23,172387","23,68742"
01/01/2012 5.00,"7,795893","18,198114","18,568785",
01/01/2012 6.00,"9,039373","23,745203","24,95703","28,571421"
01/01/2012 7.00,"6,54158","18,892474","20,236034",
01/01/2012 8.00,"6,740246","23,82826","32,453541","27,35042"
01/01/2012 9.00,"11,762916","26,730964","42,613393",
01/01/2012 10.00,"33,81592","30,021726","54,251795","29,05983"
01/01/2012 11.00,"38,063787","24,746519","43,790381",
01/01/2012 12.00,"18,50046","10,998158","16,076001","30,036631"
01/01/2012 13.00,"9,201918","4,466627","6,454394",
01/01/2012 14.00,"6,087353","3,478297","4,617878","18,55921"
01/01/2012 15.00,"4,948627","2,75019","2,948671",
01/01/2012 16.00,"4,545874","4,076617","4,073797","9,76801"
01/01/2012 17.00,"4,41042","6,713244","7,24944",
01/01/2012 18.00,"3,603107","7,640573","7,880419","11,72161"
01/01/2012 19.00,"3,884853","15,025465","15,874321",
01/01/2012 20.00,"4,253291","15,787316","16,924871","13,67521"
01/01/2012 21.00,"3,95529","46,276917","48,326564",
01/01/2012 22.00,"4,905282","59,14791","76,515657","30,76923"
01/01/2012 23.00,"4,971203","54,762394","75,906056",
02/01/2012 0.00,"3,327681","36,571433","39,729562","25,88522"
02/01/2012 1.00,,"30,068435","32,371173",
02/01/2012 2.00,"2,600738",,,"24,664221"
02/01/2012 3.00,"2,600738","14,745772","15,114941",
02/01/2012 4.00,"2,600738","10,556244","10,727925","17,826611"
02/01/2012 5.00,"2,600738","12,615308","13,094904",
02/01/2012 6.00,"3,218414","19,705587","27,351236","12,21001"
02/01/2012 7.00,"4,725578","27,022334","64,47",
02/01/2012 8.00,"4,637983","26,104075","56,84898","20,757021"
02/01/2012 9.00,"4,917924","27,84","71,517116",
02/01/2012 10.00,"5,873334","27,035966","53,911992","21,24542"
02/01/2012 11.00,"9,633569","21,642654","35,928775",
02/01/2012 12.00,"14,55149","16,705558","23,09782","22,46641"
02/01/2012 13.00,"9,542363","13,405072","18,369049",
02/01/2012 14.00,"5,98802","5,969562","7,63464","15,38461"
02/01/2012 15.00,"4,925149","5,349179","7,087317",
02/01/2012 16.00,"6,549707","12,337568","18,136245","10,25641"
02/01/2012 17.00,"4,457376","8,436816","9,237701",
02/01/2012 18.00,"5,862498","67,877413","136,856102","18,55921"
02/01/2012 19.00,"5,459745","56,680663","105,63532",
02/01/2012 20.00,"3,811708","34,421506","48,707875","27,35042"
02/01/2012 21.00,"4,212655","33,06588","48,316181",
02/01/2012 22.00,"3,752107","25,808175","30,978853","23,44322"
02/01/2012 23.00,"2,89874","23,699125","25,607453",
03/01/2012 0.00,"2,89603","23,211775","26,239082","26,12941"
03/01/2012 1.00,"2,600738","14,607545","15,633083",
03/01/2012 2.00,"2,619702","9,561424","9,554812","27,83882"
03/01/2012 3.00,"2,600738","9,001392","8,995168",
