"NetC","Provincia di TARANTO","","","","","",""
"Stat","MANDURIA","","","","","",""
,NO2,NOX,CO,O3,PM10

,,,,

01/01/2012 1.00,"25,665407","39,500084","0,825361","33,45679",
01/01/2012 2.00,,,"0,690708","35,135224","30,28083"
01/01/2012 3.00,"17,200693","27,09365",,"38,812325",
01/01/2012 4.00,"15,13708","24,392722","0,439789",,"39,56044"
01/01/2012 5.00,"12,377796","19,521175","0,357944","40,792721",
01/01/2012 6.00,"10,821658","17,995019","0,31533","41,883448","22,710621"
01/01/2012 7.00,"15,730201","25,196641","0,363532","35,103401",
01/01/2012 8.00,"13,371971","21,542675","0,443401","36,027587","17,3382"
01/01/2012 9.00,"13,410909","22,758936","0,435797","40,070292",
01/01/2012 10.00,"17,327882","31,547674","0,480578","43,390592","13,91941"
01/01/2012 11.00,"16,4025","30,528502","0,450624","51,265436",
01/01/2012 12.00,"26,57003","52,678026","0,646703","48,129995","15,87301"
01/01/2012 13.00,"45,426803","96,03565","0,81845","44,662105",
01/01/2012 14.00,"24,632296","44,943431","0,594622","57,596607","12,21001"
01/01/2012 15.00,"12,85802","21,851272","0,554973","63,652212",
01/01/2012 16.00,"18,994354","32,29712","0,594204","55,825426","15,14041"
01/01/2012 17.00,"37,964042","60,2388","0,839436","39,318077",
01/01/2012 18.00,"62,809217","97,765417","1,40338","23,372023","19,0476"
01/01/2012 19.00,"52,997293","95,4392","1,101545","26,899483",
01/01/2012 20.00,"57,986312","112,691232","1,023349","26,0464","38,827831"
01/01/2012 21.00,"58,710522","114,376872","1,000578","21,739636",
01/01/2012 22.00,"54,432744","94,696198","1,194681","17,767343","35,409031"
01/01/2012 23.00,"44,757107","61,413611","1,309407","20,489109",
02/01/2012 0.00,"38,973785","52,08026","1,30325","16,852636","40,537231"
02/01/2012 1.00,"28,71281","37,648465","0,7398","18,130247",
02/01/2012 2.00,,,"0,863841","12,755088","47,37484"
02/01/2012 3.00,"27,506758","35,608246",,"16,319053",
02/01/2012 4.00,"35,208656","52,228077","0,898259",,"39,804642"
02/01/2012 5.00,"33,825133","57,163159","0,991207","0,20041",
02/01/2012 6.00,"36,967277","139,687662","1,289904","0,073799","27,83882"
02/01/2012 7.00,"49,402177","256,774333","1,746165","0,349362",
02/01/2012 8.00,"71,898211","399,374356","2,955936","5,13616","34,18803"
02/01/2012 9.00,"101,697349","408,725756","3,497007","7,128063",
02/01/2012 10.00,"102,635698","274,136638","2,588137","9,335948","45,909641"
02/01/2012 11.00,"36,518222","89,171169","0,913015","31,749247",
02/01/2012 12.00,"24,938597","54,249537","0,597698","47,98374","80,341881"
02/01/2012 13.00,"26,873732","51,421536","0,601387","50,144227",
02/01/2012 14.00,"20,192287","36,968998","0,535251","60,918923","55,921841"
02/01/2012 15.00,"14,795735","26,429767","0,552403","66,582509",
02/01/2012 16.00,"20,655622","38,837499","0,608461","61,558757","29,05983"
02/01/2012 17.00,"54,449611","99,939895","1,011973","35,030285",
02/01/2012 18.00,"77,248032","154,280257","1,830403","18,916309","22,710621"
02/01/2012 19.00,"93,853024","267,552089","2,080116","6,24518",
02/01/2012 20.00,"112,612438","405,189886","4,043325","16,19522","36,141621"
