"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10

,,,,,

01/01/2012 1.00,"11,426291","20,328766","0,426366","49,662292",
01/01/2012 2.00,"10,111726","17,572708","0,399018","54,379751","11,71875"
01/01/2012 3.00,"9,797231","17,231606","0,354892","54,978649",
01/01/2012 4.00,"8,61325","15,981321","0,350152","55,227008","22,9492"
01/01/2012 5.00,"5,441093","10,758405","0,31492","59,918767",
01/01/2012 6.00,"3,791354","7,812975","0,303091","61,779087","16,601561"
01/01/2012 7.00,"2,231937","4,951849","0,311647","65,134995",
01/01/2012 8.00,"3,235274","6,033526","0,321756","61,406878","14,16015"
01/01/2012 9.00,"5,196244","9,288932","0,322008","58,967972",
01/01/2012 10.00,"4,344169","9,479587","0,312192","65,688547","8,300781"
01/01/2012 11.00,"6,514075","13,746633","0,337947","65,721705",
01/01/2012 12.00,"10,866942","24,082212","0,361898","65,185071","10,74218"
01/01/2012 13.00,"17,907717","39,975349","0,417012","62,195962",
01/01/2012 14.00,"21,263771","46,614539","0,421124","61,347327","6,835938"
01/01/2012 15.00,"7,139802","14,812747","0,302462","75,961263",
01/01/2012 16.00,"4,277788","8,165752","0,287865","76,977713","8,789063"
01/01/2012 17.00,"16,32327","29,185819","0,439159","56,573711",
01/01/2012 18.00,"35,816521","64,077008","0,649636","31,498257","4,882813"
01/01/2012 19.00,"37,32589","66,27409","0,610502","33,039155",
01/01/2012 20.00,"54,233535","114,485241","0,739859","21,702628","9,277344"
01/01/2012 21.00,"64,173336","148,60605","0,81473","14,247129",
01/01/2012 22.00,"53,205163","121,217816","1,548801","12,19124","15,13671"
01/01/2012 23.00,"45,395028","122,901312","1,54427","5,916626",
02/01/2012 0.00,"41,909452","123,455122","1,330983","2,545847","32,71484"
02/01/2012 1.00,"31,168752","76,402181","0,970889","0,177304",
02/01/2012 2.00,"21,502102","37,779569","0,627447","4,360829","56,15234"
02/01/2012 3.00,"16,849968","26,659301",,"16,441085",
02/01/2012 4.00,"13,130441","23,362402","0,378301",,"43,945301"
02/01/2012 5.00,"27,920419","84,731332","0,405428","14,531363",
02/01/2012 6.00,"94,935081","564,314751","0,537449","2,062664","24,90234"
02/01/2012 7.00,,,"1,418471","10,21587",
02/01/2012 8.00,"139,303839","547,594321","1,261634","7,197671","22,9492"
02/01/2012 9.00,"133,213146","430,049328","1,305683","11,467811",
02/01/2012 10.00,"30,778076","73,474891","0,528924","35,158664","54,199211"
02/01/2012 11.00,"18,954584","42,762549","0,429026","59,32324",
02/01/2012 12.00,"16,650823","37,770489","0,435536","67,671355","47,363281"
02/01/2012 13.00,"22,333498","49,483458","0,506627","66,508734",
02/01/2012 14.00,"19,966614","41,281399","0,471984","66,76521","26,36718"
02/01/2012 15.00,"28,531992","52,641605","0,62878","54,146274",
02/01/2012 16.00,"27,750652","49,66374","0,678246","57,293747","17,57811"
02/01/2012 17.00,"23,440221","40,160813","0,441288","61,285763",
02/01/2012 18.00,"23,324869","41,446116","0,51364","58,361612","20,99609"
02/01/2012 19.00,"36,327981","67,844737","0,508223","44,652471",
