"NetC","","","","","","","",""
"Stat","Paolo VI -CISI","","","","","","",""
,SO2,NO2,NOX,PM10,BENZENE,PM2.5

,,,,

01/01/2012 1.00,"1,449016","5,608754","6,853214","7,9",,"4,5"
01/01/2012 2.00,"1,300051","5,626276","6,607438","7,9",,"4,5"
01/01/2012 3.00,"1,30276","5,98968","7,287701","7,9",,"4,5"
01/01/2012 4.00,"1,30276","5,965021","7,250736","7,9",,"4,5"
01/01/2012 5.00,"1,300051","6,3122","7,248143","7,9",,"4,5"
01/01/2012 6.00,"1,300051","4,206404","5,407736","7,9",,"4,5"
01/01/2012 7.00,"1,300051","3,973436","5,237184","7,9",,"4,5"
01/01/2012 8.00,"1,300051","6,451072","7,375895","7,9",,"4,5"
01/01/2012 9.00,"1,300051","3,602892","4,871437","7,9",,"4,5"
01/01/2012 10.00,"2,055707","4,900116","7,076943","7,9",,"4,5"
01/01/2012 11.00,"3,158042","5,225882","7,722836","7,9",,"4,5"
01/01/2012 12.00,"2,479127","4,344628","6,260496","7,9",,"4,5"
01/01/2012 13.00,"1,38943","1,770298","3,055024","7,9",,"4,5"
01/01/2012 14.00,"1,300051","1,833893","3,045296","7,9",,"4,5"
01/01/2012 15.00,"1,300051","2,056478","3,280049","7,9",,"4,5"
01/01/2012 16.00,"1,300051","2,589903","3,629584","7,9",,"4,5"
01/01/2012 17.00,"1,275558","3,240842","4,314527","7,9",,"4,5"
01/01/2012 18.00,"1,300051","3,305031","4,285853","7,9",,"4,5"
01/01/2012 19.00,"1,300051","2,828064","4,0725","7,9",,"4,5"
01/01/2012 20.00,"1,300051","6,890404","8,137868","7,9",,"4,5"
01/01/2012 21.00,"1,300051","6,181115","7,4375","7,9",,"4,5"
01/01/2012 22.00,"1,300051","5,917648","7,188481","7,9",,"4,5"
01/01/2012 23.00,"1,300051","6,539977","7,940079","7,9",,"4,5"
02/01/2012 0.00,"1,288315","8,077957","9,35832","7,9",,"4,5"
02/01/2012 1.00,,"13,353154","14,69083","13,6",,"8,5"
02/01/2012 2.00,"1,179977",,,"13,6",,"8,5"
02/01/2012 3.00,"1,300051","7,467956","8,202067","13,6",,"8,5"
02/01/2012 4.00,"1,30276","9,707434","10,576828","13,6",,"8,5"
02/01/2012 5.00,"1,300051","8,127275","9,405011","13,6",,"8,5"
02/01/2012 6.00,"1,300051","13,024146","14,325732","13,6",,"8,5"
02/01/2012 7.00,"1,29283","10,909258","12,544339","13,6",,"8,5"
02/01/2012 8.00,"1,291927","24,433734","31,4289","13,6",,"8,5"
02/01/2012 9.00,"1,82549","27,371445","48,4822","13,6",,"8,5"
02/01/2012 10.00,"3,190544","10,32522","14,351024","13,6",,"8,5"
02/01/2012 11.00,"11,852138","26,319539","39,371598","13,6",,"8,5"
02/01/2012 12.00,"7,638707","27,0087","40,841064","13,6",,"8,5"
02/01/2012 13.00,"3,443331","12,659443","17,84637","13,6",,"8,5"
02/01/2012 14.00,"3,463193","21,504436","30,03792","13,6",,"8,5"
02/01/2012 15.00,"3,580559","23,216326","31,404295","13,6",,"8,5"
02/01/2012 16.00,"2,854697","20,031335","26,455025","13,6",,"8,5"
