"NetC","Regione-Provincia Lecce","","",""
"Stat","Arnesano Riesci","","",""
"Parm","SO2","NOX","NO2","PM10"
"PtId","1","2","4","6"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Field","Aver","Aver","Aver","Aver"
"2013-01-01 00:00:00","","","",""
"2013-01-01 01:00:00","1.38883452","34.29068752","15.1669247","64"
"2013-01-01 02:00:00","1.41910655","32.62797408","13.00337625","64"
"2013-01-01 03:00:00","1.18023359","42.54465768","13.60558933","64"
"2013-01-01 04:00:00","1.58796211","61.8643852","15.41741582","64"
"2013-01-01 05:00:00","1.57299593","69.51005256","13.59650542","64"
"2013-01-01 06:00:00","1.52266664","71.14942048","11.75871778","64"
"2013-01-01 07:00:00","1.892039","70.77331096","11.54197729","64"
"2013-01-01 08:00:00","1.76320646","74.692758","12.489423","64"
"2013-01-01 09:00:00","1.46351182","59.5479972","11.58610242","64"
"2013-01-01 10:00:00","1.35658749","32.1040096","11.40440124","64"
"2013-01-01 11:00:00","1.36849859","25.57502672","9.96246644","64"
"2013-01-01 12:00:00","1.09176272","34.04686928","21.15270456","64"
"2013-01-01 13:00:00","0.97345308","22.87732856","12.09615902","64"
"2013-01-01 14:00:00","1.25898295","18.23287024","7.97282777","64"
"2013-01-01 15:00:00","0.65950111","16.35744489","6.5062339","64"
"2013-01-01 16:00:00","1.08099371","20.91500472","9.77557418","64"
"2013-01-01 17:00:00","1.33733263","28.63979064","17.72763571","64"
"2013-01-01 18:00:00","1.11441233","34.92491704","24.45319896","64"
"2013-01-01 19:00:00","1.12555255","30.00419384","19.97554352","64"
"2013-01-01 20:00:00","1.01727154","38.39689872","21.36814872","64"
"2013-01-01 21:00:00","1.08170357","50.84139928","25.41231552","64"
"2013-01-01 22:00:00","1.44734152","63.3480972","22.5751752","64"
"2013-01-01 23:00:00","1.82353388","80.49801064","22.75429136","64"
"2013-01-02 00:00:00","1.8378207","84.01670248","20.90221344","64"
"2013-01-02 01:00:00","","75.66416872","21.433042","67.69998169"
"2013-01-02 02:00:00","0.8184816","","","67.69998169"
"2013-01-02 03:00:00","1.03268316","99.01102712","23.62645016","67.69998169"
"2013-01-02 04:00:00","1.16635052","95.6713176","21.30845608","67.69998169"
"2013-01-02 05:00:00","1.00158025","88.03731344","18.43237023","67.69998169"
"2013-01-02 06:00:00","1.0724865","76.27247152","17.53424647","67.69998169"
"2013-01-02 07:00:00","1.05897159","68.60473968","14.68542192","67.69998169"
"2013-01-02 08:00:00","1.33537795","69.060006","13.28111719","67.69998169"
"2013-01-02 09:00:00","1.5667963","106.2040476","18.11309682","67.69998169"
"2013-01-02 10:00:00","1.52754824","89.34858216","26.65698928","67.69998169"
"2013-01-02 11:00:00","0.58002866","26.30393848","14.07412493","67.69998169"
"2013-01-02 12:00:00","0.46839155","22.45062752","12.86320753","67.69998169"
"2013-01-02 13:00:00","0.45820935","17.37686784","9.48744725","67.69998169"
"2013-01-02 14:00:00","0.20642558","16.9384883","9.20840423","67.69998169"
"2013-01-02 15:00:00","0.52356177","15.29003456","8.12857355","67.69998169"
"2013-01-02 16:00:00","0.6655604","21.38061496","13.49397442","67.69998169"
"2013-01-02 17:00:00","0.60557672","29.49449288","20.80099216","67.69998169"
"2013-01-02 18:00:00","0.62075748","40.01555968","31.235866","67.69998169"
"2013-01-02 19:00:00","0.54448248","31.75770816","23.812048","67.69998169"
"2013-01-02 20:00:00","0.4874603","46.95564168","31.67975592","67.69998169"
"2013-01-02 21:00:00","0.78089938","86.3421916","42.08220224","67.69998169"
"2013-01-02 22:00:00","1.18245675","75.96249808","36.75573352","67.69998169"
"2013-01-02 23:00:00","0.98954609","56.749116","28.22999168","67.69998169"
"2013-01-03 00:00:00","0.98028935","62.3611228","22.07809344","67.69998169"
"2013-01-03 01:00:00","1.09433268","64.26379224","19.60954848","67.90000153"
"2013-01-03 02:00:00","1.1596851","68.29088488","20.01707216","67.90000153"
"2013-01-03 03:00:00","1.47163765","71.97041416","19.7341344","67.90000153"
"2013-01-03 04:00:00","1.0556399","63.12246208","22.65305096","67.90000153"
"2013-01-03 05:00:00","0.62446037","44.46417184","20.08066528","67.90000153"
"2013-01-03 06:00:00","0.61853635","37.77437064","15.47711611","67.90000153"
"2013-01-03 07:00:00","0.50430793","35.23747168","12.89955082","67.90000153"
"2013-01-03 08:00:00","0.65019454","42.64710264","16.72307474","67.90000153"
"2013-01-03 09:00:00","1.00472786","54.99430152","17.5511237","67.90000153"
"2013-01-03 10:00:00","0.97010715","62.0498492","21.95478856","67.90000153"
"2013-01-03 11:00:00","0.76423685","47.772754","22.51936392","67.90000153"
"2013-01-03 12:00:00","0.4495079","26.72759944","17.93376843","67.90000153"
"2013-01-03 13:00:00","0.61168584","","","67.90000153"
"2013-01-03 14:00:00","0.32750451","13.15132298","9.18633975","67.90000153"
"2013-01-03 15:00:00","0.43321658","13.76738659","9.49393466","67.90000153"
"2013-01-03 16:00:00","0.61113056","16.32242661","12.20388874","67.90000153"
"2013-01-03 17:00:00","0.36490163","10.9633277","7.72233856","67.90000153"
"2013-01-03 18:00:00","0.35046125","14.15128942","11.77818768","67.90000153"
"2013-01-03 19:00:00","0.45432136","18.13559724","15.62247974","67.90000153"
"2013-01-03 20:00:00","0.84514124","28.54770872","23.70432592","67.90000153"
"2013-01-03 21:00:00","0.96695953","28.11840736","23.68744296","67.90000153"
"2013-01-03 22:00:00","0.87883547","23.7229488","19.66534064","67.90000153"
"2013-01-03 23:00:00","0.69832915","26.44531176","20.03523616","67.90000153"
"2013-01-04 00:00:00","0.92734128","19.24969096","13.80675658","67.90000153"
"2013-01-04 01:00:00","","17.02279221","11.09420218","22.10000038"
"2013-01-04 02:00:00","0.29307804","","","22.10000038"
"2013-01-04 03:00:00","0.65077932","14.9995119","7.86770218","22.10000038"
"2013-01-04 04:00:00","0.4378785","13.16429208","5.90661541","22.10000038"
"2013-01-04 05:00:00","0.32908391","12.80762378","5.3602117","22.10000038"
"2013-01-04 06:00:00","0.36322765","12.00868693","5.17461577","22.10000038"
"2013-01-04 07:00:00","0.23109088","12.14876196","6.18695667","22.10000038"
"2013-01-04 08:00:00","0.25645079","21.9331256","13.60428726","22.10000038"
"2013-01-04 09:00:00","0.36446941","23.21194768","14.00663324","22.10000038"
"2013-01-04 10:00:00","0.67983297","16.75172414","10.6023115","22.10000038"
"2013-01-04 11:00:00","0.28860833","13.73496098","8.62436089","22.10000038"
"2013-01-04 12:00:00","0.40007153","10.69874322","6.56333961","22.10000038"
"2013-01-04 13:00:00","0.41993659","9.20203536","5.6729996","22.10000038"
"2013-01-04 14:00:00","0.2512051","8.54446797","5.75995736","22.10000038"
"2013-01-04 15:00:00","0.2719397","8.58337908","5.42899972","22.10000038"
"2013-01-04 16:00:00","0.31433945","9.69229128","5.81057374","22.10000038"
"2013-01-04 17:00:00","0.2184577","9.06196224","6.01953048","22.10000038"
"2013-01-04 18:00:00","0.5147637","8.09571583","6.21810506","22.10000038"
"2013-01-04 19:00:00","0.17649221","8.87130716","7.80670174","22.10000038"
"2013-01-04 20:00:00","0.26123069","5.68463986","5.3290633","22.10000038"
"2013-01-04 21:00:00","0.40593758","6.89601422","6.62953114","22.10000038"
"2013-01-04 22:00:00","0.2311224","7.56395613","7.09027534","22.10000038"
"2013-01-04 23:00:00","0.17807568","6.25141784","5.60550982","22.10000038"
"2013-01-05 00:00:00","0.37229116","8.58597175","6.73855146","22.10000038"
"2013-01-05 01:00:00","0.33262205","10.85438194","7.36672186","27.10000038"
"2013-01-05 02:00:00","0.27088405","11.19289198","6.26223402","27.10000038"
"2013-01-05 03:00:00","0.27482594","11.13712085","5.43029606","27.10000038"
"2013-01-05 04:00:00","0.32653836","11.16046637","4.97863768","27.10000038"
"2013-01-05 05:00:00","0.36024784","11.13712085","4.81640448","27.10000038"
"2013-01-05 06:00:00","0.25781662","11.46525638","5.18240334","27.10000038"
"2013-01-05 07:00:00","0.47726691","12.13449462","6.12985097","27.10000038"
"2013-01-05 08:00:00","0.43707101","14.76994762","8.68665767","27.10000038"
"2013-01-05 09:00:00","0.59798075","21.79047128","14.52188856","27.10000038"
"2013-01-05 10:00:00","0.38985983","17.04613773","11.52250739","27.10000038"
"2013-01-05 11:00:00","0.20216231","17.64534132","12.2363373","27.10000038"
"2013-01-05 12:00:00","0.16655918","15.41194942","11.66916544","27.10000038"
"2013-01-05 13:00:00","0.28817305","15.35228928","11.77039628","27.10000038"
"2013-01-05 14:00:00","0.49235309","18.99938148","14.88918376","27.10000038"
"2013-01-05 15:00:00","0.34221338","14.29525538","10.27265211","27.10000038"
