"NetC","ARPA Puglia","","",""
"Stat","ASM","","",""
"Parm","SO2","NOX","NO2","PM10"
"PtId","1","2","4","7"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Field","Aver","Aver","Aver","Aver"
"2013-01-01 00:00:00","","","",""
"2013-01-01 01:00:00","10.0104927","6.80819606","4.83999856","20.39999962"
"2013-01-01 02:00:00","9.83584838","7.79092582","5.74568046","20.39999962"
"2013-01-01 03:00:00","9.7401263","9.53016898","7.58476442","20.39999962"
"2013-01-01 04:00:00","9.63611568","9.79019333","7.30678639","20.39999962"
"2013-01-01 05:00:00","9.59202975","7.59508349","5.38357251","20.39999962"
"2013-01-01 06:00:00","9.6028669","7.74034386","5.34723304","20.39999962"
"2013-01-01 07:00:00","9.46610989","7.43031115","5.02585261","20.39999962"
"2013-01-01 08:00:00","9.46921683","10.70263414","6.06755227","20.39999962"
"2013-01-01 09:00:00","9.37748953","11.20715932","7.76687095","20.39999962"
"2013-01-01 10:00:00","9.53604085","9.7610315","6.00265899","20.39999962"
"2013-01-01 11:00:00","9.64982382","8.03994662","4.33748863","20.39999962"
"2013-01-01 12:00:00","11.23916193","10.56385927","6.39591342","20.39999962"
"2013-01-01 13:00:00","12.42755694","6.52637682","3.75474354","20.39999962"
"2013-01-01 14:00:00","13.23563463","5.57538818","3.32444794","20.39999962"
"2013-01-01 15:00:00","12.48534288","11.1578737","7.44199921","20.39999962"
"2013-01-01 16:00:00","12.39323319","8.83239796","5.65223337","20.39999962"
"2013-01-01 17:00:00","12.28126149","8.781816","6.33231838","20.39999962"
"2013-01-01 18:00:00","12.49799436","14.31081906","12.33497355","20.39999962"
"2013-01-01 19:00:00","12.67317261","17.64923033","15.15006086","20.39999962"
"2013-01-01 20:00:00","12.09885237","15.81530876","13.66399519","20.39999962"
"2013-01-01 21:00:00","11.9940912","16.00985476","13.45503462","20.39999962"
"2013-01-01 22:00:00","11.85863697","8.14240687","6.05068078","20.39999962"
"2013-01-01 23:00:00","11.75027562","8.51593519","6.45042454","20.39999962"
"2013-01-02 00:00:00","11.83516461","13.64287715","11.17338002","20.39999962"
"2013-01-02 01:00:00","","12.10725818","9.94559495","26.89999962"
"2013-01-02 02:00:00","11.61482139","","","26.89999962"
"2013-01-02 03:00:00","11.86405758","5.06857625","2.87608394","26.89999962"
"2013-01-02 04:00:00","11.74666527","4.96741233","3.06038162","26.89999962"
"2013-01-02 05:00:00","11.80988199","5.02318346","3.01885106","26.89999962"
"2013-01-02 06:00:00","11.8225233","4.77935183","2.8150854","26.89999962"
"2013-01-02 07:00:00","12.25958922","21.30539688","15.23182181","26.89999962"
"2013-01-02 08:00:00","13.90311207","72.52680616","38.28850744","26.89999962"
"2013-01-02 09:00:00","14.57858313","94.15774016","38.61557416","26.89999962"
"2013-01-02 10:00:00","14.99216652","109.7720308","44.8752136","26.89999962"
"2013-01-02 11:00:00","18.13653729","183.1211308","62.81310048","26.89999962"
"2013-01-02 12:00:00","17.74642626","147.44395648","56.6222548","26.89999962"
"2013-01-02 13:00:00","12.62621772","45.64961184","29.77058568","26.89999962"
"2013-01-02 14:00:00","19.31769126","40.74963384","25.73938224","26.89999962"
"2013-01-02 15:00:00","17.71752312","18.23935574","12.2285459","26.89999962"
"2013-01-02 16:00:00","19.58319945","14.76216578","9.82359406","26.89999962"
"2013-01-02 17:00:00","21.40371081","33.78488704","23.5304104","26.89999962"
"2013-01-02 18:00:00","15.38408781","27.04451344","21.9963172","26.89999962"
"2013-01-02 19:00:00","15.2739162","56.37040616","39.82130048","26.89999962"
"2013-01-02 20:00:00","15.20889939","78.44358576","51.393126","26.89999962"
"2013-01-02 21:00:00","15.32448144","78.07007656","50.22634712","26.89999962"
"2013-01-02 22:00:00","14.26794048","35.29454488","26.80493984","26.89999962"
"2013-01-02 23:00:00","14.09455215","19.49352832","14.79703683","26.89999962"
"2013-01-03 00:00:00","13.57259724","14.34453909","11.70939583","26.89999962"
"2013-01-03 01:00:00","13.51661139","22.78524664","19.6731416","30.5"
"2013-01-03 02:00:00","13.19874804","24.77869784","21.5161184","30.5"
"2013-01-03 03:00:00","14.00425272","51.02036248","25.25916432","30.5"
"2013-01-03 04:00:00","12.64066929","10.59628297","8.5166369","30.5"
"2013-01-03 05:00:00","12.51063567","8.37197115","5.22653039","30.5"
"2013-01-03 06:00:00","11.90018142","7.48743406","5.29272192","30.5"
"2013-01-03 07:00:00","11.82613365","8.74031222","6.25444645","30.5"
"2013-01-03 08:00:00","11.76652728","14.54427426","10.53482173","30.5"
"2013-01-03 09:00:00","11.73763431","26.7967756","18.2454837","30.5"
"2013-01-03 10:00:00","12.44019825","43.7495236","24.47136296","30.5"
"2013-01-03 11:00:00","13.33058175","41.23340808","26.14302456","30.5"
"2013-01-03 12:00:00","13.25112354","32.91588304","21.74582608","30.5"
"2013-01-03 13:00:00","13.85615718","28.4789532","19.37072056","30.5"
"2013-01-03 14:00:00","13.88505015","23.974568","17.76786419","30.5"
"2013-01-03 15:00:00","13.8814398","23.52452144","17.96125152","30.5"
"2013-01-03 16:00:00","13.92478434","27.91737968","21.9106596","30.5"
"2013-01-03 17:00:00","13.82545395","24.46742424","19.17345952","30.5"
"2013-01-03 18:00:00","14.01869412","48.0956908","40.4728336","30.5"
"2013-01-03 19:00:00","14.46660126","54.85034704","37.45657712","30.5"
"2013-01-03 20:00:00","13.82183343","35.11298136","25.7744292","30.5"
"2013-01-03 21:00:00","13.74959592","20.06030248","14.95408086","30.5"
"2013-01-03 22:00:00","13.57620759","19.87483848","15.08516376","30.5"
"2013-01-03 23:00:00","13.43353266","13.09944469","10.19348575","30.5"
"2013-01-04 00:00:00","13.37573655","10.46918086","8.06238202","30.5"
"2013-01-04 01:00:00","","9.60798738","7.63408446","19.89999962"
"2013-01-04 02:00:00","13.15720359","","","19.89999962"
"2013-01-04 03:00:00","13.19332743","10.86346011","8.3232553","19.89999962"
"2013-01-04 04:00:00","13.24389267","10.98018771","8.24148671","19.89999962"
"2013-01-04 05:00:00","13.29446808","8.03735203","5.72751072","19.89999962"
"2013-01-04 06:00:00","13.3721262","8.36548756","5.95982828","19.89999962"
"2013-01-04 07:00:00","13.41366048","11.26033395","8.11170015","19.89999962"
"2013-01-04 08:00:00","13.46242563","17.70111054","13.17339702","19.89999962"
"2013-01-04 09:00:00","14.52981798","29.57361144","21.39411368","19.89999962"
"2013-01-04 10:00:00","14.60386575","33.02226672","22.73092672","19.89999962"
"2013-01-04 11:00:00","14.95785294","30.53077776","20.25328064","19.89999962"
"2013-01-04 12:00:00","15.48161811","34.99625376","23.77700104","19.89999962"
"2013-01-04 13:00:00","15.4761975","29.37516496","19.58358352","19.89999962"
"2013-01-04 14:00:00","15.42021165","24.58933336","16.95020313","19.89999962"
"2013-01-04 15:00:00","15.45091488","23.00053784","16.34669562","19.89999962"
"2013-01-04 16:00:00","15.46716654","19.35473624","14.36225186","19.89999962"
"2013-01-04 17:00:00","15.44910462","21.49216104","16.32463306","19.89999962"
"2013-01-04 18:00:00","14.98855617","23.5556488","18.7633317","19.89999962"
"2013-01-04 19:00:00","16.30336428","49.9840776","38.1457384","19.89999962"
"2013-01-04 20:00:00","15.83018469","34.12080632","26.53238424","19.89999962"
"2013-01-04 21:00:00","15.4310427","20.9487324","16.96448386","19.89999962"
"2013-01-04 22:00:00","15.3714465","18.92934492","15.4394803","19.89999962"
"2013-01-04 23:00:00","15.41118069","15.23685802","12.26878394","19.89999962"
"2013-01-05 00:00:00","15.23779236","10.99834598","8.55168003","19.89999962"
"2013-01-05 01:00:00","15.20166852","10.44453709","8.27652985","21"
"2013-01-05 02:00:00","15.06260394","8.02957019","6.06236119","21"
"2013-01-05 03:00:00","14.83142967","9.03732038","7.13310605","21"
"2013-01-05 04:00:00","14.73750972","9.59372194","7.43421163","21"
"2013-01-05 05:00:00","14.77905417","4.92461221","3.03312606","21"
"2013-01-05 06:00:00","15.61526208","5.72614364","3.71061649","21"
"2013-01-05 07:00:00","15.65680653","18.5169074","15.00339326","21"
"2013-01-05 08:00:00","15.87352923","17.99811679","12.48552634","21"
"2013-01-05 09:00:00","16.39728423","20.58428608","17.01769099","21"
"2013-01-05 10:00:00","17.71391277","60.44809032","36.3001804","21"
"2013-01-05 11:00:00","16.80365709","25.09905344","18.8087589","21"
"2013-01-05 12:00:00","17.93244573","42.73660336","30.2352208","21"
"2013-01-05 13:00:00","18.00108306","31.86277256","22.42592448","21"
"2013-01-05 14:00:00","17.849367","28.50749936","21.22407952","21"
"2013-01-05 15:00:00","18.60250635","24.21970552","17.63808337","21"
"2013-01-05 16:00:00","18.63319941","19.38068208","13.73538162","21"
"2013-01-05 17:00:00","18.52844841","19.26785496","14.37523051","21"
"2013-01-05 18:00:00","18.63681993","29.9069304","23.99634568","21"
"2013-01-05 19:00:00","18.89508708","49.59628576","36.39231968","21"
"2013-01-05 20:00:00","18.8372808","37.45271488","28.82313232","21"
"2013-01-05 21:00:00","18.78670539","31.97041816","25.72381856","21"
"2013-01-05 22:00:00","18.38035287","24.91617064","20.31687376","21"
"2013-01-05 23:00:00","18.4850937","24.06016824","19.34087424","21"
"2013-01-06 00:00:00","17.94328695","14.82052958","12.3881826","21"
"2013-01-06 01:00:00","","13.16299574","10.59192743","14"
"2013-01-06 02:00:00","18.32617728","","","14"
"2013-01-06 03:00:00","18.63139932","4.91164311","2.75019021","14"
"2013-01-06 04:00:00","18.72711936","4.13216086","2.16744702","14"
"2013-01-06 05:00:00","18.62597871","4.49142375","2.64376446","14"
"2013-01-06 06:00:00","18.55554129","3.75603796","1.8598502","14"
"2013-01-06 07:00:00","18.80658774","4.88829759","2.91112707","14"
"2013-01-06 08:00:00","18.54651033","8.01789743","5.77033952","14"
"2013-01-06 09:00:00","18.11847537","8.70399569","6.14412596","14"
"2013-01-06 10:00:00","18.31533606","12.12541644","8.58931775","14"
"2013-01-06 11:00:00","18.6133374","11.58068764","7.46536002","14"
"2013-01-06 12:00:00","18.75781242","11.01520599","7.19280634","14"
"2013-01-06 13:00:00","19.07026533","10.35245134","6.38034018","14"
"2013-01-06 14:00:00","19.41523173","11.57160755","7.47184935","14"
