"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-01 01:00:00","1.620662","35.863288","7.417651","25.418433",""
"2013-01-01 02:00:00","0.518864","33.201248","4.053441","27.923383","31.746031"
"2013-01-01 03:00:00","0.473746","21.36375","1.390281","20.171771",""
"2013-01-01 04:00:00","0.308612","11.336856","0.421476","11.62868","66.178261"
"2013-01-01 05:00:00","0.314928","10.77786","0.421476","11.069443",""
"2013-01-01 06:00:00","0.122722","15.960569","1.270343","14.950429","65.445663"
"2013-01-01 07:00:00","0.235519","20.381288","1.53007","18.974144",""
"2013-01-01 08:00:00","0.096554","19.167972","1.738274","17.440433","42.002441"
"2013-01-01 09:00:00","0.224691","16.053952","2.164819","13.669742",""
"2013-01-01 10:00:00","0.336585","11.565124","1.592151","10.058649","44.200241"
"2013-01-01 11:00:00","0.602785","7.555526","1.01526","6.933486",""
"2013-01-01 12:00:00","0.649708","6.292921","0.910102","5.831862","21.97802"
"2013-01-01 13:00:00","0.609102","6.185272","0.643195","6.134193",""
"2013-01-01 14:00:00","0.534205","6.259199","0.772425","6.009628","10.98901"
"2013-01-01 15:00:00","0.628954","6.565286","0.524946","6.696034",""
"2013-01-01 16:00:00","0.467429","7.986122","0.552819","8.074686","5.372406"
"2013-01-01 17:00:00","0.596468","41.743127","4.433952","35.884531",""
"2013-01-01 18:00:00","0.58925","80.262606","10.395017","65.263788","2.686203"
"2013-01-01 19:00:00","0.614516","90.371216","11.89383","73.074401",""
"2013-01-01 20:00:00","0.567593","56.642768","4.426349","50.802527","13.18681"
"2013-01-01 21:00:00","0.483672","57.62263","4.634554","51.46299",""
"2013-01-01 22:00:00","0.555862","58.677062","4.958896","52.019631","38.09523"
"2013-01-01 23:00:00","0.596468","65.791633","6.880458","56.185417",""
"2013-01-02 00:00:00","0.649708","92.507358","16.876374","67.55719","55.433441"
"2013-01-02 01:00:00","0.649708","70.045699","8.157558","58.479512",""
"2013-01-02 02:00:00","","63.561475","7.490713","53.016796","65.934052"
"2013-01-02 03:00:00","0.641588","","","",""
"2013-01-02 04:00:00","0.504427","38.177094","2.05037","35.978601","66.42247"
"2013-01-02 05:00:00","0.470137","27.060075","0.630103","27.038433",""
"2013-01-02 06:00:00","0.367266","39.509719","3.272991","35.433623","71.062271"
"2013-01-02 07:00:00","0.698437","70.819349","13.099548","51.661514",""
"2013-01-02 08:00:00","2.237885","138.146605","53.193465","57.425886","57.631241"
"2013-01-02 09:00:00","3.774627","195.099907","87.680238","61.425602",""
"2013-01-02 10:00:00","1.15233","98.664074","29.148601","54.863864","37.606831"
"2013-01-02 11:00:00","0.644295","43.984948","6.581034","34.828972",""
"2013-01-02 12:00:00","0.630759","30.855644","4.410724","25.027888","77.411461"
"2013-01-02 13:00:00","0.649708","16.986477","2.056282","14.76942",""
"2013-01-02 14:00:00","2.14311","17.424446","1.853966","15.522391","38.58363"
"2013-01-02 15:00:00","0.649708","22.998587","3.183035","19.0533",""
"2013-01-02 16:00:00","0.649708","23.001837","1.510221","21.626345",""
"2013-01-02 17:00:00","0.649708","57.858669","4.504057","51.899595",""
"2013-01-02 18:00:00","0.880716","81.259348","10.231572","66.512017","2.197802"
