"NetC","SIMAGE Brindisi","","","","",""
"Stat","MESAGNE 2","","","","",""
"Parm","NOX","NO2","CO","O3","BENZENE","TOLUENE"
"PtId","1","3","4","5","6","7"
"Unit","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"2013-01-01 00:00:00","","","","","",""
"2013-01-01 01:00:00","","","0.99705011","25.22759295","1.002762","3.8687697"
"2013-01-01 02:00:00","","","0.80722967","29.0742921","0.85789035","3.4503759"
"2013-01-01 03:00:00","","","0.67359718","32.28494535","0.5584347","2.6877276"
"2013-01-01 04:00:00","","","0.58998746","34.96187625","0.49634685","2.31240375"
"2013-01-01 05:00:00","","","0.52200621","35.92693755","0.44783595","2.12171625"
"2013-01-01 06:00:00","","","0.48438953","35.50655115","0.44254755","2.05764525"
"2013-01-01 07:00:00","","","0.46538372","34.5652104","0.38590065","1.86207615"
"2013-01-01 08:00:00","","","0.46394145","33.39967155","0.4245975","2.0227113"
"2013-01-01 09:00:00","","","0.53437269","33.34979655","0.5047371","2.28382605"
"2013-01-01 10:00:00","","","0.71441412","39.61800675","0.8388216","3.3592527"
"2013-01-01 11:00:00","","","0.69396604","50.7681615","0.91850355","4.0617963"
"2013-01-01 12:00:00","","","0.69801558","56.0239491","0.9164187","3.94682445"
"2013-01-01 13:00:00","","","0.73138467","55.7067441","0.9893376","3.59016255"
"2013-01-01 14:00:00","","","0.57110048","65.19322845","0.86928075","3.029643"
"2013-01-01 15:00:00","","","0.54417267","76.43641005","0.45058185","1.894671"
"2013-01-01 16:00:00","","","0.48140596","86.3593206","0.4494123","1.44185175"
"2013-01-01 17:00:00","","","0.59307005","64.80583935","0.5358573","2.65360725"
"2013-01-01 18:00:00","","","0.74106582","42.54447225","0.72262935","3.20126175"
"2013-01-01 19:00:00","","","1.42408668","28.30799265","1.68257565","5.9424327"
"2013-01-01 20:00:00","","","1.61203031","25.08044175","1.89563715","6.36647085"
"2013-01-01 21:00:00","","","1.67517214","20.49704895","2.2226535","6.53508945"
"2013-01-01 22:00:00","","","1.81650994","17.48602338","1.90062045","6.15422295"
"2013-01-01 23:00:00","","","1.4691116","8.33702919","1.8762633","6.1244757"
"2013-01-02 00:00:00","","","1.54519426","9.91021238","1.79637795","6.50040975"
"2013-01-02 01:00:00","","","1.26273535","8.39285129","1.69528815","6.57617625"
"2013-01-02 02:00:00","","","1.17562946","8.84873672","1.0946988","4.79642625"
"2013-01-02 03:00:00","","","1.01105807","9.35536896","0.91667295","4.58173755"
"2013-01-02 04:00:00","","","0.98399162","","0.90111285","4.3510311"
"2013-01-02 05:00:00","","","0.86203476","11.41150374","0.82402425","4.4988012"
"2013-01-02 06:00:00","","","0.82898138","17.22298064","0.70849305","4.1568858"
"2013-01-02 07:00:00","","","1.01034625","14.44960944","0.8191935","7.246125"
"2013-01-02 08:00:00","","","1.31129721","9.01789476","1.14671835","11.46753945"
"2013-01-02 09:00:00","","","1.33553736","13.62072684","1.3968495","12.79431765"
"2013-01-02 10:00:00","","","0.69530928","46.07566215","0.9441828","9.84522105"
"2013-01-02 11:00:00","32.67401504","","0.5325949","70.4337942","0.32274495","3.40964505"
"2013-01-02 12:00:00","51.9076452","","0.53706034","66.6590148","0.5173479","4.28070555"
"2013-01-02 13:00:00","","","0.49952288","71.6297568","0.29620125","2.49058215"
"2013-01-02 14:00:00","23.46259176","","0.52346712","59.2202184","0.4677183","3.7203894"
"2013-01-02 15:00:00","","","0.44787959","89.18007105","0.37349325","2.6240634"
"2013-01-02 16:00:00","","","0.5632775","79.8948822","0.58004595","2.6500986"
"2013-01-02 17:00:00","","","0.68009671","47.66491905","0.5798934","3.74179725"
"2013-01-02 18:00:00","21.78894168","","1.10632361","30.5358291","1.0951056","5.17963185"
"2013-01-02 19:00:00","18.49375882","","1.05345475","22.4077203","1.50134625","6.3612333"
"2013-01-02 20:00:00","","","1.25959451","16.88043315","1.4303088","5.9865705"
"2013-01-02 21:00:00","","","2.11534642","18.80715827","1.88363655","7.8153399"
"2013-01-02 22:00:00","","","2.13757229","10.80083624","2.58607845","10.5836139"
"2013-01-02 23:00:00","","","2.27254803","14.72195487","2.0030832","9.65056725"
"2013-01-03 00:00:00","","","2.87446858","18.43500698","2.4735474","9.92169945"
"2013-01-03 01:00:00","","","2.19798686","7.09032177","2.1856347","9.12213405"
"2013-01-03 02:00:00","","","1.98829152","7.13937882","1.6793721","7.8839874"
"2013-01-03 03:00:00","","","1.57540154","8.36071184","1.59714765","7.0198425"
"2013-01-03 04:00:00","","","1.35643979","8.08075149","0.9026892","5.2276851"
"2013-01-03 05:00:00","","","1.23489884","10.38808869","0.78609015","4.7173545"
"2013-01-03 06:00:00","","","1.06684992","9.98464184","0.8925192","4.94155215"
"2013-01-03 07:00:00","","","1.20583675","8.40299985","0.74632545","5.3359956"
"2013-01-03 08:00:00","","","1.62986995","9.33506984","1.0548324","10.23686775"
"2013-01-03 09:00:00","","","1.98603958","12.80030304","2.1394629","19.11904065"
"2013-01-03 10:00:00","","","1.36888665","14.81837721","1.15546455","14.0466006"
"2013-01-03 11:00:00","","","1.00447815","26.69675085","1.02752595","9.86561292"
"2013-01-03 12:00:00","","","0.7929456","43.895187","0.79046325","6.7962042"
"2013-01-03 13:00:00","","","0.70844815","49.98494445","0.51343245","4.5725337"
