"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
"Parm","SO2","NOX","NO2","PM10"
"PtId","1","2","4","6"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Field","Aver","Aver","Aver","Aver"
"2013-01-01 00:00:00","","","",""
"2013-01-01 01:00:00","0.62492311","12.28753874","10.35442453","55.59999084"
"2013-01-01 02:00:00","0.7228175","11.7609663","9.90016774","55.59999084"
"2013-01-01 03:00:00","0.54429332","11.21883017","9.75480794","55.59999084"
"2013-01-01 04:00:00","0.575263","9.6832131","8.7074239","55.59999084"
"2013-01-01 05:00:00","0.29599683","8.43941313","7.51078723","55.59999084"
"2013-01-01 06:00:00","0.40136719","7.62231993","6.65289386","55.59999084"
"2013-01-01 07:00:00","0.61655727","7.4173975","6.24146779","55.59999084"
"2013-01-01 08:00:00","0.48537851","7.48613773","6.30246633","55.59999084"
"2013-01-01 09:00:00","0.62100664","7.99455191","6.98384959","55.59999084"
"2013-01-01 10:00:00","0.67653993","9.84274082","7.9364883","55.59999084"
"2013-01-01 11:00:00","0.69131287","12.69608534","8.7697226","55.59999084"
"2013-01-01 12:00:00","0.72548712","12.1370892","7.79372117","55.59999084"
"2013-01-01 13:00:00","0.59893571","10.74284159","6.25055362","55.59999084"
"2013-01-01 14:00:00","0.4595701","9.32913938","5.5393183","55.59999084"
"2013-01-01 15:00:00","0.70252631","7.23193159","4.7320413","55.59999084"
"2013-01-01 16:00:00","0.66158901","5.38633535","3.65740362","55.59999084"
"2013-01-01 17:00:00","0.56369361","8.78570692","7.56270186","55.59999084"
"2013-01-01 18:00:00","0.59573216","17.3042367","15.40703175","55.59999084"
"2013-01-01 19:00:00","0.80985439","42.51741168","36.57921768","55.59999084"
"2013-01-01 20:00:00","0.70519594","37.40734312","29.8860896","55.59999084"
"2013-01-01 21:00:00","1.12756722","52.441858","31.50714056","55.59999084"
"2013-01-01 22:00:00","1.15586728","43.81957928","29.83936032","55.59999084"
"2013-01-01 23:00:00","0.88817051","30.01587616","22.14686808","55.59999084"
"2013-01-02 00:00:00","0.70626379","17.85026183","13.65750586","55.59999084"
"2013-01-02 01:00:00","","16.56106906","12.5672892","77.09999084"
"2013-01-02 02:00:00","0.32303886","13.35754174","11.52510198","77.09999084"
"2013-01-02 03:00:00","0.3656237","19.86055584","17.03975356","77.09999084"
"2013-01-02 04:00:00","0.61703424","34.82635344","27.96005552","77.09999084"
"2013-01-02 05:00:00","0.35689276","31.03919768","25.68487112","77.09999084"
"2013-01-02 06:00:00","0.36366395","24.56988832","22.0975576","77.09999084"
"2013-01-02 07:00:00","0.59565283","20.48960384","18.03003381","77.09999084"
"2013-01-02 08:00:00","0.56732226","30.86279656","21.15012336","77.09999084"
"2013-01-02 09:00:00","0.63111054","48.47051928","27.2410288","77.09999084"
"2013-01-02 10:00:00","0.67993162","57.68811832","24.45579928","77.09999084"
"2013-01-02 11:00:00","0.35208235","35.3243912","24.95288104","77.09999084"
"2013-01-02 12:00:00","0.52010499","28.47117136","20.19486904","77.09999084"
"2013-01-02 13:00:00","0.53578509","18.82429008","13.96639329","77.09999084"
"2013-01-02 14:00:00","0.63895059","17.50786087","13.2240134","77.09999084"
"2013-01-02 15:00:00","0.46184004","12.4029681","9.6029569","77.09999084"
"2013-01-02 16:00:00","0.50121828","11.79598458","9.8417657","77.09999084"
"2013-01-02 17:00:00","0.40500093","13.17077758","11.4783727","77.09999084"
"2013-01-02 18:00:00","0.58531808","20.5803856","18.71400974","77.09999084"
"2013-01-02 19:00:00","0.64554278","26.22351976","23.46939848","77.09999084"
"2013-01-02 20:00:00","0.79913318","26.0665828","20.48170728","77.09999084"
"2013-01-02 21:00:00","0.63449613","23.0524104","16.5945826","77.09999084"
"2013-01-02 22:00:00","1.30480592","65.92780584","30.5103576","77.09999084"
"2013-01-02 23:00:00","1.53661683","79.33851648","32.46495696","77.09999084"
"2013-01-03 00:00:00","1.02167922","37.27115136","23.66019696","77.09999084"
"2013-01-03 01:00:00","0.80447853","28.25718032","19.50050712","51.20000076"
"2013-01-03 02:00:00","0.56393667","","","51.20000076"
"2013-01-03 03:00:00","0.46397879","","","51.20000076"
"2013-01-03 04:00:00","0.45898939","16.54809806","13.33823246","51.20000076"
"2013-01-03 05:00:00","0.25550905","14.72195833","12.02737673","51.20000076"
"2013-01-03 06:00:00","0.41658252","13.26805058","10.69316592","51.20000076"
"2013-01-03 07:00:00","0.44348828","13.55208774","10.06499935","51.20000076"
"2013-01-03 08:00:00","0.46843325","19.73086488","12.89435401","51.20000076"
"2013-01-03 09:00:00","0.54415907","19.34825456","14.90995382","51.20000076"
"2013-01-03 10:00:00","0.38949981","15.7841814","12.50889098","51.20000076"
"2013-01-03 11:00:00","0.50317804","15.9916965","11.17467253","51.20000076"
"2013-01-03 12:00:00","0.24553126","15.2718763","10.58804225","51.20000076"
"2013-01-03 13:00:00","0.05487935","17.7361269","11.82880214","51.20000076"
"2013-01-03 14:00:00","0.00997779","12.45744289","8.46731877","51.20000076"
"2013-01-03 15:00:00","0.0561262","9.37972134","6.58929692","51.20000076"
"2013-01-03 16:00:00","0.11510406","6.80133581","5.15904253","51.20000076"
"2013-01-03 17:00:00","0.32535559","7.53023418","6.49844633","51.20000076"
"2013-01-03 18:00:00","0.61347067","11.40300166","9.67563776","51.20000076"
"2013-01-03 19:00:00","0.39626998","18.83725918","15.60301366","51.20000076"
"2013-01-03 20:00:00","0.32874017","15.03063926","11.19284991","51.20000076"
"2013-01-03 21:00:00","0.54504996","16.64537297","12.22725338","51.20000076"
"2013-01-03 22:00:00","0.58496213","24.67753392","19.19162352","51.20000076"
"2013-01-03 23:00:00","0.8484892","21.50902488","16.15071371","51.20000076"
"2013-01-04 00:00:00","0.44812071","13.18374668","8.86836077","51.20000076"
"2013-01-04 01:00:00","","13.05404998","8.02733889","20.60000038"
"2013-01-04 02:00:00","0.20048935","12.53136846","7.1746366","20.60000038"
"2013-01-04 03:00:00","0.23573857","11.30443041","5.55878628","20.60000038"
"2013-01-04 04:00:00","0.24056932","9.82069164","3.59640317","20.60000038"
"2013-01-04 05:00:00","0.27698097","9.96076476","3.49646675","20.60000038"
"2013-01-04 06:00:00","0.32224967","9.42122322","3.61327657","20.60000038"
"2013-01-04 07:00:00","0.23341167","10.35893685","4.13112647","20.60000038"
"2013-01-04 08:00:00","0.24602654","11.97367056","6.44782804","20.60000038"
"2013-01-04 09:00:00","0.29872138","19.44683728","12.60493266","20.60000038"
"2013-01-04 10:00:00","0.26409863","18.31717414","11.98584426","20.60000038"
"2013-01-04 11:00:00","0.29934683","13.25767416","7.22784947","20.60000038"
"2013-01-04 12:00:00","0.18161281","10.10343246","5.34723304","20.60000038"
"2013-01-04 13:00:00","0.21435614","8.68583934","4.77227552","20.60000038"
"2013-01-04 14:00:00","0.30534103","7.87393339","4.74112713","20.60000038"
"2013-01-04 15:00:00","0.22428715","6.94789252","4.30634024","20.60000038"
"2013-01-04 16:00:00","0.20952539","6.64050984","4.1687661","20.60000038"
"2013-01-04 17:00:00","0.17132382","6.66774628","4.41276407","20.60000038"
"2013-01-04 18:00:00","0.24056932","6.90120148","4.44650896","20.60000038"
"2013-01-04 19:00:00","0.1735602","8.06718306","5.23301972","20.60000038"
"2013-01-04 20:00:00","0.27510257","9.01138028","5.86508486","20.60000038"
"2013-01-04 21:00:00","0.31366111","13.02032804","9.4069769","20.60000038"
"2013-01-04 22:00:00","0.19896893","14.74011659","10.94625354","20.60000038"
"2013-01-04 23:00:00","0.2408378","12.4613319","8.7100204","20.60000038"
"2013-01-05 00:00:00","0.18000188","10.57682837","6.75542486","20.60000038"
"2013-01-05 01:00:00","0.1956586","10.36023318","6.41019032","20.20000076"
"2013-01-05 02:00:00","0.1561156","8.7234522","4.57370094","20.20000076"
"2013-01-05 03:00:00","0.21784547","8.77792508","4.3790211","20.20000076"
"2013-01-05 04:00:00","0.22992336","9.86349367","4.26221128","20.20000076"
"2013-01-05 05:00:00","0.18062835","9.66635309","4.38291393","20.20000076"
"2013-01-05 06:00:00","0.22589706","10.24350558","4.40627666","20.20000076"
"2013-01-05 07:00:00","0.11290429","10.88291471","4.39459434","20.20000076"
"2013-01-05 08:00:00","0.22035034","10.99964231","4.38031934","20.20000076"
"2013-01-05 09:00:00","0.22713983","15.0449066","9.19023258","20.20000076"
"2013-01-05 10:00:00","0.18286474","16.27573557","10.35701911","20.20000076"
"2013-01-05 11:00:00","0.23904788","29.33107424","19.70428808","20.20000076"
"2013-01-05 12:00:00","0.20889892","18.07852978","13.47190994","20.20000076"
"2013-01-05 13:00:00","0.14323225","18.4131489","13.3057839","20.20000076"
"2013-01-05 14:00:00","0.18170231","16.18364982","12.60881975","20.20000076"
"2013-01-05 15:00:00","0.19878994","15.63373377","12.0014175","20.20000076"
"2013-01-05 16:00:00","0.15352022","7.23841518","4.52178631","20.20000076"
"2013-01-05 17:00:00","0.11863","7.45760495","5.3173829","20.20000076"
"2013-01-05 18:00:00","0.10699959","8.14500146","6.21551048","20.20000076"
"2013-01-05 19:00:00","0.09939446","10.02820865","7.56140361","20.20000076"
"2013-01-05 20:00:00","0.14833148","12.21879852","8.79438166","20.20000076"
"2013-01-05 21:00:00","0.3334326","12.58843592","8.77491368","20.20000076"
"2013-01-05 22:00:00","0.13276528","12.1500583","8.50884932","20.20000076"
