"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
"Parm","NOX","NO","NO2","CO","O3","PM10"
"PtId","1","2","3","5","6","25"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"2013-01-01 01:00:00","18.649198","1.473535","16.40121","0.792914","37.201045",""
"2013-01-01 02:00:00","27.258515","3.304034","22.20789","0.79469","32.031526","50.78125"
"2013-01-01 03:00:00","53.370504","12.808417","33.755058","0.902264","20.929817",""
"2013-01-01 04:00:00","36.303616","4.659145","29.180057","0.794571","22.355683","78.613281"
"2013-01-01 05:00:00","33.765437","5.186977","25.830252","0.806291","20.782291",""
"2013-01-01 06:00:00","43.510905","7.811764","31.555165","0.854357","5.380658","58.59375"
"2013-01-01 07:00:00","102.712603","43.331394","36.298886","0.775708","3.393787",""
"2013-01-01 08:00:00","37.240032","8.769308","23.810761","0.748638","6.551396","50.292969"
"2013-01-01 09:00:00","40.634215","11.383099","23.19687","0.777208","7.695741",""
"2013-01-01 10:00:00","41.657528","10.312205","25.863994","0.891017","24.774982","39.0625"
"2013-01-01 11:00:00","17.334066","2.887011","12.916423","0.688024","63.016834",""
"2013-01-01 12:00:00","18.025353","3.627162","12.472551","0.720501","67.217278","44.921875"
"2013-01-01 13:00:00","26.877204","6.164823","17.436912","0.831744","64.837904",""
"2013-01-01 14:00:00","25.708631","5.801091","16.825613","0.801398","68.211391","23.4375"
"2013-01-01 15:00:00","13.705129","2.022515","10.611402","0.791453","71.533441",""
"2013-01-01 16:00:00","13.965823","1.823732","11.177274","0.780089","69.991187","12.207031"
"2013-01-01 17:00:00","20.502573","2.491983","16.693232","0.801477","62.350257",""
"2013-01-01 18:00:00","55.422317","8.684719","42.135419","1.046853","29.275218","11.230469"
"2013-01-01 19:00:00","63.298843","9.136422","49.324331","1.06694","22.335379",""
"2013-01-01 20:00:00","70.404972","12.280584","51.611183","1.096733","21.942881","20.996094"
"2013-01-01 21:00:00","72.410091","13.548568","51.672181","0.998275","23.094668",""
"2013-01-01 22:00:00","47.87652","7.403201","36.550676","0.864854","35.139059","41.992188"
"2013-01-01 23:00:00","49.290222","8.3083","36.57663","0.877876","28.733836",""
"2013-01-02 00:00:00","47.562651","7.579992","35.965334","0.908656","24.565197","43.457031"
"2013-01-02 01:00:00","51.867309","9.237083","37.730439","1.092432","16.383564",""
"2013-01-02 02:00:00","","","","0.956406","24.236983","41.503906"
"2013-01-02 03:00:00","24.853924","0.923708","23.453847","0.815525","28.331184",""
"2013-01-02 04:00:00","15.388604","0.370498","14.830784","0.73601","","38.085938"
"2013-01-02 05:00:00","24.38442","4.388461","17.667933","0.749585","18.559242",""
"2013-01-02 06:00:00","306.043196","156.684446","65.848838","0.907236","3.052716","31.25"
"2013-01-02 07:00:00","586.52302","312.53738","107.392431","1.219185","1.909047",""
"2013-01-02 08:00:00","322.554997","159.146822","78.593946","1.11307","0.980578","24.414063"
"2013-01-02 09:00:00","192.722642","81.208514","68.255095","1.469651","2.798944",""
"2013-01-02 10:00:00","201.290465","82.326773","75.113049","1.640601","14.993567","40.039063"
"2013-01-02 11:00:00","57.234193","11.994675","38.86997","0.905223","50.098789",""
"2013-01-02 12:00:00","37.815888","8.710942","24.47657","0.789993","67.615191","47.363281"
"2013-01-02 13:00:00","47.499101","12.525046","28.314379","0.761265","67.20036",""
"2013-01-02 14:00:00","46.991984","11.865253","28.81925","0.767737","63.991324","29.785156"
"2013-01-02 15:00:00","28.078203","4.862157","20.637465","0.717344","71.206585",""
"2013-01-02 16:00:00","37.164805","7.561382","25.588847","0.757398","67.181411","19.042969"
"2013-01-02 17:00:00","63.547865","14.809785","40.868696","0.835138","46.303024",""
"2013-01-02 18:00:00","128.405678","40.427466","66.46533","1.156874","19.83555","17.578125"
"2013-01-02 19:00:00","202.277448","77.574583","83.39218","1.332875","12.489677",""
"2013-01-02 20:00:00","246.085356","102.581532","88.861412","1.577383","5.086282","29.296875"
"2013-01-02 21:00:00","114.946969","30.4257","68.343349","1.371074","17.574606",""
"2013-01-02 22:00:00","199.206217","76.721086","81.628373","1.523912","10.154968","42.96875"
"2013-01-02 23:00:00","85.582164","21.041434","53.356821","1.414482","5.838802",""
