Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
01/01/2014 2.00,"16,2",,,
01/01/2014 3.00,,,,
01/01/2014 4.00,"8,8",,,
01/01/2014 5.00,,,,
01/01/2014 6.00,"9,3",,,
01/01/2014 7.00,,,,
01/01/2014 8.00,"17,7",,,
01/01/2014 9.00,,,,
01/01/2014 10.00,"18,7",,,
01/01/2014 11.00,,,,
01/01/2014 12.00,"25,4",,, 
01/01/2014 13.00,,,,
01/01/2014 14.00,"18,9",,,
01/01/2014 15.00,,,,
01/01/2014 16.00,"14,7",,,
01/01/2014 17.00,,,,
01/01/2014 18.00,"13,4",,,
01/01/2014 19.00,,,,
01/01/2014 20.00,"25,8",,,
01/01/2014 21.00,,,,
01/01/2014 22.00,"32,3",,,
01/01/2014 23.00,,,,
02/01/2014 0.00,"23,2",,,
02/01/2014 1.00,,,,
02/01/2014 2.00,"35,5",,,
02/01/2014 3.00,,,,
02/01/2014 4.00,"25,2",,,
02/01/2014 5.00,,,,
02/01/2014 6.00,"17,0",,,
02/01/2014 7.00,,,,
02/01/2014 8.00,"12,3",,,
02/01/2014 9.00,,,,
02/01/2014 10.00,"58,4",,,
02/01/2014 11.00,,,,
02/01/2014 12.00,"78,3",,,
02/01/2014 13.00,,,,
02/01/2014 14.00,"50,4",,,
02/01/2014 15.00,,,,
02/01/2014 16.00,"31,0",,,
02/01/2014 17.00,,,,
02/01/2014 18.00,"17,1",,,
02/01/2014 19.00,,,,
02/01/2014 20.00,"13,8",,,
02/01/2014 21.00,,,,
02/01/2014 22.00,"20,8",,,
02/01/2014 23.00,,,,
03/01/2014 0.00,"26,3",,,
03/01/2014 1.00,,,,
03/01/2014 2.00,"35,6",,,
03/01/2014 3.00,,,,
03/01/2014 4.00,"26,4",,,
03/01/2014 5.00,,,,
03/01/2014 6.00,"32,6",,,
03/01/2014 7.00,,,,
03/01/2014 8.00,"21,9",,,
03/01/2014 9.00,,,,
03/01/2014 10.00,"36,1",,,
03/01/2014 11.00,,,,
03/01/2014 12.00,"29,1",,,
03/01/2014 13.00,,,,
03/01/2014 14.00,"25,8",,,
03/01/2014 15.00,,,,
03/01/2014 16.00,"18,7",,,
03/01/2014 17.00,,,,
03/01/2014 18.00,"12,3",,,
03/01/2014 19.00,,,,
03/01/2014 20.00,"24,0",,,
03/01/2014 21.00,,,,
03/01/2014 22.00,"22,8",,,
03/01/2014 23.00,,,,
04/01/2014 0.00,"37,5",,,
04/01/2014 1.00,,,,
04/01/2014 2.00,"52,9",,,
04/01/2014 3.00,,,,
04/01/2014 4.00,"34,0",,,
04/01/2014 5.00,,,,
