Stat,GROTTAGLIE,,,,,
Parm,SO2,NOX,NO2,CO,O3,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
01/01/2014 1.00,,"13,1","12,7","0,3","52,4","21,9"
01/01/2014 2.00,,"8,1","7,5","0,3","64,8","21,9"
01/01/2014 3.00,,"7,4","7,0","0,3","65,0","21,9"
01/01/2014 4.00,"0,6","5,8","5,4","0,3","61,3","21,9"
01/01/2014 5.00,"0,7","6,4","6,1","0,3","54,7","21,9"
01/01/2014 6.00,"0,7","9,0","8,1","0,2","57,0","21,9"
01/01/2014 7.00,"0,6","6,7","6,4","0,2","57,4","21,9"
01/01/2014 8.00,"0,7","19,4","13,6","0,2","47,4","21,9"
01/01/2014 9.00,"0,6","20,5","16,0","0,2","43,7","21,9"
01/01/2014 10.00,"0,6","16,4","12,8","0,3","49,6","21,9"
01/01/2014 11.00,"0,7","9,3","8,0","0,2","60,5","21,9"
01/01/2014 12.00,"0,7","4,8","4,2","0,2","68,9","21,9"
01/01/2014 13.00,"0,7","5,1","4,4","0,2","70,4","21,9"
01/01/2014 14.00,"0,7","4,1","3,4","0,2","72,9","21,9"
01/01/2014 15.00,"0,6","2,9","2,7","0,2","68,9","21,9"
01/01/2014 16.00,"0,6","3,3","2,9","0,2","61,6","21,9"
01/01/2014 17.00,"0,7","4,5","4,2","0,2","59,2","21,9"
01/01/2014 18.00,"0,7","12,8","11,6","0,3","54,9","21,9"
01/01/2014 19.00,"0,7","19,7","19,0","0,6","27,3","21,9"
01/01/2014 20.00,"0,7","39,4","34,9","0,7","16,0","21,9"
01/01/2014 21.00,"0,9","55,1","45,3","1,0","7,6","21,9"
01/01/2014 22.00,"0,8","35,2","29,8","0,8","5,5","21,9"
01/01/2014 23.00,"0,7","29,2","25,8","0,7","6,1","21,9"
02/01/2014 0.00,"0,7","19,5","18,4","0,6","12,1","21,9"
02/01/2014 1.00,,"16,4","15,9","0,5","28,1","32,3"
02/01/2014 2.00,"0,7",,,"0,5","18,2","32,3"
02/01/2014 3.00,"0,7","9,3","8,6",,"20,6","32,3"
02/01/2014 4.00,"0,7","7,7","7,1","0,3",,"32,3"
02/01/2014 5.00,"0,7","6,4","6,0","0,3","32,9","32,3"
02/01/2014 6.00,"0,7","11,9","10,8","0,3","29,8","32,3"
02/01/2014 7.00,"0,7","24,9","23,6","0,3","14,8","32,3"
02/01/2014 8.00,"1,6","71,1","33,6","0,4","2,5","32,3"
02/01/2014 9.00,"2,8","104,6","35,4","0,4","2,0","32,3"
02/01/2014 10.00,"1,1","49,5","27,9","0,3","24,6","32,3"
02/01/2014 11.00,"0,7","19,9","16,7","0,3","37,1","32,3"
02/01/2014 12.00,"0,7","10,8","9,1","0,3","48,6","32,3"
02/01/2014 13.00,"0,7","7,6","6,6","0,2","54,3","32,3"
02/01/2014 14.00,"0,7","11,0","9,5","0,3","53,9","32,3"
02/01/2014 15.00,"1,3","13,7","11,2","0,3","54,8","32,3"
02/01/2014 16.00,"0,7","8,8","8,2","0,3","60,2","32,3"
02/01/2014 17.00,"0,7","18,3","17,8","0,3","40,1","32,3"
02/01/2014 18.00,"1,7","80,9","53,3","0,7","8,0","32,3"
02/01/2014 19.00,"4,7","176,3","63,8","1,8","15,5","32,3"
02/01/2014 20.00,"7,3","230,0","69,3","2,1","11,7","32,3"
02/01/2014 21.00,"4,5","160,0","72,0","1,6","9,8","32,3"
02/01/2014 22.00,"1,6","73,2","50,0","0,9","13,7","32,3"
02/01/2014 23.00,"0,7","35,4","34,0","0,7","25,9","32,3"
