Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
01/01/2014 1.00,"30,006143","10,56042","13,814077","0,7","32,1",
01/01/2014 2.00,"29,848556","10,501209","13,747282","0,6","37,6",
01/01/2014 3.00,"27,605455","9,632063","12,836806","0,6","41,1",
01/01/2014 4.00,"24,185978","8,976929","10,422487","0,5","42,4",
01/01/2014 5.00,"9,395932","4,900197","1,994099","0,3","77,4",
01/01/2014 6.00,"17,546121","6,63764","7,410263","0,4","60,8",
01/01/2014 7.00,"25,198916","8,754039","11,77653","0,4","35,3",
01/01/2014 8.00,"26,619093","9,662094","11,804415","0,4","30,4",
01/01/2014 9.00,"29,720816","10,707181","13,303717","0,5","27,1",
01/01/2014 10.00,"27,813615","11,472704","10,511348","0,5","33,8",
01/01/2014 11.00,"23,457715","10,198383","8,182613","0,4","47,9",
01/01/2014 12.00,"19,624519","8,617006","6,899905","0,4","63,6",
01/01/2014 13.00,"24,285842","10,276627","8,956259","0,5","63,1",
01/01/2014 14.00,"33,978782","11,840241","15,859405","0,6","41,8",
01/01/2014 15.00,"29,31421","10,609904","13,046267","0,7","39,1",
01/01/2014 16.00,"29,605387","11,339055","12,231119","0,6","36,2",
01/01/2014 17.00,"34,625325","12,193396","15,929443","0,8","25,8",
01/01/2014 18.00,"41,855304","13,297696","21,466215","1,1","18,2",
01/01/2014 19.00,"41,311876","13,115409","21,202282","1,0","17,8",
01/01/2014 20.00,"41,195778","13,771806","20,079747","1,0","17,1",
01/01/2014 21.00,"46,220285","14,795331","23,534884","1,2","14,5",
01/01/2014 22.00,"43,551075","14,832965","20,808008","1,2","13,1",
01/01/2014 23.00,"48,133948","18,606874","19,604405","1,3","11,3",
02/01/2014 0.00,"46,617139","18,0968","18,869681","1,4","11,1",
02/01/2014 1.00,"45,249486","19,588524","15,214809","1,4","9,0",
02/01/2014 2.00,"46,972525","22,821471","12,032682","1,1","7,0",
02/01/2014 3.00,"41,151057","20,2999","10,025614",,"6,7",
02/01/2014 4.00,"37,660223","18,738831","8,928374","0,9",,
02/01/2014 5.00,"37,090869","18,407666","8,866768","0,9","7,4",
02/01/2014 6.00,"35,091585","16,888881","9,196198","0,8","7,8",
02/01/2014 7.00,"58,258141","28,589134","14,423007","1,0","7,7",
02/01/2014 8.00,"70,98407","36,335298","15,271876","1,2","8,6",
02/01/2014 9.00,"54,839963","27,050049","13,476864","1,1","9,8",
02/01/2014 10.00,"55,625928","26,441","15,859361","0,9","16,0",
02/01/2014 11.00,"42,25994","19,581753","13,53976","0,7","29,3",
02/01/2014 12.00,"46,458902","19,922221","16,102588","0,8","28,5",
02/01/2014 13.00,"38,112239","15,265213","14,780324","0,8","37,1",
02/01/2014 14.00,"31,456817","12,025065","13,144189","0,7","41,8",
02/01/2014 15.00,"32,36664","12,649318","13,260788","0,8","42,0",
02/01/2014 16.00,"33,433402","12,612532","14,122756","0,7","40,3",
02/01/2014 17.00,"44,833016","17,349024","18,53061","0,8","28,2",
02/01/2014 18.00,"37,473478","11,929059","19,189386","0,8","22,7","1,4"
02/01/2014 19.00,"45,35065","16,372898","20,246417","0,8","18,3","1,3"
02/01/2014 20.00,"52,887373","19,325445","23,256038","1,2","16,6","1,5"
02/01/2014 21.00,"49,523668","17,552897","22,610145","1,3","17,2","2,5"
02/01/2014 22.00,"51,52813","18,763783","22,758001","1,4","15,4","2,8"
02/01/2014 23.00,"39,262652","15,472876","15,538406","1,2","16,2","2,2"
03/01/2014 0.00,"39,59534","15,249563","16,278328","1,2","15,8","2,2"
03/01/2014 1.00,"71,561855","36,229989","17,37669","1,0","16,0","1,8"
03/01/2014 2.00,"39,350202","16,841932","13,526797","1,0","17,4","1,6"
03/01/2014 3.00,"34,81274","14,073792","13,23368","0,8","16,9","1,4"
03/01/2014 4.00,"29,332373","12,090622","10,794071","0,8","19,7","1,1"
03/01/2014 5.00,"29,661161","11,273076","12,376379","0,7","16,8","0,9"
03/01/2014 6.00,"31,992463","12,383298","13,005412","0,8","12,5","1,0"
03/01/2014 7.00,"42,028435","18,282054","13,999545","0,8","12,0","1,0"
03/01/2014 8.00,"58,064894","24,182509","21,013568","0,9","9,7","1,1"
03/01/2014 9.00,"49,861538","22,448007","15,548779","0,9","13,1","1,2"
03/01/2014 10.00,"53,971647","23,650439","17,831456","1,1","14,9","1,5"
03/01/2014 11.00,"50,858911","20,225454","20,018142","1,0","22,9","2,2"
03/01/2014 12.00,"45,328605","17,793555","18,478646","0,8","34,9","1,7"
03/01/2014 13.00,"31,663655","12,954684","12,301156","0,7","47,6","1,3"
03/01/2014 14.00,"30,169562","11,436755","13,024733","0,7","57,1","1,0"
03/01/2014 15.00,"26,962794","10,329071","11,292757","0,6","54,3","1,0"
03/01/2014 16.00,"34,642169","13,110321","14,732982","0,6","43,2","0,8"
03/01/2014 17.00,"50,412077","17,625222","23,495343","0,9","29,6","1,0"
03/01/2014 18.00,"48,342128","17,315206","21,800834","0,9","21,4","1,6"
03/01/2014 19.00,"48,996432","17,739423","21,796952","1,0","21,8","1,7"
03/01/2014 20.00,"58,181623","21,196543","25,681391","1,4","18,1","2,1"
03/01/2014 21.00,"62,508979","24,23199","25,354553","1,5","14,6","2,6"
03/01/2014 22.00,"52,688944","19,22859","23,206115","1,5","15,4","2,7"
03/01/2014 23.00,"49,732476","18,383984","21,544683","1,5","15,7","2,5"
04/01/2014 0.00,"48,833035","19,563148","18,837259","1,3","16,3","2,3"
04/01/2014 1.00,"35,719963","13,615319","14,843875","1,2","19,2","1,9"
04/01/2014 2.00,"32,791411","12,173095","14,126647","1,0","17,8","1,6"
04/01/2014 3.00,"28,787645","11,11109","11,751238",,"21,4","1,3"
04/01/2014 4.00,"27,893383","10,594679","11,648777","0,8",,"1,0"
04/01/2014 5.00,"28,368726","10,793461","11,819329","0,7","15,2","0,8"
04/01/2014 6.00,"29,647529","11,914255","11,379656","0,7","15,0","0,8"
04/01/2014 7.00,"35,066291","14,069564","13,493723","0,7","12,9","0,9"
04/01/2014 8.00,"45,918705","20,655594","14,38669","0,8","10,7","1,2"
04/01/2014 9.00,"49,248721","22,918762","14,324436","0,8","13,4","1,1"
04/01/2014 10.00,"41,943485","18,788736","13,856456","0,8","27,6","1,3"
04/01/2014 11.00,"26,56722","11,27519","10,380898","0,7","51,4","1,1"
04/01/2014 12.00,"30,871858","13,677495","12,367906","0,6","53,9","1,0"
04/01/2014 13.00,"24,668451","10,062619","9,579455","0,6","64,5","0,8"
04/01/2014 14.00,"19,892333","8,587822","7,462792","0,5","73,8","0,8"
04/01/2014 15.00,"16,496869","7,319845","6,129501","0,5","81,2","0,6"
04/01/2014 16.00,"13,31604","6,452392","3,997925","0,4","83,0","0,4"
04/01/2014 17.00,"18,037025","7,601101","6,934082","0,5","74,8","0,4"
04/01/2014 18.00,"19,868337","7,110911","9,126163","0,5","67,2","0,5"
04/01/2014 19.00,"19,182886","7,558384","7,910896","0,5","60,0","0,5"
04/01/2014 20.00,"15,445668","6,819928","5,575694","0,5","65,6","0,4"
04/01/2014 21.00,"15,314675","6,053558","6,297461","0,5","65,9","0,4"
04/01/2014 22.00,"14,751789","5,934712","5,761162","0,5","70,6","0,4"
04/01/2014 23.00,"12,773903","5,280844","4,743685","0,4","68,2","0,4"
05/01/2014 0.00,"9,693589","5,186106","2,187995","0,4","90,7","0,3"
05/01/2014 1.00,"9,596314","4,811802","2,438312","0,4","90,8","0,2"
05/01/2014 2.00,"9,456243","4,733981","2,358547","0,4","92,0","0,2"
05/01/2014 3.00,"9,072987","4,71368","2,026523","0,4","93,5","0,2"
05/01/2014 4.00,"8,652119","4,469643","1,872831","0,4","95,0","0,2"
05/01/2014 5.00,"8,596348","4,357987","2,037548","0,4","95,2","0,2"
05/01/2014 6.00,"8,294152","4,53393","1,46169","0,4","93,6","0,2"
05/01/2014 7.00,"9,603448","4,573687","2,676307","0,4","90,6","0,2"
05/01/2014 8.00,"9,593721","4,864248","2,503162","0,4","89,6","0,2"
05/01/2014 9.00,"10,510034","5,317218","2,935054","0,4","91,9","0,2"
05/01/2014 10.00,"10,486689","5,11336","2,938945","0,4","89,8","0,2"
05/01/2014 11.00,"10,734411","5,236436","3,049187","0,4","91,2","0,2"
05/01/2014 12.00,"10,360881","5,062607","2,901332","0,4","91,7","0,2"
05/01/2014 13.00,"10,978889","5,633577","3,023249","0,4","92,2","0,2"
05/01/2014 14.00,"9,781134","4,900197","2,729483","0,4","93,0","0,2"
05/01/2014 15.00,"9,185823","4,86171","2,064784","0,4","95,3","0,2"
05/01/2014 16.00,"10,002268","4,92938","2,800168","0,4","91,8","0,2"
05/01/2014 17.00,"9,628092","4,833373","2,590706","0,4","94,6","0,2"
05/01/2014 18.00,"16,240067","5,426759","8,163806","0,5","81,2","0,2"
05/01/2014 19.00,"23,73658","6,361036","13,983331","0,7","59,9","0,5"
05/01/2014 20.00,"27,188466","7,756743","15,405465","0,8","49,6","0,7"
05/01/2014 21.00,"28,7656","8,438101","15,862647","0,7","45,3","0,8"
05/01/2014 22.00,"24,208023","8,457556","11,260334","0,6","52,4","0,6"
05/01/2014 23.00,"24,136685","8,135699","11,66888","0,6","52,6","0,5"
06/01/2014 0.00,"27,357086","8,45375","14,395121","0,7","36,3","0,5"
06/01/2014 1.00,"26,641138","9,217159","12,508671","0,6","31,9","0,6"
