,Regione Puglia,,,,
,ASM,,,,
Parm,SO2,NO2,NOX,CO,O3
,,,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
01/01/2006 1.00,1,11,22,,38
01/01/2006 2.00,2,12,25,,38
01/01/2006 3.00,4,9,20,,41
01/01/2006 4.00,5,6,18,,46
01/01/2006 5.00,2,9,21,,46
01/01/2006 6.00,6,7,18,,47
01/01/2006 7.00,7,5,16,,48
01/01/2006 8.00,2,5,17,,47
01/01/2006 9.00,3,7,18,,44
01/01/2006 10.00,6,10,21,,42
01/01/2006 11.00,5,9,21,,43
01/01/2006 12.00,5,8,20,,45
01/01/2006 13.00,5,7,18,,46
01/01/2006 14.00,6,5,16,,52
01/01/2006 15.00,3,5,16,,52
01/01/2006 16.00,6,4,15,,54
01/01/2006 17.00,9,4,16,,54
01/01/2006 18.00,4,3,15,,59
01/01/2006 19.00,8,5,16,,56
01/01/2006 20.00,6,6,18,,56
01/01/2006 21.00,7,6,17,,55
01/01/2006 22.00,5,6,17,,56
01/01/2006 23.00,6,7,18,,57
02/01/2006 0.00,8,7,19,,56
02/01/2006 1.00,,29,46,,39
02/01/2006 2.00,7,,,,46
02/01/2006 3.00,7,3,15,,
02/01/2006 4.00,7,3,14,,53
02/01/2006 5.00,8,3,14,,54
02/01/2006 6.00,6,3,15,,55
02/01/2006 7.00,6,6,18,,52
02/01/2006 8.00,4,10,22,,50
02/01/2006 9.00,6,27,40,,39
02/01/2006 10.00,3,18,31,,50
02/01/2006 11.00,7,15,29,,53
02/01/2006 12.00,7,12,24,,56
02/01/2006 13.00,10,12,25,,54
02/01/2006 14.00,9,13,26,,52
02/01/2006 15.00,3,33,52,,38
02/01/2006 16.00,4,38,52,,39
02/01/2006 17.00,5,41,56,,30
02/01/2006 18.00,7,17,29,,41
02/01/2006 19.00,6,14,26,,50
02/01/2006 20.00,6,8,19,,54
02/01/2006 21.00,8,42,71,,29
02/01/2006 22.00,8,30,46,,30
02/01/2006 23.00,5,18,31,,35
03/01/2006 0.00,7,22,37,,33
03/01/2006 1.00,5,11,23,,41
03/01/2006 2.00,5,6,18,,48
03/01/2006 3.00,4,4,16,,50
03/01/2006 4.00,3,8,20,,43
03/01/2006 5.00,4,19,31,,32
03/01/2006 6.00,4,28,44,,25
03/01/2006 7.00,3,53,97,,12
03/01/2006 8.00,0,55,92,,15
03/01/2006 9.00,3,61,100,,11
03/01/2006 10.00,6,56,88,,23
03/01/2006 11.00,10,69,114,,14
03/01/2006 12.00,11,67,115,,15
03/01/2006 13.00,14,46,66,,27
03/01/2006 14.00,8,53,75,,25
03/01/2006 15.00,13,35,51,,36
03/01/2006 16.00,13,46,63,,31
03/01/2006 17.00,8,63,86,,19
03/01/2006 18.00,4,59,82,,15
03/01/2006 19.00,4,39,56,,17
03/01/2006 20.00,2,50,69,,7
03/01/2006 21.00,6,37,50,,17
03/01/2006 22.00,3,24,37,,27
03/01/2006 23.00,3,23,36,,25
04/01/2006 0.00,4,21,33,,30
04/01/2006 1.00,,20,32,,27
04/01/2006 2.00,4,,,,26
04/01/2006 3.00,3,15,27,,
04/01/2006 4.00,3,10,23,,38
04/01/2006 5.00,3,9,22,,41
04/01/2006 6.00,4,10,22,,37
04/01/2006 7.00,3,16,30,,30
04/01/2006 8.00,4,34,59,,20
