"","Regione Puglia","","","","","",""
"","Liceo Scientifico Via dei Mandorli","","","","","",""
"Parm","SO2","NO2","NOX","CO","O3","PM10","BENZENE"
,,,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
"2007-01-01 01:00:00","9.17542892","","","","35.5490247","",""
"2007-01-01 02:00:00","13.3096824","","","","28.8982134","",""
"2007-01-01 03:00:00","14.78633589","","","","18.5715747","",""
"2007-01-01 04:00:00","14.92877691","","","","23.15367075","",""
"2007-01-01 05:00:00","11.74649238","","","","29.53272315","",""
"2007-01-01 06:00:00","9.73976527","","","","30.81478995","",""
"2007-01-01 07:00:00","14.33559132","","","","39.71245005","",""
"2007-01-01 08:00:00","15.70045617","","","","37.0963467","",""
"2007-01-01 09:00:00","11.79697626","","","","38.2600701","",""
"2007-01-01 10:00:00","11.65994568","","","","34.2773718","",""
"2007-01-01 11:00:00","14.62226328","","","","46.82877465","",""
"2007-01-01 12:00:00","18.62311077","","","","64.12869645","",""
"2007-01-01 13:00:00","21.30595677","","","","62.34604425","",""
"2007-01-01 14:00:00","17.94517857","","","","63.342048","",""
"2007-01-01 15:00:00","16.14760056","","","","61.44366585","",""
"2007-01-01 16:00:00","17.6801382","","","","54.1505244","",""
"2007-01-01 17:00:00","13.38360813","","","","54.3897648","",""
"2007-01-01 18:00:00","20.6622873","","","","46.817064","",""
"2007-01-01 19:00:00","20.61900378","","","","51.98170005","",""
"2007-01-01 20:00:00","16.47393552","","","","42.8733879","",""
"2007-01-01 21:00:00","13.28084028","","","","30.92531295","",""
"2007-01-01 22:00:00","15.53818365","","","","26.3926131","",""
"2007-01-01 23:00:00","17.61523326","","","","38.98040475","",""
"2007-01-02 00:00:00","17.25642549","","","","54.3416454","",""
"2007-01-02 01:00:00","","","","","41.9540919","",""
"2007-01-02 02:00:00","7.71718008","","","","40.0180242","",""
"2007-01-02 03:00:00","6.3811726","","","","","",""
"2007-01-02 04:00:00","10.19706237","","","","46.8087249","",""
"2007-01-02 05:00:00","8.17259675","","","","30.78318915","",""
"2007-01-02 06:00:00","8.72585695","","","","53.7934992","",""
"2007-01-02 07:00:00","10.28778894","","","","67.38202275","",""
"2007-01-02 08:00:00","11.35517112","","","","70.0684698","",""
"2007-01-02 09:00:00","10.92110535","","","","68.53473375","",""
"2007-01-02 10:00:00","11.55797109","","","","59.34185355","",""
"2007-01-02 11:00:00","29.94542262","","","","51.1221144","",""
"2007-01-02 12:00:00","29.30319729","","","","54.97224495","",""
