,ARPA Puglia,,,
,Molfetta ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
01/01/2009 1.00,"3,61394306","15,22533248","10,74490242",
01/01/2009 2.00,"0,45332267","14,28697068","4,22520252",
01/01/2009 3.00,"0,85065846","16,57641669","3,900624",
01/01/2009 4.00,"0,13545525","18,15982802","23,26183965",
01/01/2009 5.00,"1,90179","6,66327602","44,1104475",
01/01/2009 6.00,"4,83665165","5,493893","46,033029",
01/01/2009 7.00,"4,78969371","5,34723304","46,52876655",
01/01/2009 8.00,"10,44087795","9,58868","41,32217565",
01/01/2009 9.00,"16,84700163","8,80346558","41,10883035",
01/01/2009 10.00,"2,60796226","20,14945904","33,6886473",
01/01/2009 11.00,"1,5080676","9,22268114","41,8080579",
01/01/2009 12.00,"0,81995523","5,53282897","46,92956205",
01/01/2009 13.00,"0,29980753","7,91053098","44,2954239",
01/01/2009 14.00,"4,42486733","9,03319046","41,7809259",
01/01/2009 15.00,"1,17755684","6,54646621","41,24201655",
01/01/2009 16.00,"0,53279003","7,30182858","38,69791275",
01/01/2009 17.00,"5,35318697","8,45044537","35,1154713",
01/01/2009 18.00,"1,11795657","7,30182858","37,81739955",
01/01/2009 19.00,"0,32689838","6,70870132","37,6126926",
01/01/2009 20.00,"6,95336324","6,99682825","35,18080755",
01/01/2009 21.00,"0,2889714","8,54389246","28,2872247",
01/01/2009 22.00,"1,26063557","7,80540349","32,56396605",
01/01/2009 23.00,"0,92290106","8,3375303","27,7951779",
02/01/2009 0.00,"3,36470585","9,3498712","25,1154141",
02/01/2009 1.00,,"8,4309793","28,04920125",
02/01/2009 2.00,"0,82898518","7,49651033","31,41708045",
02/01/2009 3.00,"1,03848921","7,26159436",,
02/01/2009 4.00,"1,48639432","5,67689243","34,0151889",
02/01/2009 5.00,"2,54655681","5,7898075","34,34733645",
02/01/2009 6.00,"1,17575065","5,72491422","34,6091004",
02/01/2009 7.00,"3,70424656","8,49327417","32,25689565",
02/01/2009 8.00,"2,5826776","12,15067014","29,9775084",
02/01/2009 9.00,"1,19019917","12,55171405","28,7810271",
02/01/2009 10.00,"4,00405409","13,33044106","30,93692385",
02/01/2009 11.00,"2,49779268","16,73476088","28,61310795",
02/01/2009 12.00,"0,60683882","12,83075898","31,97907195",
02/01/2009 13.00,"1,27508409","17,31879849","27,6808644",
02/01/2009 14.00,"0,85788221","15,5043755","27,71172705",
02/01/2009 15.00,"3,12449859","21,17996968","22,11826575",
02/01/2009 16.00,"7,79137938","24,35195856","21,42556185",
02/01/2009 17.00,"4,80594842","43,83562096","5,01436268",
02/01/2009 18.00,"6,21829395","52,0667236","1,60786427",
02/01/2009 19.00,"3,16603796","51,22699232","2,53167096",
02/01/2009 20.00,"3,33580882","48,44046264","2,4684933",
02/01/2009 21.00,"5,70175863","51,6812644","1,91964087",
02/01/2009 22.00,"0,50569918","44,92584336","2,57303529",
02/01/2009 23.00,"4,07087811","43,71103504","1,15841072",
03/01/2009 0.00,"0,71339702","39,77717152","1,25101862",
03/01/2009 1.00,"3,16061938","35,6849944","4,23029177",
03/01/2009 2.00,"7,11590934",,"9,75584726",
03/01/2009 3.00,"3,83789561","27,88347992","11,16594318",
03/01/2009 4.00,"3,44959078","18,73996706","12,40687707",
03/01/2009 5.00,"3,32858405","8,75414745","28,73041395",
03/01/2009 6.00,"4,73009344","5,56138278","37,10949375",
03/01/2009 7.00,"8,99060849","6,65419211","38,1849783",
03/01/2009 8.00,"7,56923302","9,26421169","37,7182281",
03/01/2009 9.00,"0,01264233","11,59908108","34,80790215",
03/01/2009 10.00,"0,88677925","17,02937905","30,47883195",
03/01/2009 11.00,"10,81473732","19,34607488","29,25888945",
03/01/2009 12.00,"7,20621284","16,84507372","31,5765408",
03/01/2009 13.00,"4,09616276","8,94882729","38,3911815",
03/01/2009 14.00,"0,2889714","20,23251632","25,7916792",
03/01/2009 15.00,"2,28648245","21,44084296","25,98924405",
03/01/2009 16.00,"0,07946736","6,69572266","44,17973385",
03/01/2009 17.00,"0,18783075","8,76193502","43,6932531",
03/01/2009 18.00,"2,72716279","11,38881844","42,41156535",
03/01/2009 19.00,"3,23647436","14,92293438","39,0332523",
03/01/2009 20.00,"4,08893901","19,9145316","37,7454",
03/01/2009 21.00,"2,33625647","14,24139051","43,32754965",
03/01/2009 22.00,"6,95155705","11,36156862","44,6082",
03/01/2009 23.00,"0,22214636","6,64510629","47,8865037",
04/01/2009 0.00,"2,68201206","4,28427576","51,79205535",
04/01/2009 1.00,,"3,82093506","50,5795143",
04/01/2009 2.00,"2,68381724","4,06363861","46,28130675",
04/01/2009 3.00,"2,55558676","4,70478574",,
04/01/2009 4.00,"3,54350666","4,05455278","41,34360195",
04/01/2009 5.00,"1,06196869","3,07206394","41,47271835",
04/01/2009 6.00,"5,88236461","4,56850986","38,83640565",
04/01/2009 7.00,"4,52420078","5,08765801","39,6356625",
04/01/2009 8.00,"3,86137408","5,72880706","39,07249395",
04/01/2009 9.00,"6,46933735","6,80474299","38,21544195",
04/01/2009 10.00,"4,76802042","7,76387102","36,23328975",
04/01/2009 11.00,"9,651629","9,84306395","34,95078405",
04/01/2009 12.00,,"9,97025402","35,07499275",
04/01/2009 13.00,"2,09142694","12,93329189","32,78297715",
04/01/2009 14.00,"4,6126991","13,4848905","33,04488075",
04/01/2009 15.00,"6,55602846","9,68731817","38,4294057",
04/01/2009 16.00,"5,63854496","11,31873408","39,1241445",
04/01/2009 17.00,"1,52973987","15,93397513","35,597583",
04/01/2009 18.00,"7,88710044","14,23116705","36,8554704",
04/01/2009 19.00,"2,87887275","18,25067096","33,9646356",
04/01/2009 20.00,"1,08364096","13,4770991","36,70422945",
04/01/2009 21.00,"5,51573306","18,78798885","33,1075836",
04/01/2009 22.00,"0,43887415","14,95408086","37,35224535",
04/01/2009 23.00,"3,42430612","5,17591402","47,34539985",
05/01/2009 0.00,"4,56212877","5,63536188","47,2802232",
05/01/2009 1.00,"2,11490642","4,84106354","47,2187373",
05/01/2009 2.00,"6,95697563","4,15059446","47,49295005",
05/01/2009 3.00,"4,39777649","3,67168052","48,2528655",
05/01/2009 4.00,"4,40500024","4,1687661","48,27375315",
05/01/2009 5.00,"3,22202584","4,05195629","48,18154425",
05/01/2009 6.00,"0,01264233","5,77423235","45,23289435",
