,bari,,,
,ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
01/01/2010 1.00,"2,5481413","6,03380738","52,38660525","7,5"
01/01/2010 2.00,"2,73628121","15,20975924","40,02646305","7,5"
01/01/2010 3.00,"2,60755342","11,14352605","39,03666375","7,5"
01/01/2010 4.00,"2,54484012","3,48219176","55,0753266","7,5"
01/01/2010 5.00,"2,56134399","13,31097116","51,2847867","7,5"
01/01/2010 6.00,"2,5844482","7,64317029","55,4101674","7,5"
01/01/2010 7.00,"2,53658818","2,30891399","66,6918924","7,5"
01/01/2010 8.00,"2,59765089","16,39341534","48,5443749","7,5"
01/01/2010 9.00,"2,4969801","2,40106474","66,8888787","7,5"
01/01/2010 10.00,"2,54649071","3,22780781","66,27084765","7,5"
01/01/2010 11.00,"2,55474265","2,1012555","72,07422285","7,5"
01/01/2010 12.00,"2,56464416","2,3945735","69,8890395","7,5"
01/01/2010 13.00,"2,5728961","2,33357306","68,46466935","7,5"
01/01/2010 14.00,"2,59930148","1,7858711","69,21686415","7,5"
01/01/2010 15.00,"2,55309206","1,60936099","72,6971616","7,5"
01/01/2010 16.00,"2,56629475","1,82221248","73,3964091","7,5"
01/01/2010 17.00,"2,58939997","2,09216967","70,33099185","7,5"
01/01/2010 18.00,"2,67356689","1,84297871","80,5786086","7,5"
01/01/2010 19.00,"2,63230822","1,76510678","78,1779852","7,5"
01/01/2010 20.00,"2,68842018","1,84946804","78,209985","7,5"
01/01/2010 21.00,"2,45407083","2,00391366","79,60111845","7,5"
01/01/2010 22.00,"2,56134399","2,10644658","76,04941995","7,5"
01/01/2010 23.00,"2,52668667","2,02338165","77,878815","7,5"
02/01/2010 0.00,"2,60755342","1,71319024","74,8725096","7,5"
02/01/2010 1.00,,"1,62753264","69,66621795","11,80000019"
02/01/2010 2.00,"1,12704754",,"65,61469215","11,80000019"
02/01/2010 3.00,"1,25384811","1,50553174",,"11,80000019"
02/01/2010 4.00,"1,20115226","1,20961724","67,76578095","11,80000019"
02/01/2010 5.00,"1,3134616","1,48476551","63,8069229","11,80000019"
02/01/2010 6.00,"1,28744267","1,94161688","60,00806385","11,80000019"
02/01/2010 7.00,"1,31510813","5,1356798","53,7578685","11,80000019"
02/01/2010 8.00,"1,16920422","7,85861636","50,3290221","11,80000019"
02/01/2010 9.00,"0,68736081","6,96567986","50,19026985","11,80000019"
02/01/2010 10.00,"0,05269687","8,37646818","40,58997075","11,80000019"
02/01/2010 11.00,"0,20255284","6,50493566","47,7289386","11,80000019"
02/01/2010 12.00,"0,19827025","6,77878759","50,4365127","11,80000019"
02/01/2010 13.00,"0,35010225","6,68663684","52,17908535","11,80000019"
02/01/2010 14.00,"0,18509705","5,61978673","56,1804369","11,80000019"
02/01/2010 15.00,"0,15710108","5,05261678","57,1929792","11,80000019"
02/01/2010 16.00,"0,14689141","4,36604244","58,46301615","11,80000019"
02/01/2010 17.00,"0,14359837","4,77357377","56,41670475","11,80000019"
02/01/2010 18.00,"0,15611357","5,4315943","54,14663415","11,80000019"
02/01/2010 19.00,"0,17719191","5,30570058","56,2892043","11,80000019"
02/01/2010 20.00,"0,17455686","4,00133991","60,7168275","11,80000019"
02/01/2010 21.00,"0,17916794","3,8417013","60,75934095","11,80000019"
02/01/2010 22.00,"0,18641407","3,98706301","58,4392557","11,80000019"
02/01/2010 23.00,"0,21210349","3,27972243","59,11929135","11,80000019"
03/01/2010 0.00,"0,19168416","2,48542601","60,9980826","11,80000019"
03/01/2010 1.00,"0,2252777","2,34006238","61,91811675","14,10000038"
03/01/2010 2.00,"0,2977359","2,88906259","55,64168715","14,10000038"
03/01/2010 3.00,"0,30168797","4,02210614","51,2778042","14,10000038"
03/01/2010 4.00,"0,25887125","3,60808549","51,63030075","14,10000038"
03/01/2010 5.00,"0,19827025","3,86636227","47,43768855","14,10000038"
03/01/2010 6.00,"0,17719191","4,08310468","35,9973411","14,10000038"
03/01/2010 7.00,"0,13503523","4,64378721","34,164774","14,10000038"
03/01/2010 8.00,"0,09353654","5,68078718","33,299742","14,10000038"
03/01/2010 9.00,"0,06521207","6,07533985","34,27978575","14,10000038"
03/01/2010 10.00,"0,05664893","8,02214781","33,19849575","14,10000038"
03/01/2010 11.00,"0,06850512","10,19608034","34,1447841","14,10000038"
03/01/2010 12.00,"0,14755043","9,90406249","40,5474573","14,10000038"
03/01/2010 13.00,"0,1159319","8,2349993","47,2126725","14,10000038"
03/01/2010 14.00,"0,14689141","7,76516927","47,39766885","14,10000038"
03/01/2010 15.00,"0,08958448","7,7521887","50,87527305","14,10000038"
03/01/2010 16.00,"0,1159319","8,68795592","49,18147815","14,10000038"
03/01/2010 17.00,,"13,42907731","41,49749625","14,10000038"
03/01/2010 18.00,,"22,0793936","38,52115575","14,10000038"
03/01/2010 19.00,,"21,60565736","34,15102845","14,10000038"
03/01/2010 20.00,,"13,34472178","31,56594735","14,10000038"
03/01/2010 21.00,,"10,24020547","35,9648226","14,10000038"
03/01/2010 22.00,,"8,25446728","38,11114335","14,10000038"
03/01/2010 23.00,,"5,68338176","40,9112256","14,10000038"
04/01/2010 0.00,,"9,50691332","33,92100495","14,10000038"
04/01/2010 1.00,,"8,26744594","35,641074","22,70000076"
04/01/2010 2.00,,,"38,70365835","22,70000076"
04/01/2010 3.00,,"4,23236114",,"22,70000076"
04/01/2010 4.00,,"3,22910606","35,63738325","22,70000076"
04/01/2010 5.00,,"5,05910611","31,5230349","22,70000076"
04/01/2010 6.00,"0,11797912","6,86444519","32,5196172","22,70000076"
04/01/2010 7.00,"1,4999733","23,01774584","17,55072921","22,70000076"
04/01/2010 8.00,"5,746469","35,63178344","8,96384423","22,70000076"
04/01/2010 9.00,"3,42288232","38,08084512","11,4256044","22,70000076"
04/01/2010 10.00,"2,17119432","30,47401048","15,85376027","22,70000076"
04/01/2010 11.00,"3,20028441","33,73037592","15,85125255","22,70000076"
04/01/2010 12.00,"3,28932378","30,10283392","21,40401585","22,70000076"
04/01/2010 13.00,"2,40064172","23,84709496","28,258377","22,70000076"
04/01/2010 14.00,,"21,09171176","31,06113255","22,70000076"
04/01/2010 15.00,,"23,72767144","27,7086348","22,70000076"
04/01/2010 16.00,"1,64713422","29,025594","22,8813333","22,70000076"
04/01/2010 17.00,"1,34732669","27,76277536","23,6770989","22,70000076"
04/01/2010 18.00,"1,81329269","43,0841476","7,24220112","22,70000076"
04/01/2010 19.00,"1,93068704","44,7311444","3,53051958","22,70000076"
04/01/2010 20.00,"1,76994714","34,74144152","8,97932543","22,70000076"
04/01/2010 21.00,"2,16366953","30,638844","14,88855932","22,70000076"
04/01/2010 22.00,"1,78439566","22,23382584","22,4395206","22,70000076"
04/01/2010 23.00,"1,71034687","21,42135968","22,9993176","22,70000076"
05/01/2010 0.00,"2,02640911","22,048228","21,21700455","22,70000076"
05/01/2010 1.00,"2,14741584","21,60305704","17,82183375","32,90000153"
05/01/2010 2.00,"2,3515013","20,08066528","14,71409657","32,90000153"
05/01/2010 3.00,"2,36775601","18,15462929","14,51828532","32,90000153"
05/01/2010 4.00,"2,47431422","19,36293872","10,09891743","32,90000153"
05/01/2010 5.00,"5,60242418","23,57843984","5,76980733","32,90000153"
05/01/2010 6.00,"2,53210829","17,37590228","13,01085135","32,90000153"
05/01/2010 7.00,"6,23816003","39,80961816","1,18527738","32,90000153"
05/01/2010 8.00,"7,79499075","40,574074","1,13276898","32,90000153"
05/01/2010 9.00,"5,21231315","38,45982264","4,05307991","32,90000153"
05/01/2010 10.00,"3,70605275","32,12882736","16,17058422","32,90000153"
05/01/2010 11.00,"5,54282391","32,80110568","13,57169772","32,90000153"
05/01/2010 12.00,"6,36097295","28,32215008","19,30667435","32,90000153"
05/01/2010 13.00,"7,96295542","27,78093936","21,3010938","32,90000153"
05/01/2010 14.00,"5,98350425","24,89446944","25,7380536","32,90000153"
05/01/2010 15.00,"5,59158804","38,59741016","13,39241904","32,90000153"
05/01/2010 16.00,"5,34957458","48,6286608","4,58055591","32,90000153"
05/01/2010 17.00,"7,72636054","57,97333136","1,3298271","32,90000153"
05/01/2010 18.00,"9,46921683","59,2335688","2,47295213","32,90000153"
05/01/2010 19.00,"7,41029829","42,00820784","8,10030449","32,90000153"
05/01/2010 20.00,"7,90696753","31,93932904","23,92936665","32,90000153"
05/01/2010 21.00,"8,08396214","18,92686506","40,85378955","32,90000153"
05/01/2010 22.00,"11,58411816","35,30081624","21,5759649","32,90000153"
05/01/2010 23.00,"12,95492229","26,82700432","29,73569445","32,90000153"
06/01/2010 0.00,"18,03900699","26,65698928","26,1836169","32,90000153"
06/01/2010 1.00,,"22,00151784","26,99695845","15,5"
06/01/2010 2.00,"8,78471684",,"25,95109965","15,5"
06/01/2010 3.00,"8,46323704","18,03522106",,"15,5"
06/01/2010 4.00,"20,60362674","15,4758236","33,8617335","15,5"
06/01/2010 5.00,"19,24725384","23,44215248","24,0754605","15,5"
06/01/2010 6.00,"36,22430943","29,7238564","16,16928348","15,5"
06/01/2010 7.00,"26,19340452","12,88396802","41,27655","15,5"
06/01/2010 8.00,"14,85310194","16,85156496","39,9129675","15,5"
06/01/2010 9.00,"11,54980458","11,63282214","44,3329299","15,5"
06/01/2010 10.00,"10,2873618","14,22727039","44,2990149","15,5"
06/01/2010 11.00,"11,18317608","10,13248722","53,9998221","15,5"
06/01/2010 12.00,"9,81417611","9,35765878","54,96877365","15,5"
06/01/2010 13.00,"8,35667883","7,46146719","58,22501265","15,5"
06/01/2010 14.00,"9,5992535","4,88129776","62,4992004","15,5"
06/01/2010 15.00,"7,46989958","2,96953102","64,81286175","15,5"
06/01/2010 16.00,"5,81734679","1,90008442","69,45402975","15,5"
06/01/2010 17.00,"4,78608133","1,92993647","69,25796115","15,5"
06/01/2010 18.00,"3,87943498","4,00912749","64,90335495","15,5"
06/01/2010 19.00,"3,87762879","17,39667425","46,95577635","15,5"
06/01/2010 20.00,"3,88665873","20,32725592","33,70590405","15,5"
06/01/2010 21.00,"3,89207731","7,18502067","52,88886645","15,5"
06/01/2010 22.00,"3,75300968","4,9591697","57,0713241","15,5"
06/01/2010 23.00,"3,83608942","4,75280754","56,082243","15,5"
07/01/2010 0.00,"3,83970079","5,19148917","55,32946965","15,5"
07/01/2010 1.00,"3,85595652","4,59965825","53,0057535","17,5"
07/01/2010 2.00,"3,68618566","3,87804077","50,67321945","17,5"
07/01/2010 3.00,"3,59046358","2,80470133","56,55479865","17,5"
07/01/2010 4.00,"3,67896089","1,98834042","58,8081312","17,5"
07/01/2010 5.00,"3,85956788","5,49000017","53,71830765","17,5"
07/01/2010 6.00,"8,03519801","23,50834592","33,16801215","17,5"
07/01/2010 7.00,"7,68120879","27,76665672","29,31734295","17,5"
07/01/2010 8.00,"5,39472633","19,70816944","33,9622815","17,5"
07/01/2010 9.00,"5,59158804","22,33506624","35,94417435","17,5"
07/01/2010 10.00,"50,8678992","34,5882712","22,4986524","17,5"
07/01/2010 11.00,"38,22724008","16,02742413","46,05718845","17,5"
07/01/2010 12.00,"16,05594852","7,63278622","60,1465767","17,5"
07/01/2010 13.00,"6,94794569","5,26546827","64,37803155","17,5"
07/01/2010 14.00,"6,9443333","16,6296353","53,2307097","17,5"
07/01/2010 15.00,"10,91225745","11,36287069","60,6404589","17,5"
07/01/2010 16.00,"25,91707545","22,93726976","46,88287905","17,5"
07/01/2010 17.00,"20,23518798","37,36961936","26,7197931","17,5"
07/01/2010 18.00,"34,62955173","47,36194168","10,16861475","17,5"
07/01/2010 19.00,"31,58632161","36,53768904","17,58134448","17,5"
07/01/2010 20.00,"44,30465919","39,96406952","17,84201118","17,5"
07/01/2010 21.00,"39,20974344","34,8673276","23,94728175","17,5"
07/01/2010 22.00,"20,29298409","15,17601818","46,3789221","17,5"
07/01/2010 23.00,"10,50770502","22,07029248","35,18382","17,5"
08/01/2010 0.00,"6,80887805","21,4914536","32,64520245","17,5"
08/01/2010 1.00,,"20,58164752","33,27231075","27,60000038"
08/01/2010 2.00,"5,3838902",,"53,10628155","27,60000038"
08/01/2010 3.00,"5,16716241","5,18629618",,"27,60000038"
08/01/2010 4.00,"4,60366814","1,92604173","58,03636545","27,60000038"
08/01/2010 5.00,"4,85290636","20,8788488","36,33998235","27,60000038"
08/01/2010 6.00,"4,12325361","5,4912965","50,5706565","27,60000038"
08/01/2010 7.00,"5,46155035","30,83872448","26,3026386","27,60000038"
08/01/2010 8.00,"4,81859075","22,62578584","34,33277295","27,60000038"
08/01/2010 9.00,"4,74995952","14,92812164","46,8778317","27,60000038"
08/01/2010 10.00,"5,1328468","13,88333218","49,087773","27,60000038"
08/01/2010 11.00,"5,20349677","16,03650613","43,33393365","27,60000038"
08/01/2010 12.00,,"20,51285376","37,38863415","27,60000038"
08/01/2010 13.00,"10,41198498","16,16628886","42,559335","27,60000038"
08/01/2010 14.00,"10,29639276","13,49007776","46,68637155","27,60000038"
08/01/2010 15.00,"14,48466318","22,36621272","35,75684385","27,60000038"
08/01/2010 16.00,"13,47506694","9,84825312","50,6407209","27,60000038"
08/01/2010 17.00,"9,19830633","16,99952508","41,8360278","27,60000038"
08/01/2010 18.00,"8,83348097","10,17791251","51,11124165","27,60000038"
08/01/2010 19.00,"7,63605704","13,51733714","48,01783455","27,60000038"
08/01/2010 20.00,"7,89071282","11,08901493","46,11699855","27,60000038"
08/01/2010 21.00,"6,24177241","12,04035538","40,8762333","27,60000038"
08/01/2010 22.00,"5,20870178","25,35910456","22,93398135","27,60000038"
08/01/2010 23.00,"5,21411934","28,11188744","12,46492359","27,60000038"
09/01/2010 0.00,"5,12200965","9,97674334","28,9681182","27,60000038"
09/01/2010 1.00,"5,34234982","14,5089099","34,828311","24,7999897"
09/01/2010 2.00,"5,21231315","4,52567914","49,2429441","24,7999897"
09/01/2010 3.00,"5,21773172","6,03640388","48,69358095","24,7999897"
09/01/2010 4.00,"5,23579262","7,0266803","49,6170864","24,7999897"
09/01/2010 5.00,"7,77512467","20,20915168","29,86034205","24,7999897"
