"NetC","ARPA Puglia","","",""
"Stat","Molfetta ASM","","",""
,SO2,NO2,NOX,O3,PM10
,,,
,,,,,
,,,,,
,,,,,
,,,,,
01/01/2012 1.00,"7,34708666","3,46661661","7,71440567","57,87672555","9,39999962"
01/01/2012 2.00,"7,08159474","3,56655302","7,85966605","58,97066385","9,39999962"
01/01/2012 3.00,"6,99490261","4,15059446","8,51852978","57,83395275","9,39999962"
01/01/2012 4.00,"6,94613949","3,40042508","7,77666039","59,52431625","9,39999962"
01/01/2012 5.00,"6,94072092","3,6145729","8,01530285","60,57947175","9,39999962"
01/01/2012 6.00,"6,88473303","4,35306378","9,18647168","59,4815235","9,39999962"
01/01/2012 7.00,"6,86486594","3,97408435","8,44589863","57,3524994","9,39999962"
01/01/2012 8.00,"6,855836","3,34461762","7,76239305","56,59290315","9,39999962"
01/01/2012 9.00,"6,9064053","5,92867989","11,92568127","54,84101385","9,39999962"
01/01/2012 10.00,"6,96058801","4,01431857","8,81942695","58,5788259","9,39999962"
01/01/2012 11.00,"7,59451767","5,195382","10,19940913","61,13847075","9,39999962"
01/01/2012 12.00,"9,07007585","5,22004106","9,79864437","64,3654431","9,39999962"
01/01/2012 13.00,"8,84431711","4,05585103","8,04124295","70,6602267","9,39999962"
01/01/2012 14.00,"8,9364268","3,90659458","7,71440567","73,6277493","9,39999962"
01/01/2012 15.00,"8,40724814","8,08963758","12,58065408","69,76824225","9,39999962"
01/01/2012 16.00,"8,12188913","5,27325394","9,10346602","73,30011045","9,39999962"
01/01/2012 17.00,"8,79735917","4,23106289","8,02308469","74,32314645","9,39999962"
01/01/2012 18.00,"8,09660447","13,98975984","18,00719688","51,73707315","9,39999962"
01/01/2012 19.00,"7,90335515","14,75809895","18,63622958","29,27804145","9,39999962"
01/01/2012 20.00,"7,79499075","18,98267825","23,58417584","31,3803126","9,39999962"
01/01/2012 21.00,"7,73177911","21,0475828","25,05754392","36,40466025","9,39999962"
01/01/2012 22.00,"7,63605704","19,86522112","23,9953132","40,2280578","9,39999962"
01/01/2012 23.00,"7,426553","14,53486722","18,71275165","45,84883065","9,39999962"
02/01/2012 0.00,"7,27845543","9,10587132","13,41071829","51,69829035","9,39999962"
02/01/2012 1.00,,"11,21491248","15,52219151","49,44489795",18
02/01/2012 2.00,"6,69148371",,,"49,1587152",18
02/01/2012 3.00,"7,13758262","7,73402088","12,02943978",,18
02/01/2012 4.00,"6,22732389","12,86320753","17,2912676","36,01192455",18
02/01/2012 5.00,"5,45252041","4,93580888","9,54573266","42,42245805",18
02/01/2012 6.00,"5,33873845","7,14738104","13,37180909","42,6646311",18
02/01/2012 7.00,"5,62590365","9,93391454","16,81008794","42,57766905",18
02/01/2012 8.00,"6,58853789","14,1701666","22,20809032","43,00048935",18
02/01/2012 9.00,"6,86847832","22,43240616","29,03666448","36,70235415",18
02/01/2012 10.00,"7,85278584","31,13334456","54,40938248","35,61452055",18
02/01/2012 11.00,"9,50895","20,88274928","36,96635944","44,8911309",18
02/01/2012 12.00,"12,83210937","17,36941295","26,07048328","47,6929887",18
02/01/2012 13.00,"13,30710939","22,62060432","37,63171632","43,5597876",18
02/01/2012 14.00,"10,86891291","29,63429832","44,2229348","42,3368127",18
02/01/2012 15.00,"10,21511412","35,70313928","50,35114336","42,76767285",18
02/01/2012 16.00,"9,71664886","34,5116956","46,7792788","48,3914382",18
02/01/2012 17.00,"10,77861348","61,36078352","97,00719376","20,3448504",18
02/01/2012 18.00,"12,69304479","79,53877936","186,7280232","8,14998597",18
02/01/2012 19.00,"9,13509368","15,95993244","21,02135016","47,40931965",18
02/01/2012 20.00,"10,28375145","13,2318048","18,1991483","51,31772415",18
02/01/2012 21.00,"8,84973569","6,48027659","10,32780949","60,29729895",18
02/01/2012 22.00,"9,13870708","5,83133997","9,71952772","65,22395145",18
02/01/2012 23.00,"9,18385781","4,13502122","7,88820074","69,42941145",18
03/01/2012 0.00,"8,47407317","3,81185115","7,61583442","71,31871635",18
03/01/2012 1.00,"8,45059471","4,07272252","7,82983502","67,1574057","25,89999962"
03/01/2012 2.00,"8,34042412","3,16031803","6,93232884","65,73239715","25,89999962"
03/01/2012 3.00,"9,10258528","9,23435963","13,89449062","56,31396225","25,89999962"
03/01/2012 4.00,"9,15134941","14,75030755","18,99938148","43,7671878","25,89999962"
03/01/2012 5.00,"9,17302168","27,80950464","34,06503328","23,5106361","25,89999962"
03/01/2012 6.00,"9,44934973","18,9255649","41,80278256","24,25191825","25,89999962"
03/01/2012 7.00,"8,97977236","14,30125141","20,27689384","32,3176035","25,89999962"
03/01/2012 8.00,"10,5040845","35,28005192","85,92975408","25,48155645","25,89999962"
03/01/2012 9.00,"8,82445103","23,66149712","32,17014568","32,98930005","25,89999962"
03/01/2012 10.00,"10,13204454","30,53632256","56,36132416","29,26954275","25,89999962"
03/01/2012 11.00,"10,72442772","11,89759399","19,37290024","49,3842699","25,89999962"
03/01/2012 12.00,"24,91109973","16,65948162","27,93552456","48,77812905","25,89999962"
03/01/2012 13.00,"17,94508704","12,62310048","20,89944104","58,24607985","25,89999962"
03/01/2012 14.00,"27,77191056","23,70950744","37,05844136","49,732158","25,89999962"
03/01/2012 15.00,"13,27640616","25,7744292","36,7251224","51,94259805","25,89999962"
03/01/2012 16.00,"11,11453875","22,82436616","30,6941964","54,6815535","25,89999962"
03/01/2012 17.00,"10,93573998","33,47470328","44,68336352","39,4011702","25,89999962"
03/01/2012 18.00,"10,2277656","52,90645488","69,73310648","19,97954595","25,89999962"
03/01/2012 19.00,"11,934495","64,82611144","134,80621008","5,40031937","25,89999962"
03/01/2012 20.00,"9,98214078","39,97703288","64,72548288","5,87398424","25,89999962"
03/01/2012 21.00,"8,94726293","33,09182528","40,68479792","11,61148454","25,89999962"
03/01/2012 22.00,"9,31750687","31,45781096","37,90276144","18,30701975","25,89999962"
03/01/2012 23.00,"9,08813676","17,05663078","21,53107024","33,33986145","25,89999962"
04/01/2012 0.00,"8,35487264","15,73409847","19,68807432","27,4939728","25,89999962"
04/01/2012 1.00,,"15,61729439","19,53243752","20,31406755","24,60000038"
04/01/2012 2.00,"8,15078718",,,"21,38450475","24,60000038"
04/01/2012 3.00,"8,07131982","13,18119034","17,29256394",,"24,60000038"
04/01/2012 4.00,"8,03519801","7,74829587","11,51194742","30,7923861","24,60000038"
04/01/2012 5.00,"8,06228987","9,00723315","13,39515461","28,48594665","24,60000038"
04/01/2012 6.00,"7,8961314","7,8741896","11,91790134","32,02607415","24,60000038"
04/01/2012 7.00,"8,04422897","5,93646746","9,84922442","38,16496845","24,60000038"
04/01/2012 8.00,"9,36085243","16,84248105","53,2226232","29,82690585","24,60000038"
04/01/2012 9.00,"8,59327371","25,99637416","45,8934492","19,26552548","24,60000038"
04/01/2012 10.00,"9,50353244","26,63752512","41,54468168","26,2183698","24,60000038"
04/01/2012 11.00,"10,42281603","26,57781336","48,28247408","39,0741498","24,60000038"
04/01/2012 12.00,"13,207779","25,8237588","44,39283512","40,25820225","24,60000038"
