"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,,
01/01/2012 1.00,"21,4758708","26,37850648","0,4406065","29,00073645",,"1,52920188"
01/01/2012 2.00,"19,0339447","24,29880496","0,50737964","30,6829803","45,42124176","1,73568034"
01/01/2012 3.00,"20,40643184","24,8662292","0,48571064","28,8331365",,"1,97299424"
01/01/2012 4.00,"18,74386371","22,7411368","0,46766129","29,9949447","33,69963074","1,55970476"
01/01/2012 5.00,"16,8463777","19,63360144","0,40645336","31,99822395",,"1,05052541"
01/01/2012 6.00,"18,78149952","22,37539032","0,38337005","31,70691405","19,53602028","0,95835063"
01/01/2012 7.00,"20,6497912","24,22941848","0,39497112","27,57534885",,"0,89978465"
01/01/2012 8.00,"15,49853625","18,35219242","0,39392844","34,7131596","13,43101025","0,62159752"
01/01/2012 9.00,"25,09565008","34,19732456","0,46231394","27,456387",,"0,52187965"
01/01/2012 10.00,"15,4862115","20,649122","0,39058722","38,5304724","14,65200996","1,14081467"
01/01/2012 11.00,"10,78985002","13,86076867","0,4036026","46,82266995",,"1,19516518"
01/01/2012 12.00,"13,68346509","18,85606561","0,43750061","47,21468745","9,76801014","1,25545091"
01/01/2012 13.00,"15,19094134","21,47659736","0,45151905","49,1571192",,"1,30220341"
01/01/2012 14.00,"24,03399296","35,83734256","0,51640373","43,0276812","10,98900986","1,85342148"
01/01/2012 15.00,"18,01511256","23,57444376","0,54868821","46,9956963",,"2,16050463"
01/01/2012 16.00,"11,25384845","13,0384863","0,50216859","52,06265715","7,32600689","2,3399736"
01/01/2012 17.00,"22,31690224","25,6087544","0,47835832","35,73035025",,"1,47462966"
01/01/2012 18.00,"36,30861232","44,8214864","0,59711609","22,84292955","4,63980484","1,79058512"
01/01/2012 19.00,"67,96305336","116,83015968","0,80645844","2,91974435",,"2,96068328"
01/01/2012 20.00,"88,50902296","199,6231248","1,21599904","0,1763999","15,38461018","5,33809265"
01/01/2012 21.00,"106,55916336","346,7343168","1,71618247","0,02365472",,"7,54163367"
01/01/2012 22.00,"106,00043872","266,9605144","1,75869099","2,65615697","44,20024109","8,51318394"
01/01/2012 23.00,"139,98708","482,2109888","2,65791488","0,21560165",,"9,37459108"
02/01/2012 0.00,"129,6593164","436,3751864","2,18002839","0,34131258","52,2588501","12,07960056"
02/01/2012 1.00,"107,2781136","335,1282856","2,00185212","0,14125598",,"11,19456648"
02/01/2012 2.00,"70,30311192","131,06316416","0,89389518","2,48854106","42,49084091","8,55821772"
02/01/2012 3.00,"56,86041352","86,0756588","0,7262179",,,"5,10432809"
02/01/2012 4.00,,,"0,43240839","31,46360385","24,17580986","3,11802335"
02/01/2012 5.00,"28,41688968","30,88612296",,"33,0755439",,"2,32300292"
02/01/2012 6.00,"24,58883624","27,7040196","0,51371025","30,0936174","21,97801971","1,87322145"
02/01/2012 7.00,"41,26648568","53,12277856","0,49044986","16,18227093",,"2,58028257"
02/01/2012 8.00,"67,353068","127,76106368","1,05414093","0,40349274","22,22220993","2,62858803"
