"NetC","Regione-Provincia Lecce","","",""
"Stat","Arnesano","","",""
,SO2,NO2,NOX,PM10



01/01/2011 1.00,"1,6","32,7","54,1","55,2"
01/01/2011 2.00,"1,1","29,5","42,9","55,2"
01/01/2011 3.00,"1,2","28,7","41,1","55,2"
01/01/2011 4.00,"0,8",23,"33,8","55,2"
01/01/2011 5.00,"0,9","19,3","31,2","55,2"
01/01/2011 6.00,"1,1","21,3","35,4","55,2"
01/01/2011 7.00,"0,9","20,3","34,7","55,2"
01/01/2011 8.00,"0,7","18,9","34,4","55,2"
01/01/2011 9.00,1,"15,6","29,7","55,2"
01/01/2011 10.00,"0,9","19,8","33,6","55,2"
01/01/2011 11.00,1,"19,2","28,9","55,2"
01/01/2011 12.00,"0,9","10,4",21,"55,2"
01/01/2011 13.00,"0,9","7,1","16,6","55,2"
01/01/2011 14.00,1,"7,3","16,8","55,2"
01/01/2011 15.00,1,"7,3","15,9","55,2"
01/01/2011 16.00,"0,8","7,3","15,7","55,2"
01/01/2011 17.00,"0,8","8,2","15,8","55,2"
01/01/2011 18.00,"0,8","12,5","20,3","55,2"
01/01/2011 19.00,"0,9","15,5","24,3","55,2"
01/01/2011 20.00,"0,9","26,4","38,8","55,2"
01/01/2011 21.00,"0,8","20,3","33,5","55,2"
01/01/2011 22.00,"1,2","33,6","49,6","55,2"
01/01/2011 23.00,"0,8","24,5","37,6","55,2"
02/01/2011 0.00,"1,1","21,4","35,4","55,2"
02/01/2011 1.00,,"17,2","30,5",10
02/01/2011 2.00,"1,4",,,10
02/01/2011 3.00,"1,2","12,6","26,8",10
02/01/2011 4.00,"1,3","9,8","26,1",10
02/01/2011 5.00,"1,1","9,3","24,4",10
02/01/2011 6.00,"1,4","8,9","23,7",10
02/01/2011 7.00,"1,3","7,2","21,5",10
02/01/2011 8.00,"1,2","8,6","23,5",10
02/01/2011 9.00,"1,5","8,5","22,4",10
02/01/2011 10.00,"1,3","7,9","21,7",10
02/01/2011 11.00,"1,5",7,"19,9",10
02/01/2011 12.00,"1,2","6,8","18,7",10
02/01/2011 13.00,"1,2","6,3","16,7",10
02/01/2011 14.00,1,"7,2","16,8",10
02/01/2011 15.00,"1,1","7,5","16,6",10
02/01/2011 16.00,"1,3","7,4","16,8",10
02/01/2011 17.00,"1,5","8,6","19,7",10
02/01/2011 18.00,1,"7,2","17,8",10
02/01/2011 19.00,"1,4","6,7","17,8",10
02/01/2011 20.00,"1,1","7,4","18,3",10
02/01/2011 21.00,"1,4","7,8","19,5",10
02/01/2011 22.00,"1,4","12,8","24,3",10
02/01/2011 23.00,"1,3","16,1","28,3",10
03/01/2011 0.00,"1,5",16,"28,8",10
03/01/2011 1.00,"1,3","14,5","28,8","18,3"
03/01/2011 2.00,"1,1","11,8","26,1","18,3"
03/01/2011 3.00,"1,3","9,5","24,4","18,3"
03/01/2011 4.00,"1,1","9,6","23,2","18,3"
03/01/2011 5.00,"1,1","8,9",22,"18,3"
03/01/2011 6.00,"1,5","8,3","22,5","18,3"
03/01/2011 7.00,"1,4","7,2","21,2","18,3"
03/01/2011 8.00,"1,2",10,"24,6","18,3"
03/01/2011 9.00,"1,7","11,8","26,5","18,3"
03/01/2011 10.00,"1,4",13,"27,3","18,3"
03/01/2011 11.00,"1,3","11,4","25,1","18,3"
