Stat,Arnesano,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
01/01/2014 1.00,"0,5","6,3","8,4","37,8",,,
01/01/2014 2.00,"0,3","7,3","9,9","37,8",,,
01/01/2014 3.00,"0,7","7,3","10,5","37,8",,,
01/01/2014 4.00,"0,9","6,1","9,7","37,8",,,
01/01/2014 5.00,"0,3","5,8","9,5","37,8",,,
01/01/2014 6.00,"0,6","6,9","10,9","37,8",,,
01/01/2014 7.00,"0,4","8,2","12,6","37,8",,,
01/01/2014 8.00,"0,3","6,5","11,5","37,8",,,
01/01/2014 9.00,"0,4","6,9","12,0","37,8",,,
01/01/2014 10.00,"0,7","7,3","12,1","37,8",,,
01/01/2014 11.00,"0,5","6,8","11,3","37,8",,, 
01/01/2014 12.00,"0,6","8,8","14,2","37,8",,,
01/01/2014 13.00,"0,5","10,0","14,8","37,8",,,
01/01/2014 14.00,"0,9","9,6","13,8","37,8",,,
01/01/2014 15.00,"0,4","8,2","12,4","37,8",,,
01/01/2014 16.00,"0,5","9,2","13,0","37,8",,,
01/01/2014 17.00,"0,6","9,5","12,4","37,8",,,
01/01/2014 18.00,"0,7","17,0","21,2","37,8",,,
01/01/2014 19.00,"0,7","22,3","33,2","37,8",,,
01/01/2014 20.00,"1,0","23,8","53,9","37,8",,,
01/01/2014 21.00,"0,8","14,2","27,3","37,8",,,
01/01/2014 22.00,"0,7","14,5","36,4","37,8",,,
01/01/2014 23.00,"1,3","14,3","46,8","37,8",,,
02/01/2014 0.00,"0,9","14,0","48,4","37,8",,,
02/01/2014 1.00,,"10,3","44,1","62,8",,,
02/01/2014 2.00,"1,8",,,"62,8",,,
02/01/2014 3.00,"1,7","13,1","47,1","62,8",,,
02/01/2014 4.00,"1,8","11,7","47,1","62,8",,,
02/01/2014 5.00,"2,0","11,1","47,0","62,8",,,
02/01/2014 6.00,"2,1","11,2","48,4","62,8",,,
02/01/2014 7.00,"1,9","11,6","44,8","62,8",,,
02/01/2014 8.00,"1,7","13,5","52,2","62,8",,,
02/01/2014 9.00,"1,6","17,7","55,8","62,8",,,
