,Provincia di BARI,,,,,
,CALDAROLA,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,
01/01/2005 1.00,"1,30775623","23,94833536","0,66426203","23,1978999",,"2,8074285"
01/01/2005 2.00,"0,92345126","29,8860896","0,95446819","17,89192209",,"3,3342345"
01/01/2005 3.00,"0,77234133","29,89257128","0,85076688","18,73182308",,"4,68837"
01/01/2005 4.00,"0,75928203","28,09892408","0,70504752","18,82068636",,"4,42395"
01/01/2005 5.00,"0,75181928","25,594032","0,61215042","20,91855255",,"3,736458"
01/01/2005 6.00,"1,17716733","25,3824692","0,61925226","17,75172746",,"3,3301665"
01/01/2005 7.00,"1,03911568","26,1235604","0,67577689","18,61165425",,"3,2091435"
01/01/2005 8.00,"0,9178547","24,46228096","0,59528937","21,43801065",,"3,297114"
01/01/2005 9.00,"0,99807363","23,06707544","0,58538338","21,7371609",,"2,973708"
01/01/2005 10.00,"1,42901721","22,68419744","0,58587035","24,6636663",,"2,875059"
01/01/2005 11.00,"2,05024759","23,3279296","0,62153333","26,8328697",,"2,9772675"
01/01/2005 12.00,"1,51669888","24,68550696","0,70172028","27,4499631",,"3,155751"
01/01/2005 13.00,"1,35812621","26,9256444","0,77050537","26,15694375",,"3,521871"
01/01/2005 14.00,"1,14172183","30,56356856","0,89820685","27,2108823",,"3,821886"
01/01/2005 15.00,"0,78913098","27,68749992","0,62101024","31,31397885",,"4,225635"
01/01/2005 16.00,"0,82084511","22,73350792","0,54635588","32,2052052",,"3,547296"
01/01/2005 17.00,"0,59884418","21,59139384","0,55106597","30,9272082",,"2,870991"
01/01/2005 18.00,"1,06523326","24,9204344","0,73357021","24,11542035",,"2,559789"
01/01/2005 19.00,"1,14545219","30,49349376","0,82071105","17,96953158",,"2,930994"
01/01/2005 20.00,"1,57826196","32,91920992","0,84306623","15,7227167",,"3,7278135"
01/01/2005 21.00,"1,22007456","34,64020112","0,86571966","16,50878061",,"3,959181"
01/01/2005 22.00,"1,29469694","32,94257456","0,78983156","20,7896157",,"4,269366"
01/01/2005 23.00,"1,15851148","33,01264936","0,7848605","19,84959564",,"4,242924"
02/01/2005 0.00,"1,14172183","30,5596872","0,69779423","25,17185265",,"4,064949"
02/01/2005 1.00,,"29,4668836","0,63177601","25,19814675",,"3,8579895"
02/01/2005 2.00,"1,6259379","27,07361408","0,58523426","28,67539185",,"3,515769"
02/01/2005 3.00,"1,76633984","24,71017176",,"30,40150575",,"3,053034"
02/01/2005 4.00,"1,79765123","21,67055064","0,57319398","34,01516895",,"2,836413"
02/01/2005 5.00,"1,5456722","21,34998472","0,55436409",,,"2,507922"
02/01/2005 6.00,"1,87965601","20,73479872","0,56900115","31,62216645",,"2,394018"
02/01/2005 7.00,"1,36886369","20,11441208","0,60033615","33,735849",,"2,3019795"
02/01/2005 8.00,"1,61636997","22,15856952","0,71818755","28,4442312",,"2,252655"
02/01/2005 9.00,"2,9323039","25,52783856","0,71287166","23,70580695",,"2,553687"
02/01/2005 10.00,"3,32816504","26,11965992","0,73544586","29,4738507",,"3,2274495"
02/01/2005 11.00,"1,8323167","27,448672","0,78939119","31,3214601",,"3,527973"
02/01/2005 12.00,"1,41769393","30,24690312","0,86104568","31,566486",,"3,763917"
02/01/2005 13.00,"1,4647851","32,87898144","0,86385333","101,41341105",,"4,231737"
02/01/2005 14.00,"1,43595925","34,31443456","0,78396345","36,18489105",,"2,136717"
02/01/2005 15.00,"1,29766861","26,76471136","0,56978752","48,470919",,"3,588993"
02/01/2005 16.00,"1,09427064","23,7873832","0,60977032","44,8363482",,"2,915739"
02/01/2005 17.00,"1,22771528","30,53114104","0,72874478","28,69917225",,"2,6416575"
02/01/2005 18.00,"3,63705134","42,5208724","1,37681215","7,21470803",,"3,621537"
02/01/2005 19.00,"4,23581314","51,56834168","2,14497703","5,96110589",,"5,643333"
02/01/2005 20.00,"3,27038927","47,63189696","1,87659365","4,36223907",,"11,28360483"
02/01/2005 21.00,"3,17111279","46,22370896","1,82081229","3,04676201",,
02/01/2005 22.00,"2,4100805","45,11662272","1,67634297","2,92424706",,"10,21016133"
02/01/2005 23.00,"1,89295125","43,30089192","1,43637394","3,64448196",,"8,77060902"
03/01/2005 0.00,"1,68992653","38,97768784","1,12654685","9,02147778",,"8,19295302"
03/01/2005 1.00,"1,07762134","35,9017196","0,92787008","14,2462551",,"6,0089445"
