,Regione Puglia,,,,,
,Bari Via Caldarola,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,
,,,
,,,,
,,,,,
,,,,
01/01/2008 1.00,,"6,40457552","0,36461095","53,44591986","17,95359993",
01/01/2008 2.00,,"7,36602798","0,4727926","51,41797704","17,95359993",
01/01/2008 3.00,,"8,28534604","0,4636386","52,66427868","17,95359993",
01/01/2008 4.00,,"7,30474124","0,36174055","57,55466178","17,95359993",
01/01/2008 5.00,,"6,26029529","0,29343515","57,72668994","17,95359993",
01/01/2008 6.00,,"5,10220874","0,275126","58,26586716","17,95359993",
01/01/2008 7.00,,"4,91068532","0,2617446","57,35551878","17,95359993",
01/01/2008 8.00,,"5,02559937","0,2686492","58,20894954","17,95359993",
01/01/2008 9.00,,"4,62978242","0,2574781","57,75513894","17,95359993",
01/01/2008 10.00,,"4,53018911","0,25953315","59,00956326","17,95359993",
01/01/2008 11.00,,"4,89408549","0,2848228","60,49834848","17,95359993",
01/01/2008 12.00,,"5,57718945","0,303209","67,35708846","17,95359993",
01/01/2008 13.00,,"5,24904524","0,3184534","69,1628544","17,95359993",
01/01/2008 14.00,,"6,36499364","0,35933705","61,66067652","17,95359993",
01/01/2008 15.00,,"7,88697281","0,32368935","66,22320942","17,95359993",
01/01/2008 16.00,,"5,51207111","0,25491705","70,88191956","17,95359993",
01/01/2008 17.00,,"4,77917144","0,24355275","71,55655326","17,95359993",
01/01/2008 18.00,,"5,30522507","0,2742336","68,90139828","17,95359993",
01/01/2008 19.00,,"5,67039865","0,3002236","66,7135917","17,95359993",
01/01/2008 20.00,,"6,73527413","0,3485144","62,308215","17,95359993",
01/01/2008 21.00,,"8,33386455","0,40417555","49,80862692","17,95359993",
01/01/2008 22.00,,"8,72457458","0,42605315","52,82685","17,95359993",
01/01/2008 23.00,,"7,59841048","0,40181","57,50182512","17,95359993",
02/01/2008 0.00,,"7,02511554","0,3694214","55,9276929","17,95359993",
02/01/2008 1.00,,"6,94339737","0,3559227","53,92411812","20,4490509",
02/01/2008 2.00,,,"0,30383","57,54787326","20,4490509",
02/01/2008 3.00,,"5,99088343",,"59,36857002","20,4490509",
02/01/2008 4.00,,"4,66298019","0,24956725","61,37347896","20,4490509",
02/01/2008 5.00,,"4,32717467","0,2479814",,"20,4490509",
02/01/2008 6.00,,"5,21584747","0,2513486","55,19751498","20,4490509",
02/01/2008 7.00,,"6,21688181","0,27476835","54,97178688","20,4490509",
02/01/2008 8.00,,"6,00875857","0,30291115","65,64742128","20,4490509",
02/01/2008 9.00,,"9,02590514","0,41114685","54,4246047","20,4490509",
02/01/2008 10.00,,"13,24326703","0,59409345","38,72444526","20,4490509",
02/01/2008 11.00,,"13,96722819","0,56343445","43,1580159","20,4490509",
02/01/2008 12.00,,"15,16106503","0,6051645","44,64909666","20,4490509","2,3915"
02/01/2008 13.00,,"16,78902162","0,62196485","43,5027393","20,4490509","2,4000001"
02/01/2008 14.00,,"18,13735252","0,67647025","42,62998284","20,4490509","2,3900001"
02/01/2008 15.00,,"17,53851736","0,618171","48,47941116","20,4490509","2,51099992"
02/01/2008 16.00,,,"0,3966419","55,8525483","20,4490509","1,04999995"
02/01/2008 17.00,,"11,90515372","0,4405282","50,7201525","20,4490509","1,67949998"
02/01/2008 18.00,,"13,71569522","0,55317645","37,27166274","20,4490509","1,89450002"
