,Bari,,,,,,
,Caldarola,,,,,,
,SO2,NO2,,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,,
01/01/2009 1.00,"5,07324653","39,18014952",,"0,90190805","15,83402373","41,55392075","3,4227135"
01/01/2009 2.00,"5,11659209","45,26977392",,"1,18418522","14,51790228","41,55392075","3,6647595"
01/01/2009 3.00,"5,34957458","53,05958696",,"1,12938129","13,40064044","41,55392075","4,445307"
01/01/2009 4.00,"5,27371961","51,32823272",,"0,96913787","12,3514061","41,55392075","3,1521915"
01/01/2009 5.00,"5,21411934","53,06996912",,"0,9005951","13,5157659","41,55392075","3,0637125"
01/01/2009 6.00,"4,85110017","29,07102312",,"0,49358021","38,9472678","41,55392075","2,0202705"
01/01/2009 7.00,"4,80233604","28,51552976",,"0,43920151","41,18049075","41,55392075","1,390239"
01/01/2009 8.00,"4,40861262","24,8620228",,"0,42005823","41,79275625","41,55392075","1,297692"
01/01/2009 9.00,"4,61811666","26,62454264",,"0,46533013","38,4305229","41,55392075","1,539738"
01/01/2009 10.00,"4,69397164","22,52196424",,"0,50369241","44,97055185","41,55392075","1,6297425"
01/01/2009 11.00,"4,49169237","16,72827155",,"0,48377907","50,85255","41,55392075","1,837719"
01/01/2009 12.00,"5,0425433","16,88790826",,"0,48088404","49,21068495","41,55392075","1,5921135"
01/01/2009 13.00,"4,54587406","18,78929092",,"0,52036589","49,12170795","41,55392075","1,6205895"
01/01/2009 14.00,"4,5747711","24,48954608",,"0,51673692","44,50220565","41,55392075","1,7304255"
01/01/2009 15.00,"4,72828725","24,86074176",,"0,48126849","45,42585075","41,55392075","1,744155"
01/01/2009 16.00,"4,62895381","17,93399214",,"0,44410266","48,7658598","41,55392075","1,64754"
01/01/2009 17.00,"5,17799855","14,85932979",,"0,44572434","50,4888615","41,55392075","1,813311"
01/01/2009 18.00,"4,20452717","14,64388946",,"0,43067254","51,84947145","41,55392075","1,6216065"
01/01/2009 19.00,"4,62534143","17,49920716",,"0,50384736","49,1086407","41,55392075","1,6053345"
01/01/2009 20.00,"4,45376437","22,8658948",,"0,54178558","44,76386985","41,55392075","1,7812755"
01/01/2009 21.00,"4,90889425","31,37733488",,"0,59222775","36,9390609","41,55392075","1,9704375"
01/01/2009 22.00,"4,735511","50,85321544",,"0,94787313","19,15834809","41,55392075","2,167227"
01/01/2009 23.00,"4,48266243","43,40863312",,"0,67319758","22,93270455","41,55392075","2,685897"
02/01/2009 0.00,"4,75899048","34,88679176",,"0,51137326","27,57183765","41,55392075","2,020779"
02/01/2009 1.00,,"29,30593144",,"0,51411334","27,62286975","26,59571075","1,6602525"
02/01/2009 2.00,"4,30566782",,,"0,47436121","28,33979295","26,59571075","1,803141"
02/01/2009 3.00,"4,16659917","19,01772138",,,"33,07312995","26,59571075","1,719747"
02/01/2009 4.00,"4,31108537","14,45309671",,"0,42534733","37,3027893","26,59571075","1,564146"
02/01/2009 5.00,"4,20813955","13,27462786",,"0,40778845",,"26,59571075","1,498041"
02/01/2009 6.00,"4,27857595","14,94239281",,"0,40462431","39,09543645","26,59571075","1,425834"
02/01/2009 7.00,"4,30927918","22,39865936",,"0,43588242","34,2847932","26,59571075","1,386171"
02/01/2009 8.00,"4,45557056","32,74919488",,"0,51163655","25,886721","26,59571075","1,5555015"
02/01/2009 9.00,"4,28038214","44,53128304",,"0,71967875","20,54672445","26,59571075","1,8921285"
02/01/2009 10.00,"4,76982662","43,80317432",,"1,11342079","23,9762691","26,59571075","2,945232"
02/01/2009 11.00,"4,48266243","48,01735616",,"0,8563682","28,5507642","26,59571075","3,3230475"
02/01/2009 12.00,"5,11659209","44,0303008",,"0,83923338","36,5800008","26,59571075","2,964555"
02/01/2009 13.00,"4,69758402","37,1204284",,"0,66503443","40,06923585","26,59571075","2,6335215"
02/01/2009 14.00,"4,38874655","35,69275712",,"0,55640167","40,65564615","26,59571075","2,0985795"
02/01/2009 15.00,"4,56935252","39,08540992",,"0,69297462","41,33490375","26,59571075","1,9470465"
02/01/2009 16.00,"4,27315738","25,57324856",,"0,42168107","48,0745923","26,59571075","1,694322"
02/01/2009 17.00,"4,30747299","18,81914489",,"0,37556455","62,68032645","26,59571075","1,364814"
02/01/2009 18.00,"4,22800563","26,03530248",,"0,46517285","46,25569095","26,59571075","1,226502"
02/01/2009 19.00,"4,26954601","50,85061512",,"0,61482875","23,65784715","26,59571075","1,579401"
