Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
01/01/2014 1.00,,,"0,58","75,20","36,53","20,95",,
01/01/2014 2.00,,,"0,59","67,36","36,53","20,95",,
01/01/2014 3.00,,,"0,57","61,97","36,53","20,95",,
01/01/2014 4.00,,,"0,56","67,32","36,53","20,95",,
01/01/2014 5.00,,,"0,54","64,93","36,53","20,95",,
01/01/2014 6.00,,,"0,56","48,91","36,53","20,95",,
01/01/2014 7.00,,,"0,54","49,37","36,53","20,95",,
01/01/2014 8.00,,,"0,57","46,03","36,53","20,95",,
01/01/2014 9.00,,,"0,66","36,57","36,53","20,95",,
01/01/2014 10.00,,,"0,54","47,39","36,53","20,95",,
01/01/2014 11.00,,,"0,59","51,21","36,53","20,95",, 
01/01/2014 12.00,,,"0,60","63,48","36,53","20,95",,
01/01/2014 13.00,,,"0,62","61,11","36,53","20,95",,
01/01/2014 14.00,,,"0,62","64,89","36,53","20,95",,
01/01/2014 15.00,,,"0,64","65,37","36,53","20,95",,
01/01/2014 16.00,,,"0,68","55,24","36,53","20,95",,
01/01/2014 17.00,,,"0,62","35,15","36,53","20,95",,
01/01/2014 18.00,,,"0,91","14,72","36,53","20,95",,
01/01/2014 19.00,,,"1,06","7,75","36,53","20,95",,
01/01/2014 20.00,,,"1,21","5,21","36,53","20,95",,
01/01/2014 21.00,,,"1,46","6,06","36,53","20,95",,
01/01/2014 22.00,,,"1,58","6,35","36,53","20,95",,
01/01/2014 23.00,,,"1,43","5,34","36,53","20,95",,
02/01/2014 0.00,,,"1,40","6,83","36,53","20,95",,
02/01/2014 1.00,,,"1,16","6,59","51,67","34,38",,
02/01/2014 2.00,,,"0,75","5,24","51,67","34,38",,
02/01/2014 3.00,,,,"5,40","51,67","34,38",,
02/01/2014 4.00,,,"0,74","5,62","51,67","34,38",,
02/01/2014 5.00,,,"1,02",,"51,67","34,38",,
02/01/2014 6.00,,,"1,24","5,34","51,67","34,38",,
02/01/2014 7.00,,,"1,08","5,58","51,67","34,38",,
02/01/2014 8.00,,,"1,03","6,33","51,67","34,38",,
02/01/2014 9.00,,,"1,13","7,04","51,67","34,38",,
