NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



01/01/2006 1.00,5,201,101,45
01/01/2006 2.00,5,356,194,59
01/01/2006 3.00,3,316,164,64
01/01/2006 4.00,2,276,139,62
01/01/2006 5.00,2,160,65,60
01/01/2006 6.00,1,109,36,55
01/01/2006 7.00,1,127,45,57
01/01/2006 8.00,1,109,29,64
01/01/2006 9.00,1,30,5,23
01/01/2006 10.00,1,,,
01/01/2006 11.00,1,,,
01/01/2006 12.00,1,,,
01/01/2006 13.00,"0,91914935",,,
01/01/2006 14.00,"0,88658704",,,
01/01/2006 15.00,"0,80781836",,,
01/01/2006 16.00,"0,86409202",8,3,5
01/01/2006 17.00,"0,69686366",17,4,13
01/01/2006 18.00,"0,76189877",11,5,6
01/01/2006 19.00,"0,66328028",52,8,39
01/01/2006 20.00,"0,69273057",27,5,19
01/01/2006 21.00,"0,65457985",23,4,16
01/01/2006 22.00,"0,70690145",14,3,9
01/01/2006 23.00,"0,6730923",15,4,10
02/01/2006 0.00,"0,66114662",23,5,15
02/01/2006 1.00,,45,7,34
02/01/2006 2.00,1,,,
02/01/2006 3.00,1,14,4,9
02/01/2006 4.00,1,29,5,21
02/01/2006 5.00,"0,94879083",19,5,12
02/01/2006 6.00,1,69,16,44
02/01/2006 7.00,1,109,32,60
02/01/2006 8.00,1,90,19,61
02/01/2006 9.00,1,70,12,51
02/01/2006 10.00,1,50,9,36
02/01/2006 11.00,1,18,5,10
02/01/2006 12.00,1,25,6,16
02/01/2006 13.00,1,14,4,8
02/01/2006 14.00,1,28,4,21
02/01/2006 15.00,1,1,3,"0,58404334"
02/01/2006 16.00,"0,99137465",10,4,7
02/01/2006 17.00,1,94,22,60
02/01/2006 18.00,1,118,29,74
02/01/2006 19.00,1,102,21,70
02/01/2006 20.00,1,125,31,77
02/01/2006 21.00,1,174,59,84
02/01/2006 22.00,1,197,72,87
02/01/2006 23.00,1,172,60,80
03/01/2006 0.00,1,162,61,69
03/01/2006 1.00,1,83,21,50
03/01/2006 2.00,1,68,18,41
03/01/2006 3.00,1,6,3,3
03/01/2006 4.00,1,12,5,5
03/01/2006 5.00,1,20,4,14
03/01/2006 6.00,1,84,19,55
03/01/2006 7.00,2,162,59,72
03/01/2006 8.00,2,180,68,77
03/01/2006 9.00,3,360,173,94
03/01/2006 10.00,2,335,150,104
03/01/2006 11.00,1,97,20,67
03/01/2006 12.00,"0,96439059",52,8,41
03/01/2006 13.00,1,30,5,23
03/01/2006 14.00,"0,96516046",27,5,19
03/01/2006 15.00,"0,98830636",15,4,9
03/01/2006 16.00,"0,93078789",39,6,30
03/01/2006 17.00,1,78,15,55
03/01/2006 18.00,2,135,44,68
03/01/2006 19.00,3,346,179,71
03/01/2006 20.00,2,370,192,75
03/01/2006 21.00,2,332,166,78
03/01/2006 22.00,2,328,163,79
03/01/2006 23.00,1,87,18,58
04/01/2006 0.00,1,146,41,83
04/01/2006 1.00,,159,60,67
04/01/2006 2.00,1,,,
04/01/2006 3.00,1,20,4,14
04/01/2006 4.00,1,21,4,15
04/01/2006 5.00,1,10,3,5
04/01/2006 6.00,1,34,5,26
04/01/2006 7.00,1,48,7,38
04/01/2006 8.00,1,109,21,76
04/01/2006 9.00,2,130,33,79
04/01/2006 10.00,2,220,79,99
04/01/2006 11.00,1,,,
04/01/2006 12.00,1,,,
04/01/2006 13.00,1,90,14,68
04/01/2006 14.00,2,52,6,43
04/01/2006 15.00,1,60,8,47
04/01/2006 16.00,1,,,
04/01/2006 17.00,1,,,
04/01/2006 18.00,2,144,49,69
04/01/2006 19.00,2,267,120,82
04/01/2006 20.00,2,302,140,87
04/01/2006 21.00,3,401,201,93
04/01/2006 22.00,1,189,66,87
04/01/2006 23.00,1,69,10,54
05/01/2006 0.00,1,54,8,41
05/01/2006 1.00,1,20,5,13
05/01/2006 2.00,1,27,6,18
05/01/2006 3.00,1,5,3,1
05/01/2006 4.00,1,2,3,"0,01946798"
05/01/2006 5.00,1,,,
05/01/2006 6.00,1,,,
05/01/2006 7.00,1,3,4,1
05/01/2006 8.00,1,34,9,21
05/01/2006 9.00,1,51,12,32
05/01/2006 10.00,2,94,27,53
05/01/2006 11.00,2,115,35,62
05/01/2006 12.00,2,102,32,53
05/01/2006 13.00,2,72,20,40
05/01/2006 14.00,2,71,20,41
05/01/2006 15.00,1,51,13,30
05/01/2006 16.00,2,51,14,31
05/01/2006 17.00,2,58,15,36
05/01/2006 18.00,1,74,19,44
