,ARPA Puglia,
,Capitaneria di Porto,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,
,,,,
01/01/2008 1.00,"3,51623893","14,60947307"
01/01/2008 2.00,"3,19480491","14,34389844"
01/01/2008 3.00,"3,10956311","13,402868"
01/01/2008 4.00,"3,15395999","10,94497846"
01/01/2008 5.00,"3,02609706","12,17073776"
01/01/2008 6.00,"3,12732196","13,66973299"
01/01/2008 7.00,"3,07226992","10,30400514"
01/01/2008 8.00,"2,98702788","10,68449946"
01/01/2008 9.00,"3,148633","10,67684379"
01/01/2008 10.00,"3,26228905","9,13188256"
01/01/2008 11.00,"3,10245991","12,00857486"
01/01/2008 12.00,"3,21433997","13,53949443"
01/01/2008 13.00,"3,34753108","15,24406227"
01/01/2008 14.00,"3,21433997","12,63294648"
01/01/2008 15.00,"2,99413109","7,19493222"
01/01/2008 16.00,"3,182374","8,16277067"
01/01/2008 17.00,"3,15751195","10,60023066"
01/01/2008 18.00,"3,09535599","17,13121691"
01/01/2008 19.00,"3,14508104","20,78931987"
01/01/2008 20.00,"3,34753108","22,63945266"
01/01/2008 21.00,"3,20546103","0,26047336"
01/01/2008 22.00,"3,37416911","7,24472981"
01/01/2008 23.00,"3,33332396","20,41264962"
02/01/2008 0.00,"3,32266903","19,48441374"
02/01/2008 1.00,,"12,27926205"
02/01/2008 2.00,"3,21966791","8,28789855"
02/01/2008 3.00,"3,16461492","6,97148823"
02/01/2008 4.00,"3,15928793","5,51717991"
02/01/2008 5.00,"3,26228905","4,97835806"
02/01/2008 6.00,"3,2249949","6,8680652"
02/01/2008 7.00,"3,30668592","14,76141836"
02/01/2008 8.00,"3,29070306","20,94764364"
02/01/2008 9.00,"3,52334309","18,86513211"
02/01/2008 10.00,"3,73467207","20,46883509"
02/01/2008 11.00,"3,60325694","18,52422908"
02/01/2008 12.00,"3,49670506","16,73667339"
02/01/2008 13.00,"3,4931531","18,4118713"
02/01/2008 14.00,"3,55530906","17,05460378"
02/01/2008 15.00,"3,39192796","15,7330903"
02/01/2008 16.00,"3,52689505","19,06942752"
02/01/2008 17.00,"3,42744493","22,13637921"
02/01/2008 18.00,"3,55530906","35,03490408"
02/01/2008 19.00,"3,55708504","31,38700554"
02/01/2008 20.00,"3,59437799","31,56959421"
02/01/2008 21.00,"3,64232707","30,24806004"
02/01/2008 22.00,"3,54110193","31,27847184"
02/01/2008 23.00,"3,6103611","23,94819603"
03/01/2008 0.00,"3,59792995","21,90144231"
03/01/2008 1.00,"3,2835989","17,26783205"
03/01/2008 2.00,"3,34397888","12,03283036"
03/01/2008 3.00,"3,35285902","12,92533853"
03/01/2008 4.00,"3,33865094","10,73557426"
03/01/2008 5.00,"3,17349505","10,57597329"
03/01/2008 6.00,"3,29425502","12,5448442"
03/01/2008 7.00,"3,83412194","27,51310485"
03/01/2008 8.00,"4,5764389","42,20046072"
03/01/2008 9.00,"5,30987692","46,68087105"
03/01/2008 10.00,"4,240798","35,85462507"
03/01/2008 11.00,"3,56063604","34,54204446"
03/01/2008 12.00,"3,59437799","33,05708901"
03/01/2008 13.00,"4,240798","23,70942189"
03/01/2008 14.00,"3,31734109","19,12177575"
03/01/2008 15.00,"3,45585895","10,86070026"
03/01/2008 16.00,"3,61746502","12,76829007"
03/01/2008 17.00,"3,57306695","30,59792604"
03/01/2008 18.00,"3,61746502","25,36165467"
03/01/2008 19.00,"3,61924005","11,50677861"
03/01/2008 20.00,"3,388376","11,77364173"
03/01/2008 21.00,"3,54642892","13,32115171"
03/01/2008 22.00,"3,47539401","11,89748865"
03/01/2008 23.00,"3,48249793","12,05071491"
04/01/2008 0.00,"3,48072195","12,14902161"
04/01/2008 1.00,,"10,62831964"
04/01/2008 2.00,"3,47361803","10,74707281"
04/01/2008 3.00,"3,48427296","12,70699769"
04/01/2008 4.00,"3,47539401","11,4774162"
04/01/2008 5.00,"3,50380802","9,01696851"
04/01/2008 6.00,"3,34042692","8,37599895"
04/01/2008 7.00,"3,51091194","17,68791202"
04/01/2008 8.00,"3,75065494","34,22283876"
04/01/2008 9.00,"3,63344693","25,2633348"
04/01/2008 10.00,"4,01171017","21,82227102"
04/01/2008 11.00,"4,40773106","24,37209819"
04/01/2008 12.00,"3,77019","29,73351249"
04/01/2008 13.00,"3,97264004","32,1301134"
04/01/2008 14.00,"3,97974396","29,23937379"
04/01/2008 15.00,"3,64943004","32,14032723"
04/01/2008 16.00,"3,88562202","44,61241059"
04/01/2008 17.00,"3,39192796","23,45405733"
04/01/2008 18.00,"3,55708504","18,71448282"
04/01/2008 19.00,"3,30490994","10,05375126"
04/01/2008 20.00,"3,38482404","11,61020728"
04/01/2008 21.00,"3,4043591","26,85680514"
04/01/2008 22.00,"3,42744493","25,95665259"
04/01/2008 23.00,"3,32799602","16,64985396"
05/01/2008 0.00,"3,26406503","19,3299084"
05/01/2008 1.00,"3,20368505","14,40134794"
05/01/2008 2.00,"3,1326499","13,4667129"
05/01/2008 3.00,"3,05983901","12,26266034"
05/01/2008 4.00,"3,1362009","11,97665241"
05/01/2008 5.00,"3,12554598","16,02931582"
05/01/2008 6.00,"3,23920202","20,20069854"
05/01/2008 7.00,"3,67606902","24,03502299"
05/01/2008 8.00,"4,505404","34,63142958"
05/01/2008 9.00,"5,13761711","37,30256244"
05/01/2008 10.00,"4,62793922","29,92631499"
05/01/2008 11.00,"4,43259287","27,83486871"
05/01/2008 12.00,"3,90338111","25,55571744"
05/01/2008 13.00,"3,73467207","22,92290055"
05/01/2008 14.00,"3,89805293","29,07721278"
05/01/2008 15.00,"3,37594509","21,47498199"
05/01/2008 16.00,"3,71513796","31,7330343"
05/01/2008 17.00,"4,83394098","38,82709413"
05/01/2008 18.00,"5,70412207","37,65622806"
05/01/2008 19.00,"4,82861423","35,4920247"
05/01/2008 20.00,"6,33633518","41,40116739"
05/01/2008 21.00,"5,48924112","36,34492653"
05/01/2008 22.00,"6,16052198","46,50210081"
05/01/2008 23.00,"5,87993383","48,53610135"
06/01/2008 0.00,"4,17153788","36,66287196"
06/01/2008 1.00,,"32,86940283"
06/01/2008 2.00,"3,69382691","27,74804175"
06/01/2008 3.00,"3,52334309","24,58788651"
06/01/2008 4.00,"3,36351395","21,45327525"
06/01/2008 5.00,"3,38482404","21,46732632"
06/01/2008 6.00,"3,21789193","25,95537351"
06/01/2008 7.00,"3,329772","17,89348463"
06/01/2008 8.00,"2,87692308","12,11966108"
06/01/2008 9.00,"2,94973397","16,94096504"
06/01/2008 10.00,"3,07049394","22,90631013"
06/01/2008 11.00,"3,43454909","37,0573929"
06/01/2008 12.00,"2,91954398","30,80094237"
06/01/2008 13.00,"3,43259501","41,54220477"
06/01/2008 14.00,"3,887398","42,78270546"
06/01/2008 15.00,"3,37949705","22,63433634"
06/01/2008 16.00,"3,23387504","22,66753599"
06/01/2008 17.00,"3,45941091","33,95342313"
06/01/2008 18.00,"4,00105381","41,46246918"
06/01/2008 19.00,"3,11844301","25,35653835"
06/01/2008 20.00,"3,16994309","20,77017129"
06/01/2008 21.00,"3,22677112","32,24760066"
06/01/2008 22.00,"3,10245991","26,82872181"
06/01/2008 23.00,"2,98169994","19,78189389"
07/01/2008 0.00,"3,05273509","14,44476894"
07/01/2008 1.00,"2,88047504","11,23353891"
07/01/2008 2.00,"2,90888906","9,81626372"
07/01/2008 3.00,"2,8680439","8,68754522"
07/01/2008 4.00,"2,77037001","11,12756525"
07/01/2008 5.00,"2,94263101","9,25190541"
07/01/2008 6.00,"2,9852519","13,99021401"
07/01/2008 7.00,"3,90338111","33,92280045"
07/01/2008 8.00,"4,66523314","42,86187675"
07/01/2008 9.00,"4,64569807","46,19182986"
07/01/2008 10.00,"3,33332396","29,94290541"
07/01/2008 11.00,"3,45408392","33,36608088"
07/01/2008 12.00,"3,14685702","25,02967698"
07/01/2008 13.00,"2,91954398",
07/01/2008 14.00,"2,85738802","14,47591078"
07/01/2008 15.00,"2,914217","13,72207934"
07/01/2008 16.00,"2,93197489","17,87049881"
07/01/2008 17.00,"3,00833797","19,60825878"
07/01/2008 18.00,"3,00656199","22,47089625"
07/01/2008 19.00,"3,21256399","29,95184016"
07/01/2008 20.00,"3,07937288","24,15377052"
07/01/2008 21.00,"3,24275398","27,61398288"
07/01/2008 22.00,"3,17171907","24,16014711"
07/01/2008 23.00,"3,6103611","35,4256254"
08/01/2008 0.00,"3,53399801","31,01417253"
08/01/2008 1.00,,"25,88003946"
08/01/2008 2.00,"3,21433997",
08/01/2008 3.00,"3,09535599","13,3786125"
08/01/2008 4.00,"2,89645791","11,01392652"
08/01/2008 5.00,"3,10956311","11,33951257"
08/01/2008 6.00,"2,99590707","12,28564616"
08/01/2008 7.00,"3,46118689","21,20172912"
08/01/2008 8.00,"3,92469096","27,8655102"
08/01/2008 9.00,"3,78262091","29,91098484"
08/01/2008 10.00,"3,76486206","29,58666282"
08/01/2008 11.00,"3,69027495","26,98960374"
08/01/2008 12.00,"3,3457551","22,48494732"
08/01/2008 13.00,"3,59082603","26,61549165"
08/01/2008 14.00,"3,2498579","27,51820236"
08/01/2008 15.00,"2,83074999","21,8235501"
08/01/2008 16.00,"3,05806303","19,71679248"
08/01/2008 17.00,"3,01544189","21,11746032"
08/01/2008 18.00,"4,28697109","29,16148158"
08/01/2008 19.00,"3,96731305","31,19804028"
08/01/2008 20.00,"3,51623893","32,09309532"
08/01/2008 21.00,"3,51623893","32,14800171"
08/01/2008 22.00,"3,39370394","29,1908628"
08/01/2008 23.00,"3,26228905","27,08536545"
09/01/2008 0.00,"3,3084619","27,37648782"
09/01/2008 1.00,"3,10423589","19,72444815"
09/01/2008 2.00,"3,23920202","13,91488184"
09/01/2008 3.00,"3,42211795","18,11948114"
09/01/2008 4.00,"3,090029","17,78622813"
09/01/2008 5.00,"3,17527103","16,00888252"
09/01/2008 6.00,"3,2498579","15,36790731"
09/01/2008 7.00,"3,39015198","20,30285565"
09/01/2008 8.00,"4,10227919","33,40567593"
09/01/2008 9.00,"4,13779688","33,9432093"
09/01/2008 10.00,"3,68317199","31,03204203"
09/01/2008 11.00,"3,31734109","30,62091186"
09/01/2008 12.00,"3,15928793","26,08433487"
09/01/2008 13.00,"3,0225451","22,54878846"
09/01/2008 14.00,"2,94973397","16,64346984"
09/01/2008 15.00,"2,99768305","15,44707108"
09/01/2008 16.00,"3,20546103","21,31282098"
09/01/2008 17.00,"3,31378889","26,74573209"
09/01/2008 18.00,"3,4043591","30,9618243"
09/01/2008 19.00,"3,17349505","28,86400143"
09/01/2008 20.00,"3,23387504","21,66012882"
09/01/2008 21.00,"3,54465294","37,4429979"
09/01/2008 22.00,"3,38660002","28,40050422"
09/01/2008 23.00,"3,29425502","31,57343145"
10/01/2008 0.00,"3,237427","25,16629401"
10/01/2008 1.00,,"27,9076446"
10/01/2008 2.00,"3,09535599",
10/01/2008 3.00,"3,15928793","16,76349269"
10/01/2008 4.00,"3,1397531","11,29610097"
10/01/2008 5.00,"3,15573597","13,0415279"
10/01/2008 6.00,"3,27827191","16,80690241"
10/01/2008 7.00,"3,67606902","26,54143668"
10/01/2008 8.00,"3,87319112","25,30163196"
10/01/2008 9.00,"4,69364691","37,20807981"
10/01/2008 10.00,"4,06853819","27,79145523"
10/01/2008 11.00,"3,79682803","21,79162953"
10/01/2008 12.00,"3,15751195","24,20739783"
10/01/2008 13.00,"3,18414998","19,44737685"
10/01/2008 14.00,"3,24630594","24,24059748"
10/01/2008 15.00,"3,21433997","24,08992938"
10/01/2008 16.00,"3,4008069","27,56801124"
10/01/2008 17.00,"3,22144389","25,78045932"
10/01/2008 18.00,"3,42211795","25,71148305"
10/01/2008 19.00,"3,37061691","32,21821944"
10/01/2008 20.00,"3,39192796","29,11680783"
10/01/2008 21.00,"3,71336198","33,99811569"
10/01/2008 22.00,"3,64410305","34,89828705"
10/01/2008 23.00,"3,86963892","35,35155162"
11/01/2008 0.00,"3,56241202","25,81873767"
11/01/2008 1.00,"3,64587903","23,41192293"
11/01/2008 2.00,"3,18947792","21,78907137"
11/01/2008 3.00,"3,14508104","14,38857971"
11/01/2008 4.00,"3,23920202","10,56065254"
11/01/2008 5.00,"3,22321892","17,80665391"
11/01/2008 6.00,"3,34930706","19,66954176"
11/01/2008 7.00,"3,505584","22,48240797"
11/01/2008 8.00,"4,22481489","28,74141666"
11/01/2008 9.00,"4,58531809","35,3170917"
11/01/2008 10.00,"3,83234596","28,36602549"
11/01/2008 11.00,"3,22144389","18,94686156"
11/01/2008 12.00,"3,26939201","16,86946447"
11/01/2008 13.00,"3,48427391","23,96352618"
11/01/2008 14.00,"3,89627695","30,69624591"
11/01/2008 15.00,"3,57484293","36,23511375"
11/01/2008 16.00,"3,98507094","48,6535698"
