,Foggia,,
,Capitaneria di Porto,,
Parm,SO2,NO2,PM10
,,,,
,,,,,
,,,,
,,,,
,,,,
01/01/2010 1.00,"5,72704329","36,94651288","61,5"
01/01/2010 2.00,"11,3728059","38,70513224","61,5"
01/01/2010 3.00,"8,47407317","39,67853144","61,5"
01/01/2010 4.00,"6,27608803","26,32602208","61,5"
01/01/2010 5.00,"5,85346757","16,62833322","61,5"
01/01/2010 6.00,"5,68008535","25,2695656","61,5"
01/01/2010 7.00,"5,81012202","21,61733968","61,5"
01/01/2010 8.00,"5,41459343","14,49333666","61,5"
01/01/2010 9.00,"5,36041072","15,83922406","61,5"
01/01/2010 10.00,"5,23037405","13,1461472","61,5"
01/01/2010 11.00,"5,46335756","11,03060715","61,5"
01/01/2010 12.00,"5,29900528","16,10269383","61,5"
01/01/2010 13.00,"5,27733199","16,65688703","61,5"
01/01/2010 14.00,"5,27191341","24,6816256","61,5"
01/01/2010 15.00,"5,44890803","29,59146952","61,5"
01/01/2010 16.00,"5,32067755","13,51603698","61,5"
01/01/2010 17.00,"5,0425433","8,83461588","61,5"
01/01/2010 18.00,"5,14910151","9,7535097","61,5"
01/01/2010 19.00,"4,94140367","12,37909869","61,5"
01/01/2010 20.00,"5,14548913","18,19746191","61,5"
01/01/2010 21.00,"5,26830205","27,10086008","61,5"
01/01/2010 22.00,"5,33873845","24,55962088","61,5"
01/01/2010 23.00,"5,49225358","38,5441992","61,5"
02/01/2010 0.00,"5,26468966","28,90748976","61,5"
02/01/2010 1.00,,"29,77058568",6
02/01/2010 2.00,"5,47058131",,6
02/01/2010 3.00,"5,14729532","14,21298966",6
02/01/2010 4.00,"5,20147701","11,00205526",6
02/01/2010 5.00,"5,31706516","12,42063115",6
02/01/2010 6.00,"5,36221691","10,35830971",6
02/01/2010 7.00,"5,30442284","15,7483792",6
02/01/2010 8.00,"5,25565972","14,97095618",6
02/01/2010 9.00,"5,34054464","20,19746936",6
02/01/2010 10.00,"5,38027781","25,7588464",6
02/01/2010 11.00,"5,50309073","31,76671368",6
02/01/2010 12.00,"5,39292014","25,93278104",6
02/01/2010 13.00,"5,25024114","24,810112",6
02/01/2010 14.00,"5,1328468","23,17479752",6
02/01/2010 15.00,"5,36944168","27,08009576",6
02/01/2010 16.00,"5,06421557","13,56795352",6
02/01/2010 17.00,"5,20870178","10,91380498",6
02/01/2010 18.00,"5,16355003","14,97483945",6
02/01/2010 19.00,"5,24121018","24,65046",6
02/01/2010 20.00,"5,40014491","29,23585664",6
02/01/2010 21.00,"5,34415703","25,612196",6
02/01/2010 22.00,"5,39472633","30,24950344",6
02/01/2010 23.00,"5,40917485","27,76277536",6
03/01/2010 0.00,"5,32248374","24,27668312",6
03/01/2010 1.00,"5,43987808","23,08523944","15,60000038"
03/01/2010 2.00,"5,48322364","16,42327122","15,60000038"
03/01/2010 3.00,"5,37305305","12,68799758","15,60000038"
03/01/2010 4.00,"5,37847162","11,67955142","15,60000038"
03/01/2010 5.00,"5,47780608","9,1681681","15,60000038"
03/01/2010 6.00,"5,39653253","7,2486157","15,60000038"
03/01/2010 7.00,"5,36944168","6,90338116","15,60000038"
03/01/2010 8.00,"5,55004766","7,18372242","15,60000038"
03/01/2010 9.00,"5,55546623","7,28884992","15,60000038"
03/01/2010 10.00,"5,82637673","12,71914215","15,60000038"
03/01/2010 11.00,"5,54101772","16,96707844","15,60000038"
03/01/2010 12.00,"5,62048508","17,20069425","15,60000038"
03/01/2010 13.00,"5,61687269","23,01256432","15,60000038"
