
Stat, via dei Mandorli,,,,
,SO2,NO2,NOX,PM10



01/01/2011 1.00,"6,97323034","26,47399176","35,19340008","49,79999161"
01/01/2011 2.00,"8,15620474","27,795222","51,42891864","49,79999161"
01/01/2011 3.00,"8,85096015","39,01137728","70,130248","49,79999161"
01/01/2011 4.00,"7,66314788","47,979728","86,63790152","49,79999161"
01/01/2011 5.00,"7,18634574","37,13211072","54,96967496","49,79999161"
01/01/2011 6.00,"7,22246755","35,79659784","52,85947704","49,79999161"
01/01/2011 7.00,"7,32902576","28,26245744","40,68349776","49,79999161"
01/01/2011 8.00,"7,21163141","28,13915256","41,98174576","49,79999161"
01/01/2011 9.00,"7,25678316","31,57721536","47,6171172","49,79999161"
01/01/2011 10.00,"7,33263814","35,95883104","62,42467768","49,79999161"
01/01/2011 11.00,"7,87807049","36,83359016","77,8807312","49,79999161"
01/01/2011 12.00,"7,24233464","36,86993728","60,81901832","49,79999161"
01/01/2011 13.00,"7,13758262","34,99191352","48,88425696","49,79999161"
01/01/2011 14.00,"6,95516944","25,98339168","36,89630376","49,79999161"
01/01/2011 15.00,"6,97323034","15,06050661","21,41044216","49,79999161"
01/01/2011 16.00,"6,78720477","7,48223342","11,40170341","49,79999161"
01/01/2011 17.00,"6,85041742","5,69376583","8,72085762","49,79999161"
01/01/2011 18.00,"6,73663546","8,00527632","11,26681946","49,79999161"
01/01/2011 19.00,"6,63368963","8,66329686","11,96977964","49,79999161"
01/01/2011 20.00,"6,66981042","9,66785018","13,46908209","49,79999161"
01/01/2011 21.00,"6,89737536","21,13842192","27,63593328","49,79999161"
01/01/2011 22.00,"7,44822629","47,90055208","88,5742604","49,79999161"
01/01/2011 23.00,"7,3561166","47,48264624","94,0604576","49,79999161"
02/01/2011 0.00,"7,42474681","47,979728","87,84668704","49,79999161"
02/01/2011 1.00,,"40,51048088","60,27040816",24
02/01/2011 2.00,"6,87931446",,,24
02/01/2011 3.00,"6,95155705","40,37289336","56,17974152",24
02/01/2011 4.00,"6,84861123","36,16389304","47,57950816",24
02/01/2011 5.00,"7,06714622","33,5019684","50,50938048",24
02/01/2011 6.00,"6,70412604","19,9391964","26,64633944",24
02/01/2011 7.00,"6,8359689","23,8821228","34,08189712",24
02/01/2011 8.00,"7,01296351","28,72969288","53,23300536",24
02/01/2011 9.00,"7,18634574","29,99511184","53,44701552",24
02/01/2011 10.00,"7,64869937","39,20611448","102,53490048",24
02/01/2011 11.00,"7,28929258","29,93409992","61,81121248",24
02/01/2011 12.00,"7,08520611","23,04891144","51,92047472",24
02/01/2011 13.00,"7,0870123","24,34417672","37,89237928",24
02/01/2011 14.00,"6,76733869","20,59202968","31,70065408",24
02/01/2011 15.00,"6,67342281","15,24350986","23,1665568",24
02/01/2011 16.00,"6,67703519","8,8294248","12,46652106",24
02/01/2011 17.00,"6,76914488","13,00727099","16,88661001",24
02/01/2011 18.00,"6,76733869","20,00538984","26,40898376",24
02/01/2011 19.00,"6,9064053","40,0808736","66,6683808",24
02/01/2011 20.00,"7,50060179","46,86744112","110,8938968",24
02/01/2011 21.00,"7,35972899","43,3748672","83,02452744",24
02/01/2011 22.00,"7,51866269","56,53399688","122,60300392",24
