, Brindisi,,,
,P.za San Giusto Casale,,,
Parm,SO2,NO2,NOX,PM10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,,
01/01/2009 1.00,"20,8","54,3","144,4",
01/01/2009 2.00,"26,2","56,7","88,8","419,0"
01/01/2009 3.00,"4,5","58,2","92,6",
01/01/2009 4.00,"5,1","65,0","141,2","258,9"
01/01/2009 5.00,"2,8","66,8","121,9",
01/01/2009 6.00,"2,4","67,9","107,5","180,7"
01/01/2009 7.00,"1,3","58,8","75,5",
01/01/2009 8.00,"1,3","51,7","57,3","111,8"
01/01/2009 9.00,"1,8","33,0","37,4",
01/01/2009 10.00,"1,3","22,4","26,4","57,6"
01/01/2009 11.00,"0,7","21,9","27,8",
01/01/2009 12.00,"1,5","24,2","31,2","46,4"
01/01/2009 13.00,"2,0","19,7","27,4",
01/01/2009 14.00,"0,9","21,4","26,2","33,2"
01/01/2009 15.00,"13,8","20,6","32,6",
01/01/2009 16.00,"13,2","20,3","31,6","36,6"
01/01/2009 17.00,"0,3","19,3","22,5",
01/01/2009 18.00,"0,3","26,4","31,0","34,2"
01/01/2009 19.00,"0,1","43,3","51,5",
01/01/2009 20.00,"0,2","41,0","48,3","36,6"
01/01/2009 21.00,"0,6","44,3","53,5",
01/01/2009 22.00,"0,3","28,6","33,7","25,9"
01/01/2009 23.00,"0,2","22,4","26,4",
02/01/2009 0.00,"0,9","31,8","36,7","33,7"
02/01/2009 1.00,,"15,1","17,6",
02/01/2009 2.00,"0,1",,,"8,8"
02/01/2009 3.00,"0,1","7,6","9,0",
02/01/2009 4.00,"0,1","7,1","8,9","11,7"
02/01/2009 5.00,"0,2","4,6","6,3",
02/01/2009 6.00,"0,1","8,7","10,3","6,8"
02/01/2009 7.00,"0,1","11,0","13,0",
02/01/2009 8.00,"0,0","14,5","17,6","5,4"
02/01/2009 9.00,"0,0","14,4","18,3",
02/01/2009 10.00,"0,2","23,0","36,4","16,1"
02/01/2009 11.00,"0,0","6,3","9,5",
02/01/2009 12.00,"0,1","7,2","11,0","8,3"
02/01/2009 13.00,"0,0","6,5","9,6",
02/01/2009 14.00,"0,1","6,2","8,7","11,2"
02/01/2009 15.00,"0,1","7,2","9,9",
02/01/2009 16.00,"0,0","9,6","12,5","14,2"
02/01/2009 17.00,"0,2","15,2","18,6",
02/01/2009 18.00,"0,1","32,0","36,9","14,7"
02/01/2009 19.00,"0,1","54,8","66,5",
02/01/2009 20.00,"0,2","62,4","81,0","23,0"
02/01/2009 21.00,"0,6","76,9","135,6",
02/01/2009 22.00,"1,0","77,7","167,1","36,6"
02/01/2009 23.00,"1,7","67,6","159,8",
03/01/2009 0.00,"0,6","63,1","121,0","38,6"
03/01/2009 1.00,"0,2","58,7","87,7",
03/01/2009 2.00,"0,4","26,4","28,8","30,8"
03/01/2009 3.00,"0,5","11,9","14,1",
03/01/2009 4.00,"0,3","7,5","9,3","21,0"
03/01/2009 5.00,"0,6","5,5","7,2",
03/01/2009 6.00,"0,6","6,9","8,3","10,3"
03/01/2009 7.00,"0,7","21,4","24,1",
03/01/2009 8.00,"0,7","18,2","22,0","10,3"
03/01/2009 9.00,"0,4","12,8","16,8",
03/01/2009 10.00,"0,6","10,6","13,6","9,3"
03/01/2009 11.00,"0,6","4,8","7,3",
03/01/2009 12.00,"1,1","14,3","21,2","6,8"
03/01/2009 13.00,"0,7","8,5","12,0",
03/01/2009 14.00,"0,9","6,1","8,8","12,2"
03/01/2009 15.00,"1,1","7,1","9,7",
03/01/2009 16.00,"1,2","7,3","10,5","12,2"
03/01/2009 17.00,"1,0","5,8","8,9",
03/01/2009 18.00,"0,9","5,1","7,9","15,1"
03/01/2009 19.00,"0,7","5,2","8,3",
03/01/2009 20.00,"0,8","6,7","10,3","20,0"
03/01/2009 21.00,"0,8","5,2","8,1",
03/01/2009 22.00,"0,4","4,6","6,7","11,7"
03/01/2009 23.00,"0,6","2,4","3,8",
04/01/2009 0.00,"0,5","1,3","3,6","16,6"
04/01/2009 1.00,,"1,9","3,4",
04/01/2009 2.00,"0,2",,,"11,7"
04/01/2009 3.00,"0,3","7,9","10,1",
04/01/2009 4.00,"0,2","5,7","7,9","8,8"
04/01/2009 5.00,"0,3","4,9","7,1",
04/01/2009 6.00,"0,3","5,3","7,6","7,8"
04/01/2009 7.00,"0,3","4,5","6,9",
04/01/2009 8.00,"0,6","4,0","6,2","6,3"
04/01/2009 9.00,"0,4","6,3","9,7",
04/01/2009 10.00,"0,4","5,5","7,9","9,3"
04/01/2009 11.00,"0,5","5,5","7,6",
04/01/2009 12.00,"0,4","7,7","10,7","11,2"
04/01/2009 13.00,"0,1","6,3","8,9",
04/01/2009 14.00,"0,1","5,6","8,4","14,7"
04/01/2009 15.00,"0,4","3,4","5,6",
04/01/2009 16.00,"0,3","6,6","10,3","13,2"
04/01/2009 17.00,"0,1","8,4","11,1",
04/01/2009 18.00,"0,0","10,5","13,2","9,3"
04/01/2009 19.00,"0,0","17,2","22,0",
04/01/2009 20.00,"0,0","22,2","26,8","19,5"
04/01/2009 21.00,"0,0","18,2","22,4",
