"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
,SO2,NO2,NOX,PM10
,,,,
,,,,,
,,,,,
,,,,,
,,,,
01/01/2012 1.00,,"1,96433","4,529685",
01/01/2012 2.00,"0,664471",,,"6,349206"
01/01/2012 3.00,"0,646414","1,809882","4,281314",
01/01/2012 4.00,"0,839617","1,800798","4,411659","5,860806"
01/01/2012 5.00,"0,967816","1,635968","4,202197",
01/01/2012 6.00,"1,774931","1,574968","4,202197","7,326007"
01/01/2012 7.00,"1,094211","1,973413","4,201549",
01/01/2012 8.00,"0,650026","2,396522","4,645114","8,547009"
01/01/2012 9.00,"0,58051","8,743765","14,194737",
01/01/2012 10.00,"0,695166","5,266116","8,668331","5,128205"
01/01/2012 11.00,"0,686138","3,155775","5,536136",
01/01/2012 12.00,"0,657248","2,423777","4,818261","6,349206"
01/01/2012 13.00,"0,595857","1,629479","4,02127",
01/01/2012 14.00,"0,668083","1,7995","4,201549","8,302809"
01/01/2012 15.00,"0,780031","2,896202","5,292305",
01/01/2012 16.00,"0,766488","3,225213","5,769592","5,372406"
01/01/2012 17.00,"0,575092","3,380957","5,689179",
01/01/2012 18.00,"0,300637","5,74568","8,441359","2,686203"
01/01/2012 19.00,"0,312802","3,681831","6,378866",
01/01/2012 20.00,"0,181465","4,802128","7,200154","9,523809"
01/01/2012 21.00,"0,280775","4,526327","6,904444",
01/01/2012 22.00,"0,030696","4,805372","7,321421","5,372406"
01/01/2012 23.00,"0,025279","27,320834","32,584532",
02/01/2012 0.00,"0,059586","28,152765","33,011885","6,349206"
02/01/2012 1.00,,"23,545323","27,570427",
02/01/2012 2.00,,,,"8,547009"
02/01/2012 3.00,,"10,87032","13,27648",
02/01/2012 4.00,,"8,519883","10,914042","4,884005"
02/01/2012 5.00,"0,077642","10,569865","12,969097",
02/01/2012 6.00,"0,017154","12,728226","15,541646","7,814408"
02/01/2012 7.00,"0,034306","22,788669","28,97829",
02/01/2012 8.00,"0,562453","38,378714","64,708008","12,21001"
02/01/2012 9.00,"1,083376","45,683797","100,587488",
02/01/2012 10.00,"1,68465","45,228874","89,84402","7,570208"
02/01/2012 11.00,"1,532978","28,789385","44,575716",
02/01/2012 12.00,"0,686138","11,205826","16,113612","22,710621"
02/01/2012 13.00,"0,619331","10,745725","15,106513",
02/01/2012 14.00,"0,616621","11,251896","15,710253","21,48962"
02/01/2012 15.00,"0,570579","9,2402","13,124734",
02/01/2012 16.00,"0,539883","9,85669","12,724618","11,47741"
02/01/2012 17.00,,"14,660112","17,204367",
02/01/2012 18.00,"0,643706","36,843992","43,165884","12,69841"
02/01/2012 19.00,"0,49745","38,818685","45,955684",
02/01/2012 20.00,"0,650026","53,178359","68,856359","16,84981"
02/01/2012 21.00,"0,698778","53,87595","72,725901",
02/01/2012 22.00,"0,558841","33,70963","39,247737","19,2918"
02/01/2012 23.00,"0,546202","31,042484","35,068891",
03/01/2012 0.00,"0,119171","28,826382","32,876361","36,874222"
03/01/2012 1.00,,"23,066424","26,050368",
03/01/2012 2.00,"0,118269",,,"35,164822"
03/01/2012 3.00,"0,023473","9,466679","11,854996",
