,Comune Bari,,
,Corso Cavour,,
Parm,CO,PM10,BENZENE



01/01/2010 1.00,"0,23872714",,"0,69757454"
01/01/2010 2.00,"0,31136023","62,02685165","0,81169109"
01/01/2010 3.00,"0,51355414",,"1,17809992"
01/01/2010 4.00,"0,89203584","59,58485031","2,21591486"
01/01/2010 5.00,"0,88089495",,"3,01814378"
01/01/2010 6.00,"0,95644287","44,4444313","3,73663191"
01/01/2010 7.00,"0,53890687",,"2,50768301"
01/01/2010 8.00,"0,47820105","28,32722092","1,47168239"
01/01/2010 9.00,"0,69822761",,"1,84349658"
01/01/2010 10.00,"0,64807319","23,44322014","2,33444316"
01/01/2010 11.00,"0,34832685",,"1,55039413"
01/01/2010 12.00,"0,31025814","16,60560989","0,98062598"
01/01/2010 13.00,"0,36580534",,"1,1650091"
01/01/2010 14.00,"0,38923","11,72161007","1,1358751"
01/01/2010 15.00,"0,27132268",,"0,86151697"
01/01/2010 16.00,"0,21868798","10,25640965","0,48169697"
01/01/2010 17.00,"0,27569376",,"0,45564346"
01/01/2010 18.00,"0,26427559","7,32600689","0,65136511"
01/01/2010 19.00,"0,32222619",,"0,57499553"
01/01/2010 20.00,"0,31254154","5,86080599","0,66258465"
01/01/2010 21.00,"0,36135737",,"0,79972304"
01/01/2010 22.00,"0,37281282","5,86080599","0,93524235"
01/01/2010 23.00,"0,38584451",,"0,94443705"
02/01/2010 0.00,"0,33816921","8,79120922","0,86330282"
02/01/2010 1.00,,,
02/01/2010 2.00,,,
02/01/2010 3.00,,,
02/01/2010 4.00,,,
02/01/2010 5.00,,,
02/01/2010 6.00,,,
02/01/2010 7.00,,,
02/01/2010 8.00,,,
02/01/2010 9.00,,,
02/01/2010 10.00,,,
02/01/2010 11.00,,,
02/01/2010 12.00,,,
02/01/2010 13.00,,,
02/01/2010 14.00,,,
02/01/2010 15.00,,,
02/01/2010 16.00,,,
02/01/2010 17.00,,,
02/01/2010 18.00,,,
02/01/2010 19.00,,,
02/01/2010 20.00,,,
02/01/2010 21.00,,,
02/01/2010 22.00,,,
02/01/2010 23.00,,,
03/01/2010 0.00,,,
03/01/2010 1.00,,,
03/01/2010 2.00,,,
03/01/2010 3.00,,,
03/01/2010 4.00,,,
03/01/2010 5.00,,,
03/01/2010 6.00,,,
03/01/2010 7.00,,,
03/01/2010 8.00,,,
03/01/2010 9.00,,,
03/01/2010 10.00,,,
03/01/2010 11.00,,,
03/01/2010 12.00,,,
03/01/2010 13.00,,,
03/01/2010 14.00,,,
03/01/2010 15.00,,,
03/01/2010 16.00,,,
03/01/2010 17.00,,,
03/01/2010 18.00,,,
03/01/2010 19.00,,,
03/01/2010 20.00,,,
03/01/2010 21.00,,,
03/01/2010 22.00,,,
03/01/2010 23.00,,,
04/01/2010 0.00,,,
04/01/2010 1.00,,,
04/01/2010 2.00,,,
04/01/2010 3.00,,,
04/01/2010 4.00,,,
04/01/2010 5.00,,,
04/01/2010 6.00,,,
04/01/2010 7.00,,,
04/01/2010 8.00,,,
04/01/2010 9.00,,,
04/01/2010 10.00,,,
04/01/2010 11.00,,,
04/01/2010 12.00,,,
04/01/2010 13.00,,,
04/01/2010 14.00,"0,62161837",,
04/01/2010 15.00,"0,65653808",,
04/01/2010 16.00,"0,39438629",,"2,31596325"
04/01/2010 17.00,"0,38131965",,"1,75767907"
04/01/2010 18.00,"0,53083691",,"1,88060996"
04/01/2010 19.00,"0,77231811",,"2,82098918"
04/01/2010 20.00,"0,7276357","14,16361046","3,14390905"
04/01/2010 21.00,"0,71212489",,"2,87367588"
04/01/2010 22.00,"0,75857927","13,18680954","2,77925455"
04/01/2010 23.00,"0,59110819",,"1,94870116"
05/01/2010 0.00,"0,52496997","14,65200996","1,63504412"
05/01/2010 1.00,"0,56295946",,"2,04586636"
05/01/2010 2.00,"0,42308723","8,79120922","1,6605454"
05/01/2010 3.00,"0,34919361",,"1,28530392"
05/01/2010 4.00,"0,34250068","8,30280876","1,21448106"
05/01/2010 5.00,"0,28518035",,"1,06642213"
05/01/2010 6.00,"0,30588823","9,27960968","0,97738378"
05/01/2010 7.00,"0,45339936",,"1,06969789"
05/01/2010 8.00,"0,54477264","13,18680954","1,32646191"
05/01/2010 9.00,"0,52705765",,"1,62870516"
05/01/2010 10.00,"0,64523875","12,69841003","2,04430933"
05/01/2010 11.00,"0,7510988",,"3,38125753"
05/01/2010 12.00,"0,77093992","19,53602028","3,1287944"
05/01/2010 13.00,"0,84566069",,"3,29177272"
05/01/2010 14.00,"1,10147255","25,88521957","3,80381798"
