"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE
,,,,,
,,,,,
,,,,,
,,,,
,,,,,
01/01/2011 1.00,"0,89348161",,"4,35603067"
01/01/2011 2.00,"1,20277629","59,58485031","4,51236595"
01/01/2011 3.00,"1,17552578",,"5,20040102"
01/01/2011 4.00,"0,86904107","103,29669952","3,99173924"
01/01/2011 5.00,"0,80901678",,"3,32161862"
01/01/2011 6.00,"0,70694647","69,59706116","3,24973909"
01/01/2011 7.00,"0,58866635",,"2,49970667"
01/01/2011 8.00,"0,47231314","56,16604996","2,11118623"
01/01/2011 9.00,"0,45020959",,"1,70593411"
01/01/2011 10.00,"0,49533936","38,33943176","1,80926537"
01/01/2011 11.00,"0,61656577",,"2,37603236"
01/01/2011 12.00,"0,65411372","31,25761986","2,45596042"
01/01/2011 13.00,"0,61297058",,"2,18493907"
01/01/2011 14.00,"0,56518694","30,76922989","2,44103696"
01/01/2011 15.00,"0,40216965",,"1,88008315"
01/01/2011 16.00,"0,3614797","20,75702095","1,50731096"
01/01/2011 17.00,"0,67936043",,"1,99516992"
01/01/2011 18.00,"0,70283984","12,21000957","2,43582077"
01/01/2011 19.00,"0,80335721",,"2,95301307"
01/01/2011 20.00,"0,90859166","20,26861954","3,03450019"
01/01/2011 21.00,"1,26737904",,"4,24463053"
01/01/2011 22.00,"1,190164","20,02441978","4,47149272"
01/01/2011 23.00,"1,02920877",,"3,7855669"
02/01/2011 0.00,"0,84251635","34,92063141","3,21431596"
02/01/2011 1.00,"0,84066866",,"3,11847897"
02/01/2011 2.00,"0,70311478","26,61782074","2,80724341"
02/01/2011 3.00,,,"2,13347582"
02/01/2011 4.00,"0,49504811","34,67642975","1,73049364"
02/01/2011 5.00,"0,36487917",,"1,48202834"
02/01/2011 6.00,"0,30844074","20,02441978","0,77562217"
02/01/2011 7.00,"0,35823867",,"0,83193549"
02/01/2011 8.00,"0,4204951","11,72161007","0,92196338"
02/01/2011 9.00,"0,54148152",,"1,48215038"
02/01/2011 10.00,"0,83736705","10,98900986","3,73818893"
02/01/2011 11.00,"1,20326443",,"6,46463372"
02/01/2011 12.00,"0,7438059","29,54821968","5,41856176"
02/01/2011 13.00,"0,60438453",,"2,89175712"
02/01/2011 14.00,"0,58195478","28,81562042","2,30978498"
02/01/2011 15.00,"0,35375225",,"1,36081719"
02/01/2011 16.00,"0,33933421","30,52503014","0,88429981"
02/01/2011 17.00,"0,36325399",,"0,88959634"
02/01/2011 18.00,"0,49530791","23,68741989","1,09171289"
02/01/2011 19.00,"0,53401736",,"1,73988869"
02/01/2011 20.00,"0,8840486","17,58241081","2,2908464"
02/01/2011 21.00,"1,16198964",,"4,07461965"
02/01/2011 22.00,"0,99351666","21,24542046","4,06635449"
02/01/2011 23.00,"0,81148774",,"3,07810203"
03/01/2011 0.00,"0,83403632","24,42000961","3,11664532"
03/01/2011 1.00,"0,65974649",,"2,68663738"
03/01/2011 2.00,"0,61801969","24,66422081","2,12227153"
03/01/2011 3.00,"0,49654281",,"1,91930071"
03/01/2011 4.00,"0,4355003","30,28083038","1,56051734"
