,Regione Puglia,,,
,Suolo Enaip,,,
Parm,SO2,NOX,NO2,CO
,,,,
,,,,,
,,,,
,,,,,
,,,,,
01/01/2006 1.00,1,"79,33593528","7,93259546","1,0327958"
01/01/2006 2.00,2,"78,629088","11,52639449","1,05088476"
01/01/2006 3.00,1,"76,48648168","10,44526938","1,01083555"
01/01/2006 4.00,1,"73,94830168","8,21942414","0,99002166"
01/01/2006 5.00,1,"71,76936736","5,7898075","0,97118128"
01/01/2006 6.00,1,"73,4360004","4,98512701","0,96849479"
01/01/2006 7.00,2,"77,80809432","7,95725453","1,03781229"
01/01/2006 8.00,1,"77,3476656","6,41019032","1,07580644"
01/01/2006 9.00,2,"77,34378424","6,22978547","1,11755538"
01/01/2006 10.00,1,"79,89102712","6,39461708","1,12991719"
01/01/2006 11.00,1,"84,95572392","8,70482741","1,18493548"
01/01/2006 12.00,1,"79,78208136","7,16165794","1,17071782"
01/01/2006 13.00,1,"77,04287368","5,33425438","1,14018667"
01/01/2006 14.00,1,"77,07918256","5,69116934","1,14551887"
01/01/2006 15.00,1,"76,99100112","4,83197772","1,16297523"
01/01/2006 16.00,1,"79,24643456","5,63406363","1,16258146"
01/01/2006 17.00,1,"79,69908144","4,89038167","1,15278614"
01/01/2006 18.00,1,"80,56286568","6,07533985","1,07837526"
01/01/2006 19.00,1,"89,89849248","6,08702026","1,06850072"
01/01/2006 20.00,1,"101,9512816","22,3519492","1,12541563"
01/01/2006 21.00,1,"91,14098656","11,3446933","1,12893044"
01/01/2006 22.00,1,"92,025516","14,36094978","1,11842447"
01/01/2006 23.00,1,"96,74263032","17,01120166","1,19591677"
02/01/2006 0.00,1,"90,23439264","12,54393412","1,08998682"
02/01/2006 1.00,,"87,71695784","9,2161899","1,10167759"
02/01/2006 2.00,"1,2498808",,,"1,05191229"
02/01/2006 3.00,"1,1025358","85,49913344","5,65093512",
02/01/2006 4.00,"0,87678113","80,62902088","4,95527495","0,93389662"
02/01/2006 5.00,"1,01209704","76,74846392","5,60421158","0,89048872"
