,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"0,40275336","19,69778728",,"1,5651309",,,
01/01/2007 2.00,"0,63031829","31,76671368",,"1,6800267",,,
01/01/2007 3.00,"0,32689838","36,41178384",,"1,60498206",,,
01/01/2007 4.00,"0,67908141","27,52396656",,"1,51026872",,,
01/01/2007 5.00,"0,69172374","26,14950624",,"1,47278718",,,
01/01/2007 6.00,"0,54362616","17,75099079",,"1,41219902",,,
01/01/2007 7.00,"0,48944447","18,34801662",,"1,3720706",,,
01/01/2007 8.00,"0,18783075","21,67315096",,"1,44845732",,,
01/01/2007 9.00,"0,45874124","18,5465912",,"1,4761051",,,
01/01/2007 10.00,"0,29619515","15,31488482",,"1,49605106",,,
01/01/2007 11.00,"0,30341992","9,08769967",,"1,456949",,,
01/01/2007 12.00,"0,49666924","8,29859433",,"1,47365627",,,
01/01/2007 13.00,"0,33412315","8,06627486",,"1,4699038",,,
01/01/2007 14.00,"0,3413469","11,0539737",,"1,48566276",,,
01/01/2007 15.00,"0,66463289","10,77492878",,"1,48969133",,,
01/01/2007 16.00,"0,42262045","12,38040076",,"1,50367366",,,
01/01/2007 17.00,"0,15712752","10,98778409",,"1,47863315",,,
01/01/2007 18.00,"0,33051076","12,07150186",,"1,4751964",,,
01/01/2007 19.00,"0,87774931","31,83290712",,"1,58160051",,,
01/01/2007 20.00,"1,12156896","38,00817",,"1,72074694",,,
01/01/2007 21.00,"1,38525468","25,11121376",,"1,66446463",,,
01/01/2007 22.00,"1,11976277","56,58332648",,"1,77426471",,,
01/01/2007 23.00,"0,61948114","36,67137608",,"1,73089642",,,
02/01/2007 0.00,"1,34010293","25,59791336",,"1,68705631",,,
02/01/2007 1.00,,"16,94371189",,"1,62089945",,,
02/01/2007 2.00,,,,"1,59633193",,,
02/01/2007 3.00,,"14,96705952",,,,,
02/01/2007 4.00,,"20,75166256",,"1,61647595",,,
02/01/2007 5.00,,"24,35455888",,"1,5774135",,,
02/01/2007 6.00,,"19,15009488",,"1,54423663",,,
02/01/2007 7.00,,"9,28757442",,"1,51915651",,,
02/01/2007 8.00,,"14,0027385",,"1,57828142",,,
02/01/2007 9.00,,"24,13131376",,"1,586617",,,
02/01/2007 10.00,,"17,0657147",,"1,63116893",,,
02/01/2007 11.00,,"14,83726722",,"1,62642854",,,
02/01/2007 12.00,,"19,240934",,"1,6666758",,,
