,Regione Puglia,,
,Enaip,,
Parm,SO2,NO2,CO
,,,,
,,,,
,,,,
,,,,
,,,,
01/01/2008 1.00,"2,80056",,"0,6234518"
01/01/2008 2.00,"1,41892695",,"0,5885608"
01/01/2008 3.00,"1,591187",,"0,5562343"
01/01/2008 4.00,"2,16834807",,"0,51636955"
01/01/2008 5.00,"5,19621992",,"0,4911926"
01/01/2008 6.00,"5,70944881",,"0,49301995"
01/01/2008 7.00,"7,02892685",,"0,54011015"
01/01/2008 8.00,"6,08060789",,"0,5038587"
01/01/2008 9.00,"4,74159622",,"0,4109985"
01/01/2008 10.00,"4,67944002",,"0,4082776"
01/01/2008 11.00,"3,1362009",,"0,36122535"
01/01/2008 12.00,"1,82737899",,"0,37622365"
01/01/2008 13.00,"2,9888041",,"0,3665096"
01/01/2008 14.00,"1,87177598",,"0,36204185"
01/01/2008 15.00,"1,34078801",,"0,3648007"
01/01/2008 16.00,"1,05664802",,"0,3499197"
01/01/2008 17.00,"1,47220302",,"0,3363198"
01/01/2008 18.00,"1,11525202",,"0,3760293"
01/01/2008 19.00,"1,05487204",,"0,4069965"
01/01/2008 20.00,"1,60539401",,"0,4051312"
01/01/2008 21.00,"2,27312398",,"0,41041545"
01/01/2008 22.00,"2,23583102",,"0,3405173"
01/01/2008 23.00,"2,43117809",,"0,35656325"
02/01/2008 0.00,"1,47042704",,"0,3597499"
02/01/2008 1.00,,,"0,35543625"
02/01/2008 2.00,"0,87195599",,"0,3869865"
02/01/2008 3.00,"1,26087403",,
02/01/2008 4.00,"0,68193698",,"0,34141085"
02/01/2008 5.00,"1,61427402",,"0,32077985"
02/01/2008 6.00,"6,0042448",,"0,3508903"
02/01/2008 7.00,"2,26069307",,"0,3988361"
02/01/2008 8.00,"1,18628705",,"0,3654999"
02/01/2008 9.00,"3,98507094",,"0,388424"
02/01/2008 10.00,"3,43099689",,"0,43120285"
02/01/2008 11.00,"3,21789193",,"0,38527645"
02/01/2008 12.00,"2,07067394",,"0,3654999"
02/01/2008 13.00,"3,76841402",,"0,38788005"
02/01/2008 14.00,"4,26210785",,"0,42420855"
02/01/2008 15.00,"2,36546993",,"0,33923505"
02/01/2008 16.00,"4,60840511",,"0,36355755"
02/01/2008 17.00,"1,95701802",,"0,389551"
02/01/2008 18.00,"1,90019",,"0,49247485"
02/01/2008 19.00,"3,17704701",,"0,553242"
02/01/2008 20.00,"2,59100699",,"0,5307848"
02/01/2008 21.00,"3,78617311",,"0,50012925"
02/01/2008 22.00,"3,05628705",,"0,48233415"
02/01/2008 23.00,"2,84140611",,"0,44705445"
03/01/2008 0.00,"3,83412194",,"0,39250305"
03/01/2008 1.00,"4,80552721",,"0,417059"
03/01/2008 2.00,"4,93161392",,"0,43804075"
03/01/2008 3.00,"3,08470106",,"0,4222662"
03/01/2008 4.00,"6,21735001",,"0,4200904"
03/01/2008 5.00,"6,08060789",,"0,41713605"
03/01/2008 6.00,"6,37185192",,"0,435321"
03/01/2008 7.00,"5,21575499",,"0,5170699"
03/01/2008 8.00,"5,91545105",,"0,5838205"
03/01/2008 9.00,"6,98275423",,"0,82269505"
03/01/2008 10.00,"9,12623978",,"0,7270369"
03/01/2008 11.00,"6,70749283",,"0,51100825"
03/01/2008 12.00,"6,60094023",,"0,32870565"
03/01/2008 13.00,"7,45513821",,"0,25309545"
03/01/2008 14.00,"6,85311508",,"0,2005646"
03/01/2008 15.00,"3,9335711",,"0,2246157"
03/01/2008 16.00,"5,17668581",,"0,2491705"
03/01/2008 17.00,"4,17686605",,"0,3822462"
03/01/2008 18.00,"4,23191786",,"0,5107748"
03/01/2008 19.00,"4,4130578",,"0,54481135"
03/01/2008 20.00,"3,3972559",,"0,53467065"
03/01/2008 21.00,"3,92113996",,"0,6278034"
03/01/2008 22.00,"3,39192796",,"0,60406395"
