"NetC","ARPA Puglia","","","","","","","","",""
"Stat","ENAIP","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10
,,,
,,,,,
,,,
,,,
,,,
01/01/2012 1.00,"4,01489023",,,"0,13426159","19,20000076"
01/01/2012 2.00,"4,32011532",,,"0,15230395","19,20000076"
01/01/2012 3.00,"4,2857997",,,"0,16714721","19,20000076"
01/01/2012 4.00,"4,40319506",,,"0,1594885","19,20000076"
01/01/2012 5.00,"4,36887945","0,26995719","6,50821856","0,16655423","19,20000076"
01/01/2012 6.00,"3,3917967",,,"0,16746293","19,20000076"
01/01/2012 7.00,"4,07810186","0,19857458","7,39016106","0,19039945","19,20000076"
01/01/2012 8.00,"4,29483066","0,33095764","7,73775119","0,2044144","19,20000076"
01/01/2012 9.00,"3,83789561",,,"0,21329519","19,20000076"
01/01/2012 10.00,"3,89027111","0,73459614","6,59511514","0,25845758","19,20000076"
01/01/2012 11.00,"3,98779938","0,69176542","6,1787867","0,32580623","19,20000076"
01/01/2012 12.00,"4,26954601","1,5185104","9,12032604","0,34293989","19,20000076"
01/01/2012 13.00,"3,91013821","1,67295794","9,8388499","0,32513519","19,20000076"
01/01/2012 14.00,"4,07087811","1,85595737","10,23572374","0,32276675","19,20000076"
01/01/2012 15.00,"3,73133741","1,92344523","10,14104533","0,31984493","19,20000076"
01/01/2012 16.00,"3,69160423","2,51267966","11,38613973","0,30796193","19,20000076"
01/01/2012 17.00,"3,66993095","0,50876599","6,21380498","0,21696727","19,20000076"
01/01/2012 18.00,"3,41888755",,,"0,22344118","19,20000076"
01/01/2012 19.00,"3,52183337","0,65282946","8,42644403","0,18195087","19,20000076"
01/01/2012 20.00,"3,6428401","34,5272784","41,55764504","0,76420156","19,20000076"
01/01/2012 21.00,"3,5164148","9,2330633","17,75687975","0,49958462","19,20000076"
01/01/2012 22.00,"3,49654872","5,19019092","12,83615846","0,35284705","19,20000076"
01/01/2012 23.00,"3,36831722","1,88191468","11,15917003","0,16667306","19,20000076"
02/01/2012 0.00,"3,49293633","0,86957378","9,67802394","0,21771637","19,20000076"
02/01/2012 1.00,,,,"0,19928024","14,89999962"
02/01/2012 2.00,"3,89027111",,,"0,17938437","14,89999962"
02/01/2012 3.00,"3,95348377","0,57495752","6,04649542",,"14,89999962"
02/01/2012 4.00,"3,71869508","0,14536171","5,64443432","0,17985853","14,89999962"
02/01/2012 5.00,"3,88304736",,,"0,20496661","14,89999962"
02/01/2012 6.00,"4,03836869","16,26752735","23,18600184","0,15601447","14,89999962"
02/01/2012 7.00,"4,16840638","23,06577528","31,9302088","0,1526185","14,89999962"
02/01/2012 8.00,"4,2857997","55,07647928","61,13937392","0,18064723","14,89999962"
02/01/2012 9.00,"4,44473443","38,22751464","44,16714264","0,15858097","14,89999962"
02/01/2012 10.00,"4,54406787","3,63923388","10,84270726","0,24507523","14,89999962"
02/01/2012 11.00,"4,22800563","0,06748978","5,85843492","0,33149027","14,89999962"
02/01/2012 12.00,"4,4140312","0,42310648","4,20349567","0,3356365","14,89999962"
02/01/2012 13.00,"4,56754735","1,19274575","5,95830059","0,3437682","14,89999962"
