,Provincia di TARANTO,,,,,
,GROTTAGLIE,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3
,,,,
,,,,,,
,,,,,
,,,,
,,,,
01/01/2006 1.00,"2,022988","64,571164","15,300391","41,139931","1,453723","10,447482"
01/01/2006 2.00,"6,014944","104,722914","35,840213","49,804541","1,793724","7,45423"
01/01/2006 3.00,"5,310994","41,461681","8,228786","28,864659","0,923449","25,973004"
01/01/2006 4.00,"3,186945","8,829803","0,619189","7,885872","0,440115","43,09178"
01/01/2006 5.00,"3,023155","15,846435","0,805284","14,621826","0,565076","39,437178"
01/01/2006 6.00,"3,425662","21,166623","1,329735","19,141013","0,564186","31,374367"
01/01/2006 7.00,"3,491875","14,686942","0,937243","13,259054","0,493612","36,741078"
01/01/2006 8.00,"4,946821","13,92432","0,976153","12,436204","0,519592","42,007599"
01/01/2006 9.00,"4,659317","13,688269","1,158865","11,919656","0,583286","47,294089"
01/01/2006 10.00,"3,335054","11,439316","1,338193","9,393998","0,657583","47,340314"
01/01/2006 11.00,"3,291493","9,006191","1,065817","7,377106","0,519268","54,447799"
01/01/2006 12.00,"4,251583","6,549722","1,009989","5,004595","0,520077","69,471029"
01/01/2006 13.00,"5,110612","5,994617","1,253604","4,075319","0,458406","75,820716"
01/01/2006 14.00,"5,908655","3,709347","0,747764","2,564596","0,519754","82,353879"
01/01/2006 15.00,"4,950306","3,14646","0,607346","2,216765","0,608537","83,991377"
01/01/2006 16.00,"4,38401","3,924646","0,609039","2,992894","0,700882","78,650263"
01/01/2006 17.00,"4,413631","4,863655","0,609039","3,932552","0,619949","74,003926"
01/01/2006 18.00,"5,086217","6,985505","0,649641","5,993573","0,607647","73,552855"
01/01/2006 19.00,"6,603893","7,348659","0,62934","6,388127","0,508261","73,274119"
01/01/2006 20.00,"7,271252","9,836255","0,724079","8,732084","0,498306","69,941689"
01/01/2006 21.00,"7,387995","11,59236","0,837428","10,315487","0,540311","70,240059"
01/01/2006 22.00,"7,279964","15,88794","0,955852","14,432336","0,482524","66,740933"
01/01/2006 23.00,"6,143885","11,952917","0,669942","10,933272","0,517245","65,614712"
02/01/2006 0.00,"6,305933","5,19568","0,710544","4,109064","0,371645","76,673772"
02/01/2006 1.00,"7,731259","4,388961","0,605654","3,462724","0,519754","75,471927"
02/01/2006 2.00,"7,64065","2,785902","0,607346","1,855957","0,334578","75,994421"
02/01/2006 3.00,"7,654591","2,775526","0,605654","1,84817","0,467309","76,86288"
02/01/2006 4.00,"8,196493","3,296909","0,603963","2,372511","0,405152","72,874897"
02/01/2006 5.00,"9,027643","10,310949","0,598888","9,404382","0,459864","68,054855"
02/01/2006 6.00,"10,067886","18,341814","0,624264","17,396673","0,642934","61,242929"
02/01/2006 7.00,"6,203129","15,174603","0,607346","14,253229","0,454925","64,904532"
02/01/2006 8.00,"5,636832","24,689196","1,749294","22,022282","0,394712","51,424956"
02/01/2006 9.00,"6,138659","46,652167","5,774023","37,82517","0,651109","33,053877"
02/01/2006 10.00,"6,48192","35,365901","6,652053","25,183908","0,459378","48,035091"
02/01/2006 11.00,"12,158824","32,764165","6,112379","23,408406","0,562891","53,999562"
02/01/2006 12.00,"12,221553","12,871177","2,400626","9,196721","0,41462","82,344085"
02/01/2006 13.00,"8,381193","4,526442","1,11657","2,816382","0,504619","90,873345"
02/01/2006 14.00,"7,546559","5,065984","1,172399","3,270638","0,547675","91,814665"
02/01/2006 15.00,"5,382434","5,011511","0,996454","3,486085","0,55674","91,080665"
02/01/2006 16.00,"4,214992","11,09432","1,248529","9,18634","0,628447","81,590473"
02/01/2006 17.00,"5,18031","47,129459","5,252957","39,102271","0,804476","44,439324"
02/01/2006 18.00,"7,743456","121,28009","30,737826","74,201949","1,665526","14,517547"
02/01/2006 19.00,"5,567134","101,176958","23,146838","65,732015","1,463193","14,142136"
02/01/2006 20.00,"3,617332","53,616915","8,692332","40,317081","1,143506","28,298277"
02/01/2006 21.00,"3,256643","77,644656","16,115829","52,971346","1,221769","12,521452"
02/01/2006 22.00,"6,908821","154,026086","56,784365","67,006538","1,837429","10,822321"
02/01/2006 23.00,"7,919444","134,766019","48,355965","60,665139","1,746459","7,87642"
03/01/2006 0.00,"6,441845","145,883705","54,667956","62,105776","2,129922","16,459574"
03/01/2006 1.00,"5,849412","82,44607","19,846179","52,052438","1,407188","6,556524"
03/01/2006 2.00,"5,577588","41,3657","6,608066","31,255328","0,97646","21,497561"
03/01/2006 3.00,"2,392388","9,19555","0,703778","8,122084","0,604329","54,748985"
03/01/2006 4.00,"3,850819","5,335753","0,661484","4,32451","0,493612","71,545564"
03/01/2006 5.00,"4,46242","4,101033","0,600579","3,182382","0,471679","75,191768"
03/01/2006 6.00,"3,725362","10,518464","0,937243","9,0877","0,515788","62,286494"
03/01/2006 7.00,"1,843515","35,231008","2,495367","31,426665","0,701854","45,405862"
03/01/2006 8.00,"5,317963","54,452171","8,083293","42,087382","0,854656","28,609257"
03/01/2006 9.00,"5,253493","65,084764","14,704885","42,5676","0,844215","27,445215"
03/01/2006 10.00,"4,551285","54,213536","14,062008","32,675219","0,704039","37,400466"
03/01/2006 11.00,"3,00573","20,152384","3,515505","14,772379","0,521534","66,904821"
03/01/2006 12.00,"3,120733","8,290261","1,390638","6,162297","0,461724","83,39886"
03/01/2006 13.00,"2,760044","8,822021","1,365262","6,73336","0,62003","82,58502"
03/01/2006 14.00,"2,552693","12,095585","1,635946","9,593871","0,673122","77,070201"
03/01/2006 15.00,"3,106793","15,636325","1,568275","13,240888","0,682996","72,020441"
03/01/2006 16.00,"2,434207","28,55677","2,529202","24,695888","0,636783","53,528902"
03/01/2006 17.00,"3,38907","55,671339","3,6813","50,061513","1,06233","31,322537"
03/01/2006 18.00,"5,486981","50,408215","2,522434","46,572819","1,107814","33,112712"
03/01/2006 19.00,"4,235901","47,080169","3,002898","42,505289","1,168029","36,550215"
03/01/2006 20.00,"3,054519","40,901368","3,285425","35,888736","1,238684","36,58381"
03/01/2006 21.00,"3,6243","42,561502","3,437683","37,316408","1,110971","34,642357"
03/01/2006 22.00,"3,012701","34,074114","1,857567","31,247568","1,066296","41,267993"
03/01/2006 23.00,"2,235566","26,546475","1,209619","24,708871","0,940364","44,260033"
04/01/2006 0.00,"2,252992","18,313281","0,818819","17,069609","0,88112","51,392738"
04/01/2006 1.00,"3,551118","9,735091","0,593813","8,830721","0,602144","75,900555"
04/01/2006 2.00,"3,420434","7,90117","0,680093","6,863149","0,532379","73,307734"
04/01/2006 3.00,"3,331569","8,036056","0,766374","6,865743","0,69376","58,137431"
04/01/2006 4.00,"2,381933","9,561298","0,656408","8,560765","0,728723","44,177381"
04/01/2006 5.00,"2,519586","8,126843","0,609039","7,197999","0,722977","48,864353"
04/01/2006 6.00,"3,413464","8,357703","0,653025","7,361531","0,755026","54,622901"
