NetC,Provincia di TARANTO,,,,
Stat,GROTTAGLIE,,,,
Parm,SO2,NOX,NO2,CO,O3
PtId,1,2,4,5,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
,,,,,
,,,,,
01/01/2007 1.00,"12,060918","117,705622","60,021386","1,270028","19,474176"
01/01/2007 2.00,"12,978405","91,62086","45,833048","1,054408","20,533518"
01/01/2007 3.00,"5,779418","66,405099","42,783045","0,844869","23,658485"
01/01/2007 4.00,"3,691604","129,907568","56,771502","1,462982","6,065959"
01/01/2007 5.00,"4,107","118,888463","57,044061","1,33195","5,147754"
01/01/2007 6.00,"1,925268","83,333181","53,51384","0,884439","3,689585"
01/01/2007 7.00,"3,377348","113,259593","54,222481","0,70902","3,211324"
01/01/2007 8.00,"2,987237","97,485783","49,583896","0,774654","3,622529"
01/01/2007 9.00,"2,947504","95,133069","41,376137","0,868563","6,412505"
01/01/2007 10.00,"3,760234","86,080171","41,443633","0,974874","17,902044"
01/01/2007 11.00,"2,723551","20,077166","7,551021","0,335752","46,270893"
01/01/2007 12.00,"4,681329","15,532569","4,285574","0,316402","63,02624"
01/01/2007 13.00,"5,223149","11,283679","0,95783","0,250925","76,645766"
01/01/2007 14.00,"3,315942","9,078822","0,075277","0,174866","83,29071"
01/01/2007 15.00,"3,500161","7,898575",0,"0,15362","82,418719"
01/01/2007 16.00,"3,807192","9,517199","0,841022","0,174787","74,717219"
01/01/2007 17.00,"4,706614","12,995686","3,135659","0,223519","70,424838"
01/01/2007 18.00,"3,87221","23,656813","14,30774","0,404623","67,597543"
01/01/2007 19.00,"3,984187","23,457066","13,251272","0,340411","67,56373"
01/01/2007 20.00,"5,277332","12,82708","3,096723","0,198245","68,379366"
01/01/2007 21.00,"4,309279","13,447033","3,636637","0,184028","65,809863"
01/01/2007 22.00,"5,786644","13,405531","3,737872","0,178737","62,41625"
01/01/2007 23.00,"6,16953","18,679028","9,030594","0,249741","55,66002"
02/01/2007 0.00,"7,256783","28,222152","17,840542","0,354628","42,670199"
02/01/2007 1.00,"6,086451","22,868245","12,698372","0,249503","40,675439"
02/01/2007 2.00,"8,315139","16,152523","6,183062","0,216094","55,452939"
02/01/2007 3.00,"9,89003","16,580524","6,551659",,"51,253545"
02/01/2007 4.00,"9,723872","16,323722","6,722978","0,243695",
02/01/2007 5.00,"10,377661","8,375862","0,090851","0,178942","63,088763"
02/01/2007 6.00,"10,478802","17,174538","5,479616","0,170414","47,510066"
02/01/2007 7.00,"10,800285","34,465768","23,068355","0,273071","36,307624"
02/01/2007 8.00,"11,215679","44,608144","30,749164","0,377231","23,015198"
02/01/2007 9.00,"12,754451","54,8257","36,625947","0,453356","27,984743"
02/01/2007 10.00,"12,042856","48,626156","33,386446","0,295894","34,337164"
02/01/2007 11.00,"7,347087","30,237647","18,24289","0,227191","57,338157"
02/01/2007 12.00,"4,833039","18,492265","7,488723","0,18747","66,20735"
02/01/2007 13.00,"6,570477","16,10583","5,45885","0,194025","66,264268"
02/01/2007 14.00,"7,646894","12,520992","1,679447","0,191972","71,842725"
02/01/2007 15.00,"8,546316","10,77786","1,900084","0,176178","71,226684"
02/01/2007 16.00,"8,528255","7,890793","0,036339","0,203265","75,87895"
02/01/2007 17.00,"10,785834","7,517265","0,163531","0,305133","79,809916"
02/01/2007 18.00,"8,860573","5,950519","0,038936","0,319109","83,133366"
02/01/2007 19.00,"8,4524","5,244966",0,"0,261621","75,715335"
02/01/2007 20.00,"10,294583","5,579585",0,"0,259331","69,510884"
