,Provincia di TARANTO,,,,
,GROTTAGLIE,,,,
Parm,SO2,NO2,CO,O3,PM10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,
01/01/2010 1.00,"2,267314","5,471828","0,212734","68,886473","19,6"
01/01/2010 2.00,"2,133731","0,449064","0,181833","69,620655","19,6"
01/01/2010 3.00,"2,036251","3,306978","0,229734","64,082929","19,6"
01/01/2010 4.00,"1,960433","3,896212","0,280256","56,927264","19,6"
01/01/2010 5.00,"1,769083","4,944893","0,309091","46,335832","19,6"
01/01/2010 6.00,"1,812408","3,54319","0,291932","55,906183","19,6"
01/01/2010 7.00,"1,870173","4,303744","0,30226","57,104002","19,6"
01/01/2010 8.00,"1,667993","0,106426","0,279382","64,004086","19,6"
01/01/2010 9.00,"1,927939",,"0,301068","80,811701","19,6"
01/01/2010 10.00,"2,130121",,"0,268102","89,92522","19,6"
01/01/2010 11.00,"1,769083",,"0,287246","95,355534","19,6"
01/01/2010 12.00,"1,805187",,"0,316002","92,747812","19,6"
01/01/2010 13.00,"2,086795",,"0,362553","92,452768","19,6"
01/01/2010 14.00,"1,870173",,"0,365492","93,884444","19,6"
01/01/2010 15.00,"1,884615",,"0,377327","95,216859","19,6"
01/01/2010 16.00,"1,751031",,"0,395202","96,397022","19,6"
01/01/2010 17.00,"2,924403","0,82285","0,456447","98,643117","19,6"
01/01/2010 18.00,"1,751031","0,651531","0,42086","94,424206","19,6"
01/01/2010 19.00,"2,047082","5,996169","0,458593","85,594834","19,6"
01/01/2010 20.00,"1,195034","0,137574","0,520157","89,759361","19,6"
01/01/2010 21.00,"1,556071",,"0,452953","97,306608","19,6"
01/01/2010 22.00,"1,54524","5,557488","0,536441","86,787211","19,6"
01/01/2010 23.00,"2,296198","12,29863","0,51817","77,219584","19,6"
02/01/2010 0.00,"1,93877","1,957192","0,443182","81,873562","19,6"
02/01/2010 1.00,,"0,885149","0,434682","78,134596","18,700001"
02/01/2010 2.00,"1,577733",,"0,398141","78,061179","18,700001"
02/01/2010 3.00,"1,296124","9,804125",,"73,797428","18,700001"
02/01/2010 4.00,"2,310639","13,253867","0,339578",,"18,700001"
02/01/2010 5.00,"2,216769","7,218765","0,240105","66,438864","18,700001"
02/01/2010 6.00,"1,339449","1,897488","0,136897","77,730647","18,700001"
02/01/2010 7.00,"1,209475","5,362808","0,133558","65,195741","18,700001"
02/01/2010 8.00,"1,664383","0,101235","0,133718","62,301836","18,700001"
02/01/2010 9.00,"1,725758","1,061659","0,167088","59,982408","18,700001"
02/01/2010 10.00,"0,270778","1,871532","0,233907","66,693148","18,700001"
02/01/2010 11.00,"0,602933","4,815106","0,376921","67,651051","18,700001"
02/01/2010 12.00,"2,397287","7,66783","0,41768","63,296083","18,700001"
02/01/2010 13.00,"8,03308","19,499206","0,523431","52,054079","18,700001"
02/01/2010 14.00,"11,304077","17,015097","0,466544","52,800769","18,700001"
02/01/2010 15.00,"2,89552","0,947448","0,155726","69,787535","18,700001"
02/01/2010 16.00,"1,689655","1,726171","0,166215","68,499998","18,700001"
02/01/2010 17.00,"1,714927","5,181105","0,205542","63,033721","18,700001"
02/01/2010 18.00,"2,184276","10,325861","0,268946","58,571105","18,700001"
02/01/2010 19.00,"0,530725","4,332297","0,422686","59,258583","18,700001"
02/01/2010 20.00,"0,512673","23,623849","0,372392","35,598742","18,700001"
02/01/2010 21.00,"1,538019","21,980753","0,395195","41,753855","18,700001"
02/01/2010 22.00,"0,169687","2,263489","0,275142","59,311052","18,700001"
02/01/2010 23.00,"0,072207","0,301107","0,275779","62,570899","18,700001"
03/01/2010 0.00,"0,079429","0,127192","0,219209","64,169215","18,700001"
03/01/2010 1.00,"0,057766",,"0,228663","68,255136","13,2"
03/01/2010 2.00,"0,09748",,"0,212375","71,527094","13,2"
03/01/2010 3.00,"0,054155",,"0,227392","70,309549","13,2"
03/01/2010 4.00,"0,021662",,"0,241535","70,92167","13,2"
03/01/2010 5.00,"0,025272",,"0,249639","70,205927","13,2"
03/01/2010 6.00,,,"0,298582","74,60534","13,2"
03/01/2010 7.00,,,"0,31614","63,345839","13,2"
03/01/2010 8.00,,,"0,323211","53,839384","13,2"
03/01/2010 9.00,,,"0,355707","47,18111","13,2"
