GROTTAGLIE,,,,,
,,,,,,
,SO2,NO2,CO,O3,PM10
,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,
,,,,,,,
01/01/2011 1.00,"2,412318","14,802223","0,388922",,"23,1"
01/01/2011 2.00,"1,182685","10,950138","0,377339",,"23,1"
01/01/2011 3.00,"1,244078","8,064976","0,370049",,"23,1"
01/01/2011 4.00,"0,888369","6,678851","0,326754",,"23,1"
01/01/2011 5.00,"1,041847","6,528298","0,320234",,"23,1"
01/01/2011 6.00,"1,009346","8,473808","0,293058",,"23,1"
01/01/2011 7.00,"1,637705","17,914522","0,337324",,"23,1"
01/01/2011 8.00,"0,785448","8,783997","0,349962",,"23,1"
01/01/2011 9.00,"1,016568","9,737934","0,2835",,"23,1"
01/01/2011 10.00,"0,902813","12,712655","0,270459",,"23,1"
01/01/2011 11.00,"0,742113","8,477701","0,266814",,"23,1"
01/01/2011 12.00,"1,588953","7,998785","0,262076",,"23,1"
01/01/2011 13.00,"2,229949","7,77036","0,297958",,"23,1"
01/01/2011 14.00,"1,650344","7,086383","0,329467",,"23,1"
01/01/2011 15.00,"1,117683","6,986446","0,331169",,"23,1"
01/01/2011 16.00,"1,731597","7,042255","0,335584",,"23,1"
01/01/2011 17.00,"1,408389","12,590652","0,385196",,"23,1"
01/01/2011 18.00,"1,294635","17,822375","0,435538",,"23,1"
01/01/2011 19.00,"1,688262","20,242897","0,510098",,"23,1"
01/01/2011 20.00,"1,839934","27,670617","0,717296",,"23,1"
01/01/2011 21.00,"1,881464","20,5505","0,513622",,"23,1"
01/01/2011 22.00,"1,224216","9,203211","0,343561",,"23,1"
01/01/2011 23.00,"1,231437","8,799572","0,409618",,"23,1"
02/01/2011 0.00,"1,289218","10,51406","0,387626",,"23,1"
02/01/2011 1.00,,"7,33817","0,349798",,"8,6"
02/01/2011 2.00,"1,182685",,"0,310473",,"8,6"
02/01/2011 3.00,"1,612425","13,081252",,,"8,6"
02/01/2011 4.00,"1,890492","9,047465","0,180307",,"8,6"
02/01/2011 5.00,"1,791182","7,239532","0,164993",,"8,6"
02/01/2011 6.00,"1,792988","10,65552","0,155467",,"8,6"
02/01/2011 7.00,"2,354538","6,964381","0,177653",,"8,6"
02/01/2011 8.00,"2,018691","7,173338","0,169695",,"8,6"
02/01/2011 9.00,"2,173976","8,040317","0,175242",,"8,6"
02/01/2011 10.00,"2,121612","7,492615","0,165474",,"8,6"
02/01/2011 11.00,"2,071054","6,051979","0,157034",,"8,6"
02/01/2011 12.00,"2,18842","6,023425","0,18131",,"8,6"
02/01/2011 13.00,"2,238978","6,098702","0,187258",,"8,6"
02/01/2011 14.00,"2,233561","5,610701","0,195458",,"8,6"
02/01/2011 15.00,"2,313009","5,51985","0,186455",,"8,6"
02/01/2011 16.00,"2,244395","5,939062","0,187299",,"8,6"
02/01/2011 17.00,"2,20106","5,589937","0,168449",,"8,6"
02/01/2011 18.00,"2,318425","5,608106","0,201406",,"8,6"
02/01/2011 19.00,"2,229949","5,669105","0,198352",,"8,6"
02/01/2011 20.00,"2,211894","6,668467","0,186817",,"8,6"
02/01/2011 21.00,"1,935633","6,160999","0,167886",,"8,6"
