"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
,,,
,,,,,
,,,,,
,,,,,,,
,,,,,,
01/01/2012 1.00,"2,728969","4,160978","12,095585","0,806884","51,3913","10,3"
01/01/2012 2.00,"2,709103","7,299232","15,31727","0,817686","43,747957","10,3"
01/01/2012 3.00,"2,716327","7,685999","15,659671","0,788246","45,216696","10,3"
01/01/2012 4.00,"2,03002","7,743107","15,675236","0,789235","45,639118","10,3"
01/01/2012 5.00,"2,367756","5,626276","13,559869","0,775583","45,81242","10,3"
01/01/2012 6.00,"2,389428","8,71002","17,869719","0,752395","40,163481","10,3"
01/01/2012 7.00,"1,95236","9,343381","17,376865","0,765849","38,619647","10,3"
01/01/2012 8.00,"1,786202","8,237593","16,371711","0,769213","37,847744","10,3"
01/01/2012 9.00,"1,871087","10,494591","20,118657","0,817726","34,268336","10,3"
01/01/2012 10.00,"1,890954","6,707403","17,181022","0,750931","40,514419","10,3"
01/01/2012 11.00,"2,165476","4,878701","14,436625","0,718878","52,998672","10,3"
01/01/2012 12.00,"2,783152","1,728765","9,665055","0,711954","68,508498","10,3"
01/01/2012 13.00,"2,777733","1,329022","9,379721","0,696126","71,778128","10,3"
01/01/2012 14.00,"2,031827","1,528894","9,465321","0,719393","73,124828","10,3"
01/01/2012 15.00,"1,69048","1,868936","9,805127","0,718008","74,168994","10,3"
01/01/2012 16.00,"1,825935","2,131106","10,067118","0,710331","72,806389","10,3"
01/01/2012 17.00,"1,739244","3,268042","11,216237","0,698895","68,322928","10,3"
01/01/2012 18.00,"1,670614","4,946191","13,300476","0,722955","66,366048","10,3"
01/01/2012 19.00,"1,661583","5,492594","13,640282","0,738744","67,74236","10,3"
01/01/2012 20.00,"1,632686","5,706744","13,956743","0,742146","65,917633","10,3"
01/01/2012 21.00,"1,490007","7,197999","15,197948","0,786782","60,709186","10,3"
01/01/2012 22.00,"1,423182","22,929487","33,129912","0,885828","36,919848","10,3"
01/01/2012 23.00,"1,009592","24,17286","32,708372","0,861808","36,650503","10,3"
02/01/2012 0.00,"1,502649","38,16522","54,758244","1,098796","21,950147","10,3"
02/01/2012 1.00,"1,20826","20,206551","29,769457","0,940475","36,343613",31
02/01/2012 2.00,"1,576698",,,"0,917563","26,13396",31
02/01/2012 3.00,"1,679644","24,612831","32,634454",,"36,738604",31
02/01/2012 4.00,"2,380398","21,13714","29,060008","0,471224",,31
02/01/2012 5.00,"2,512241","17,445995","25,371398","0,43936","40,780571",31
02/01/2012 6.00,"1,751886","22,268872","31,635779","0,448144","23,989954",31
02/01/2012 7.00,"1,630879","49,733147","70,148161","0,635858","0,734922",31
02/01/2012 8.00,"2,051694","60,042151","92,094251","0,708053","1,108476",31
02/01/2012 9.00,"2,886097","64,788465","137,273068","1,002225","3,987933",31
02/01/2012 10.00,,,,,,31
02/01/2012 11.00,,,,,,31
02/01/2012 12.00,,,,"0,658245",,31
02/01/2012 13.00,,"16,063755","26,176828","0,660637","63,709628",31
02/01/2012 14.00,,"12,441401","21,499941","0,689107","71,059866",31
02/01/2012 15.00,,"9,262914","17,785413","0,660088","75,495093",31
