,Provincia di LECCE,,
,GUAGNANO,,
Parm,SO2,NO2,PM10



01/01/2005 1.00,"1,2696645","4,96955186",
01/01/2005 2.00,"1,61753748","6,19734074",
01/01/2005 3.00,"1,59808227","5,06429719",
01/01/2005 4.00,"1,41506397","5,26157353",
01/01/2005 5.00,"1,54925204","6,34399879",
01/01/2005 6.00,"1,11527373","7,1006575",
01/01/2005 7.00,"1,51747282","6,94231904",
01/01/2005 8.00,"1,35261712","6,68014942",
01/01/2005 9.00,"1,29845373","6,44133871",
01/01/2005 10.00,"1,23402577","6,53348946",
01/01/2005 11.00,"1,33326259","6,20123358",
01/01/2005 12.00,"1,5204628","5,35631886",
01/01/2005 13.00,"1,76441262","5,52763789",
01/01/2005 14.00,"1,71287615","5,07727585",
01/01/2005 15.00,"2,04347641","4,73982888",
01/01/2005 16.00,"2,45840427","4,78525418",
01/01/2005 17.00,"1,51937156","5,04612746",
01/01/2005 18.00,"1,32091825","5,79629683",
01/01/2005 19.00,"1,12165845","5,44587121",
01/01/2005 20.00,"1,37764854","7,94297762",
01/01/2005 21.00,"0,94496487","8,29729799",
01/01/2005 22.00,"1,15196302","6,91765806",
01/01/2005 23.00,"1,58725326","7,75867994",
02/01/2005 0.00,"2,03765713","7,27587126",
02/01/2005 1.00,,"7,96114736",
02/01/2005 2.00,"0,81448377",,
02/01/2005 3.00,"1,09263531",,
02/01/2005 4.00,"0,64209821",,
02/01/2005 5.00,"0,60352136",,
02/01/2005 6.00,"0,61543247",,
02/01/2005 7.00,"0,82305505",,
02/01/2005 8.00,"0,90808439",,
02/01/2005 9.00,"0,39540248",,
02/01/2005 10.00,"0,75905524",,
02/01/2005 11.00,"2,12103689",,
02/01/2005 12.00,"1,75281679",,
02/01/2005 13.00,"1,99931928",,
02/01/2005 14.00,"2,21201771",,
02/01/2005 15.00,"1,96026445",,
02/01/2005 16.00,"1,72447605",,
02/01/2005 17.00,"1,28528663",,
02/01/2005 18.00,"1,04498479",,
02/01/2005 19.00,"1,35173131",,
02/01/2005 20.00,"1,38912233",,
02/01/2005 21.00,"1,04998741",,
02/01/2005 22.00,"1,01306828",,
02/01/2005 23.00,"1,23479258",,
03/01/2005 0.00,"1,22431545",,
03/01/2005 1.00,"1,03559178",,
03/01/2005 2.00,"1,27385352",,
03/01/2005 3.00,"1,46628619",,
03/01/2005 4.00,"1,33767332",,
03/01/2005 5.00,"1,49725893",,
03/01/2005 6.00,"1,01306828",,
03/01/2005 7.00,"1,13024295",,
03/01/2005 8.00,"1,10663838",,
03/01/2005 9.00,"1,18788651",,
03/01/2005 10.00,"1,42701474",,
03/01/2005 11.00,"1,61036763",,
03/01/2005 12.00,"1,01239808",,
03/01/2005 13.00,"1,74711244",,
03/01/2005 14.00,"1,37938863",,
03/01/2005 15.00,"1,23814462",,
03/01/2005 16.00,"1,04525124",,
03/01/2005 17.00,"0,5756281",,
03/01/2005 18.00,"0,89092861",,
03/01/2005 19.00,"0,95738549",,
03/01/2005 20.00,"1,04190023",,
03/01/2005 21.00,"0,95521318",,
03/01/2005 22.00,"1,13335904",,
03/01/2005 23.00,"1,21074053",,
04/01/2005 0.00,"1,42175176",,
04/01/2005 1.00,,,
04/01/2005 2.00,"0,99269167",,
04/01/2005 3.00,"1,04142122",,
04/01/2005 4.00,"1,10490745",,
04/01/2005 5.00,"1,44416543",,
04/01/2005 6.00,"1,31210289",,
04/01/2005 7.00,"1,56061498",,
04/01/2005 8.00,"1,08266159",,
04/01/2005 9.00,"2,27124881",,
04/01/2005 10.00,"2,93224288",,
04/01/2005 11.00,"2,02938485","3,80536182",
04/01/2005 12.00,"1,77826213","3,3043815",
04/01/2005 13.00,"1,84513802","3,74436138",
04/01/2005 14.00,"2,03573907","3,19925591",
04/01/2005 15.00,"1,68511612","3,19276658",
04/01/2005 16.00,"1,31598885","3,52372231",
04/01/2005 17.00,"1,44811647","4,65287112",
04/01/2005 18.00,"0,85582991","8,74765812",
04/01/2005 19.00,"1,02870872","11,19284991",
04/01/2005 20.00,"0,77637882","9,43682896",
04/01/2005 21.00,"0,67843053","11,10069151",
04/01/2005 22.00,"1,2960048","14,46737744",
04/01/2005 23.00,"0,87751031","16,41288524",
05/01/2005 0.00,"0,81712696","12,08448243",
05/01/2005 1.00,"0,77969932",,
05/01/2005 2.00,"1,5646423",,
05/01/2005 3.00,"1,54479961",,
05/01/2005 4.00,"1,57516621",,
05/01/2005 5.00,"1,55729854",,
05/01/2005 6.00,"1,30829321",,
05/01/2005 7.00,"1,31373416","6,68274401",
05/01/2005 8.00,"1,33060822",,
05/01/2005 9.00,"1,36634255",,
05/01/2005 10.00,"2,23834581",,
05/01/2005 11.00,"2,734653",,
05/01/2005 12.00,"3,34889252","9,24993478",
05/01/2005 13.00,"2,76720818","9,68082884",
05/01/2005 14.00,"2,40161499","8,40372182",
05/01/2005 15.00,"2,48621617","7,5354463",
05/01/2005 16.00,"2,0992975","6,75412662",
05/01/2005 17.00,"2,31694466","8,33104097",
05/01/2005 18.00,"2,50733214","12,07150186",
05/01/2005 19.00,"1,86689063","11,55624846",
05/01/2005 20.00,"1,68081014","12,28046243",
05/01/2005 21.00,"1,98376529","12,38558802",
05/01/2005 22.00,"2,1928676",,
05/01/2005 23.00,"2,28982635",,
06/01/2005 0.00,"1,70319736",,
06/01/2005 1.00,,"11,00984666",
06/01/2005 2.00,"0,99925844",,
06/01/2005 3.00,"1,15877794",,
06/01/2005 4.00,"0,78223979",,
06/01/2005 5.00,"1,00514992",,
06/01/2005 6.00,"1,10239952",,
06/01/2005 7.00,"0,9771214",,
06/01/2005 8.00,"0,89476677",,
06/01/2005 9.00,"0,50610395",,
06/01/2005 10.00,"0,91705738",,
06/01/2005 11.00,"1,17540589",,
06/01/2005 12.00,"1,60861941",,
06/01/2005 13.00,"1,77698986","6,08442376",
06/01/2005 14.00,"1,52909611","5,37189402",
06/01/2005 15.00,"1,33944188","6,41408506",
06/01/2005 16.00,"1,50806557","6,82940206",
06/01/2005 17.00,"1,61979116","6,08702026",
06/01/2005 18.00,"1,59446379","7,27716951",
06/01/2005 19.00,"1,63343523","12,1234184",
06/01/2005 20.00,"1,56782347","12,12731506",
06/01/2005 21.00,"1,29902834",,
06/01/2005 22.00,"1,19127109",,
06/01/2005 23.00,"1,07021147",,
07/01/2005 0.00,"1,01438326",,
07/01/2005 1.00,"1,35160622",,
07/01/2005 2.00,"1,3074074",,
07/01/2005 3.00,"1,16164689",,
07/01/2005 4.00,"1,04102357",,
07/01/2005 5.00,"1,15435195",,
07/01/2005 6.00,"1,08106286",,
07/01/2005 7.00,"1,40891519","5,62887064",
07/01/2005 8.00,"1,41573722","9,8106154",
07/01/2005 9.00,"1,63277113","9,96636118",
07/01/2005 10.00,"2,9797561",,
07/01/2005 11.00,"3,2724131",,
