,Regione Puglia,,
,Fraz. Villa Baldassare,,
Parm,SO2,NO2,PM10
,,,,,
,,,,
,,,,
,,,,,
,,,,
01/01/2006 1.00,3,"20,89313144","41,36277008"
01/01/2006 2.00,2,"17,64067604","41,36277008"
01/01/2006 3.00,1,"18,07156436","41,36277008"
01/01/2006 4.00,1,"13,01505283","41,36277008"
01/01/2006 5.00,1,"9,77557418","41,36277008"
01/01/2006 6.00,1,"8,3518072","41,36277008"
01/01/2006 7.00,1,"6,96308336","41,36277008"
01/01/2006 8.00,1,"8,29599974","41,36277008"
01/01/2006 9.00,1,"10,3609043","41,36277008"
01/01/2006 10.00,1,"13,1578257","41,36277008"
01/01/2006 11.00,1,"14,51150258","41,36277008"
01/01/2006 12.00,"0,93218322","10,26097744","41,36277008"
01/01/2006 13.00,"0,78413954","12,78403926","41,36277008"
01/01/2006 14.00,"0,83803648","9,88848734","41,36277008"
01/01/2006 15.00,"0,89931479","7,98710467","41,36277008"
01/01/2006 16.00,"0,78137737","8,64253062","41,36277008"
01/01/2006 17.00,"0,78336866","8,7697226","41,36277008"
01/01/2006 18.00,"0,72763909","11,25644303","41,36277008"
01/01/2006 19.00,"0,71136404","15,03065264","41,36277008"
01/01/2006 20.00,"0,72963038","12,09227383","41,36277008"
01/01/2006 21.00,"0,65369709","13,57314078","41,36277008"
01/01/2006 22.00,"0,75838605","11,54226218","41,36277008"
01/01/2006 23.00,1,"8,73467946","41,36277008"
02/01/2006 0.00,1,"6,03640388","41,36277008"
02/01/2006 1.00,,"4,78395593","46,94192123"
02/01/2006 2.00,"0,95230863",,"46,94192123"
02/01/2006 3.00,"0,99383376","4,0779136","46,94192123"
02/01/2006 4.00,"1,23286334","3,43936105","46,94192123"
02/01/2006 5.00,1,"3,20574333","46,94192123"
02/01/2006 6.00,"0,85594585","3,58082993","46,94192123"
02/01/2006 7.00,"1,23787613","4,02210614","46,94192123"
02/01/2006 8.00,"0,91422503","4,86442436","46,94192123"
02/01/2006 9.00,"1,02584892","8,07795718","46,94192123"
02/01/2006 10.00,"1,03903331","11,82231282","46,94192123"
