,Regione Puglia,,,,,,
,GUAGNANO,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE
,,,,,
,,,,,
,,,,,,
,,,,,
,,,,,
01/01/2007 1.00,"2,49075402","15,58354377",,,,"112,67340088",
01/01/2007 2.00,"2,57330188","23,62515",,,,"112,67340088",
01/01/2007 3.00,"2,56250439","19,15787672",,,,"112,67340088",
01/01/2007 4.00,"3,06593973","17,36681837",,,,"112,67340088",
01/01/2007 5.00,"2,49224189","14,54135654",,,,"112,67340088",
01/01/2007 6.00,"2,47886123","14,79703683",,,,"112,67340088",
01/01/2007 7.00,"2,56050497","14,16627186",,,,"112,67340088",
01/01/2007 8.00,"2,90214069","15,00079867",,,,"112,67340088",
01/01/2007 9.00,"2,70224019","13,6068914",,,,"112,67340088",
01/01/2007 10.00,"2,68569258","19,87560328",,,,"112,67340088",
01/01/2007 11.00,"3,4251004","20,78280904",,,,"112,67340088",
01/01/2007 12.00,"3,77874486","23,28770112",,,,"112,67340088",
01/01/2007 13.00,"4,0075963","13,66009854",,,,"112,67340088",
01/01/2007 14.00,"3,93491233","8,72040256",,,,"112,67340088",
01/01/2007 15.00,"3,38355595","6,76450878",,,,"112,67340088",
01/01/2007 16.00,"3,32507031","7,71714939",,,,"112,67340088",
01/01/2007 17.00,"3,4579617","11,79894818",,,,"112,67340088",
01/01/2007 18.00,"3,67773744","23,0774576",,,,"112,67340088",
01/01/2007 19.00,"4,09487321","27,68619976",,,,"112,67340088",
01/01/2007 20.00,"3,99007136","22,13520488",,,,"112,67340088",
01/01/2007 21.00,"3,82827174","26,9100616",,,,"112,67340088",
01/01/2007 22.00,"3,65309044","22,67251512",,,,"112,67340088",
01/01/2007 23.00,"3,47450931","20,59593016",,,,"112,67340088",
02/01/2007 0.00,"3,53886202","22,43500648",,,,"112,67340088",
02/01/2007 1.00,,"7,6068289",,,,"16,12113953",
02/01/2007 2.00,"1,53479131",,,,,"16,12113953",
02/01/2007 3.00,"1,35215438","6,71778714",,,,"16,12113953",
02/01/2007 4.00,"1,76450822","5,59382942",,,,"16,12113953",
02/01/2007 5.00,"1,6638242","4,98123226",,,,"16,12113953",
02/01/2007 6.00,"1,48683773","4,65676586",,,,"16,12113953",
02/01/2007 7.00,"1,80817108","7,61331823",,,,"16,12113953",
02/01/2007 8.00,"1,72464792","18,09493091",,,,"16,12113953",
02/01/2007 9.00,"1,81283098","10,6023115",,,,"16,12113953",
