Lecce,,,,
,Guagnano ,,,,
Parm,SO2,NOX,NO2,PM10
,,,,
,,,,
,,,,,
,,,,,
,,,,,
01/01/2010 1.00,"0,84715897","12,75574548","9,97674334","30,60000038"
01/01/2010 2.00,"0,67421507","13,82964131","11,10329566","30,60000038"
01/01/2010 3.00,"0,76552844","12,96585516","10,30510258","30,60000038"
01/01/2010 4.00,"0,71774572","9,59631462","7,4588707","30,60000038"
01/01/2010 5.00,"0,75430687","9,09827686","8,18567926","30,60000038"
01/01/2010 6.00,"0,62344541","7,91024801","7,5042979","30,60000038"
01/01/2010 7.00,"0,64806088","6,6586681","6,19863708","30,60000038"
01/01/2010 8.00,"0,73448757","5,3811481","5,11621182","30,60000038"
01/01/2010 9.00,"0,70932902","5,29943878","4,72944672","30,60000038"
01/01/2010 10.00,"0,67819764","2,50316172","2,41014866","30,60000038"
01/01/2010 11.00,"0,85756593","2,52391266","2,44649004","30,60000038"
01/01/2010 12.00,"0,85466951","2,74310051","2,54772279","30,60000038"
01/01/2010 13.00,"0,95557625","4,24888846","3,69374309","30,60000038"
01/01/2010 14.00,"1,21168736","1,8507835","1,84557521","30,60000038"
01/01/2010 15.00,"1,03394831","2,02976582","1,98314934","30,60000038"
01/01/2010 16.00,"1,10942394","2,44479792","2,43350947","30,60000038"
01/01/2010 17.00,"1,33503726","4,19571383","3,7988725","30,60000038"
01/01/2010 18.00,"1,23204974","3,38250964","3,35759628","30,60000038"
01/01/2010 19.00,"1,03313369","3,52388101","3,47699877","30,60000038"
01/01/2010 20.00,"1,1162114","4,90775219","4,75021104","30,60000038"
01/01/2010 21.00,"1,07259125","3,20482366","3,16680736","30,60000038"
01/01/2010 22.00,"1,07530563","3,22816918","3,1707021","30,60000038"
01/01/2010 23.00,"1,24580568","3,52128642","3,36538194","30,60000038"
02/01/2010 0.00,"1,13666429","4,3733979","4,02210614","30,60000038"
02/01/2010 1.00,,"2,47073611","2,46465978","14,10000038"
02/01/2010 2.00,"0,70340805",,,"14,10000038"
02/01/2010 3.00,"0,6008497","9,16831342","9,02540289","14,10000038"
02/01/2010 4.00,"0,53561017","4,57313307","4,5101059","14,10000038"
02/01/2010 5.00,"0,50052977","4,04007512","3,80925466","14,10000038"
02/01/2010 6.00,"0,51323719","2,3047248","2,30631941","14,10000038"
02/01/2010 7.00,"0,62698152","1,63418831","1,6353183","14,10000038"
02/01/2010 8.00,"0,64998097","2,70289498","2,6930845","14,10000038"
02/01/2010 9.00,"0,56263694","2,54855451","2,54253171","14,10000038"
02/01/2010 10.00,"1,02736933","2,3241794","2,31151049","14,10000038"
02/01/2010 11.00,"0,75388176","5,07895267","4,67882843","14,10000038"
02/01/2010 12.00,"1,06227074","11,39392157","9,87550868","14,10000038"
02/01/2010 13.00,"1,06907243","6,33053258","5,63536188","14,10000038"
02/01/2010 14.00,"0,81634692","3,52517734","3,34461762","14,10000038"
02/01/2010 15.00,"0,93850387","4,13605178","3,90270174","14,10000038"
02/01/2010 16.00,"1,32376686","4,49790734","4,01821331","14,10000038"
02/01/2010 17.00,"0,93250764","3,39029148","3,36019086","14,10000038"
02/01/2010 18.00,"1,06423965","3,82088726","3,65480903","14,10000038"
02/01/2010 19.00,"0,8454321","5,75208183","5,44327662","14,10000038"
02/01/2010 20.00,"0,6847939","3,59132298","3,52631881","14,10000038"
02/01/2010 21.00,"0,65454527","3,73788161","3,59770142","14,10000038"
02/01/2010 22.00,"0,69848577","4,60166585","4,17785002","14,10000038"
02/01/2010 23.00,"0,74350022","2,33585216","2,29593534","14,10000038"
03/01/2010 0.00,"0,76954254","2,46554886","2,46595802","14,10000038"
03/01/2010 1.00,"0,82395408","3,57446297","3,56655302","13,39999962"
03/01/2010 2.00,"0,76121942","2,93764842","2,87089286","13,39999962"
03/01/2010 3.00,"0,76462026","7,0088509","6,81512706","13,39999962"
03/01/2010 4.00,"0,73428315","6,96086353","6,9552977","13,39999962"
03/01/2010 5.00,"0,82288013","3,28004938","3,24987038","13,39999962"
03/01/2010 6.00,"0,64031642","2,343634","2,3374678","13,39999962"
03/01/2010 7.00,"0,61588503","2,4149669","2,41663798","13,39999962"
03/01/2010 8.00,"0,77401734","3,15683628","3,14344654","13,39999962"
03/01/2010 9.00,"0,69839627","4,84549747","4,60614758","13,39999962"
03/01/2010 10.00,"0,89143101","4,0037605","3,75604178","13,39999962"
03/01/2010 11.00,"1,05385913","4,26315581","4,05325454","13,39999962"
03/01/2010 12.00,"0,82198517","4,63020054","4,36344594","13,39999962"
03/01/2010 13.00,"0,95407516","5,15547474","4,49323442","13,39999962"
03/01/2010 14.00,"0,95926593","2,9791503","2,97861685","13,39999962"
03/01/2010 15.00,"0,93913034","2,32158482","2,18561676","13,39999962"
03/01/2010 16.00,"1,08876054","2,62248199","2,60742499","13,39999962"
03/01/2010 17.00,"0,83317115","2,829999","2,82806406","13,39999962"
03/01/2010 18.00,"0,77222742","3,88443832","3,87155335","13,39999962"
03/01/2010 19.00,"0,92597443","3,69897241","3,70153258","13,39999962"
03/01/2010 20.00,"0,80319202","3,88314198","3,85727645","13,39999962"
03/01/2010 21.00,"0,76855809","3,75603796","3,68855201","13,39999962"
03/01/2010 22.00,"0,54259086","4,03099694","4,03378655","13,39999962"
03/01/2010 23.00,"0,76497825","5,94014424","5,90531907","13,39999962"
04/01/2010 0.00,"0,75361327","6,11134472","6,09350958","13,39999962"
04/01/2010 1.00,,"4,94536506","4,94359454","54,5"
04/01/2010 2.00,"1,26538191",,,"54,5"
04/01/2010 3.00,"1,49573953","10,15790534","10,14027479","54,5"
04/01/2010 4.00,"1,5541194","5,67037251","5,67429594","54,5"
04/01/2010 5.00,"1,63235314","4,18404107","4,1687661","54,5"
04/01/2010 6.00,"1,68614227","4,85457565","4,8540422","54,5"
04/01/2010 7.00,"1,61864195","5,86880943","5,86767944","54,5"
04/01/2010 8.00,"1,67497459","9,44067782","8,79827641","54,5"
04/01/2010 9.00,"1,90539425","10,91144749","9,59516933","54,5"
04/01/2010 10.00,"1,95992782","27,01726744","21,49015344","54,5"
04/01/2010 11.00,"2,39464752","23,10818344","19,90284928","54,5"
04/01/2010 12.00,"2,73785655","49,4730956","30,87247128","54,5"
04/01/2010 13.00,"2,85877378","31,10793408","25,06060312","54,5"
04/01/2010 14.00,"2,83277926","28,70334552","23,84319448","54,5"
04/01/2010 15.00,"2,68108964","33,04947448","27,27217528","54,5"
04/01/2010 16.00,"2,86286822","29,3349556","22,44408848","54,5"
04/01/2010 17.00,"3,47831289","33,46843192","25,45256312","54,5"
04/01/2010 18.00,"3,52974461","29,55026592","22,69067912","54,5"
04/01/2010 19.00,"3,73739466","45,47841136","29,5525412","54,5"
04/01/2010 20.00,"3,25943313","42,60301192","30,36500736","54,5"
04/01/2010 21.00,"3,11332685","29,1793188","21,58489304","54,5"
04/01/2010 22.00,"2,67519511","21,19515096","16,32592557","54,5"
04/01/2010 23.00,"2,27143391","16,39635409","13,11499116","54,5"
05/01/2010 0.00,"1,98592336","19,1887364","17,23573356","54,5"
05/01/2010 1.00,"2,24823105","6,49135854","5,65482795","32,09999084"
05/01/2010 2.00,"2,19400766","4,26445214","3,96370219","32,09999084"
05/01/2010 3.00,"1,88051639","4,04915521","3,71061649","32,09999084"
05/01/2010 4.00,"2,03177074","4,00116592","3,75214895","32,09999084"
05/01/2010 5.00,"1,81220857","5,19568027","4,41665882","32,09999084"
05/01/2010 6.00,"1,92382025","3,78586898","3,63014806","32,09999084"
05/01/2010 7.00,"1,75897778","6,90379606","6,61525423","32,09999084"
05/01/2010 8.00,"1,81183635","8,92578004","8,36997885","32,09999084"
05/01/2010 9.00,"1,96147875","9,70396404","8,56465869","32,09999084"
05/01/2010 10.00,"2,24351624","10,46399169","9,13701971","32,09999084"
05/01/2010 11.00,"1,73515455","11,46136546","10,05851002","32,09999084"
05/01/2010 12.00,"1,7571787","12,24473671","10,66850112","32,09999084"
05/01/2010 13.00,"1,75686852","13,85298683","11,55884113","32,09999084"
05/01/2010 14.00,"2,09889884","10,43934792","8,83980696","32,09999084"
05/01/2010 15.00,"1,86270974","8,49388792","7,28365884","32,09999084"
05/01/2010 16.00,"1,62832073","8,54317163","7,54063738","32,09999084"
05/01/2010 17.00,"1,85501715","10,06452326","8,79957274","32,09999084"
05/01/2010 18.00,"1,87003112","10,75970161","9,44202004","32,09999084"
05/01/2010 19.00,"1,66517275","10,42637882","8,99814733","32,09999084"
05/01/2010 20.00,"1,53780265","10,58071929","8,90599849","32,09999084"
05/01/2010 21.00,"1,4853163","9,79215886","8,19216858","32,09999084"
05/01/2010 22.00,"1,40441496","8,10998126","6,92674389","32,09999084"
05/01/2010 23.00,"1,38208063","5,90382771","5,38487076","32,09999084"
06/01/2010 0.00,"1,38518248","3,63152852","3,46661661","32,09999084"
06/01/2010 1.00,,"3,07383062","2,88257518","53,70000076"
06/01/2010 2.00,"0,56452246",,,"53,70000076"
06/01/2010 3.00,"0,63477581","10,03599049","9,90276424","53,70000076"
06/01/2010 4.00,"0,57205131","6,21510322","6,04808429","53,70000076"
06/01/2010 5.00,"0,52317023","5,46285742","5,37059577","53,70000076"
06/01/2010 6.00,"0,65893464","5,30073511","5,14736021","53,70000076"
06/01/2010 7.00,"0,70099878","6,70017189","6,21810506","53,70000076"
06/01/2010 8.00,"0,71848813","9,4043632","8,58023193","53,70000076"
06/01/2010 9.00,"0,58017308","10,50808814","9,38231784","53,70000076"
06/01/2010 10.00,"0,42333235","7,66901097","6,60097733","53,70000076"
06/01/2010 11.00,"0,61118039","7,91802985","6,82551114","53,70000076"
06/01/2010 12.00,"0,70550409","8,58986267","7,14997754","53,70000076"
06/01/2010 13.00,"0,6565335","8,97895467","7,2512122","53,70000076"
06/01/2010 14.00,"0,57234726","5,10489278","4,22197706","53,70000076"
06/01/2010 15.00,"0,66990299","3,52128642","3,35370154","53,70000076"
06/01/2010 16.00,"0,61367","8,08144849","7,73402088","53,70000076"
06/01/2010 17.00,"0,62336303","18,23157199","15,66011746","53,70000076"
06/01/2010 18.00,"1,08460914","32,54235472","23,5304104","53,70000076"
06/01/2010 19.00,"0,90432047","26,7552852","21,15920536","53,70000076"
06/01/2010 20.00,"0,80033222","35,89504672","26,70629976","53,70000076"
06/01/2010 21.00,"0,72361584","40,80280656","30,45716576","53,70000076"
06/01/2010 22.00,"0,79475906","25,20409872","20,68288792","53,70000076"
06/01/2010 23.00,"0,69435878","10,70522873","8,39333966","53,70000076"
07/01/2010 0.00,"0,45422068","10,08268153","8,18438292","53,70000076"
07/01/2010 1.00,"0,42288792","5,44210648","5,1668301",45
07/01/2010 2.00,"0,64328403","3,96225672","3,6911485",45
07/01/2010 3.00,"0,69726334","4,38377433","4,22197706",45
07/01/2010 4.00,"0,49901037","6,33701808","6,26093578",45
07/01/2010 5.00,"0,64941959","13,92302339","9,61853014",45
07/01/2010 6.00,"0,70310295","10,77396895","9,59127458",45
07/01/2010 7.00,"0,54560931","13,0968501","11,3070575",45
07/01/2010 8.00,"1,29934361","33,02614808","19,84575696",45
07/01/2010 9.00,"0,93941714","49,74285968","23,90808776",45
07/01/2010 10.00,"0,88724606","40,25805864","25,35910456",45
07/01/2010 11.00,"1,1898422","33,87826912","25,78611152",45
07/01/2010 12.00,"1,10577393","19,2367276","15,73929529",45
07/01/2010 13.00,"0,79858298","17,28478018","14,58678375",45
07/01/2010 14.00,"0,68090082","7,38367747","6,39591342",45
07/01/2010 15.00,"0,73324988","8,37326749","7,48872275",45
07/01/2010 16.00,"0,87423252","13,92172706","11,93652231",45
07/01/2010 17.00,"1,15050566","28,12098856","23,73677256",45
07/01/2010 18.00,"1,65345894","45,60162064","34,56750688",45
07/01/2010 19.00,"1,86934973","48,81031992","33,03991448",45
07/01/2010 20.00,"1,48520544","46,31624976","31,34750768",45
07/01/2010 21.00,"1,09910444","24,567288","17,61341666",45
07/01/2010 22.00,"0,87452847","18,33014324","13,74965279",45
07/01/2010 23.00,"0,69527714","15,08770672","12,14548288",45
08/01/2010 0.00,"0,54875184","13,69086453","11,38622577",45
08/01/2010 1.00,,"7,93100086","6,66587061","35,70000076"
08/01/2010 2.00,"0,66615737",,,"35,70000076"
08/01/2010 3.00,"0,78691697","14,82182591","14,00663324","35,70000076"
08/01/2010 4.00,"0,87515087","7,91413893","7,57308402","35,70000076"
08/01/2010 5.00,"0,7786508","7,52634326","7,32778589","35,70000076"
08/01/2010 6.00,"0,81261453","5,00502519","4,91893548","35,70000076"
08/01/2010 7.00,"0,70605123","5,51992488","5,09934033","35,70000076"
08/01/2010 8.00,"0,67693961","6,28513978","5,79110575","35,70000076"
08/01/2010 9.00,"0,70641023","9,77659518","8,27652985","35,70000076"
08/01/2010 10.00,"0,75061719","7,11260941","6,60227558","35,70000076"
08/01/2010 11.00,"0,80920046","6,3473945","5,92478706","35,70000076"
08/01/2010 12.00,"0,82501481","6,56398778","5,98059451","35,70000076"
08/01/2010 13.00,"0,75798536","7,23452426","6,38423301","35,70000076"
08/01/2010 14.00,"0,78260489","6,4252129","5,87157418","35,70000076"
08/01/2010 15.00,"0,50226884","6,27865428","5,68338176","35,70000076"
08/01/2010 16.00,"0,7184505","6,2306669","5,88325459","35,70000076"
08/01/2010 17.00,"0,79572317","6,1982413","5,93387097","35,70000076"
08/01/2010 18.00,"0,75331326","7,92192077","7,3083179","35,70000076"
08/01/2010 19.00,"0,70137914","7,51077958","6,64510629","35,70000076"
08/01/2010 20.00,"0,77577574","7,18653689","6,69831725","35,70000076"
08/01/2010 21.00,"1,01136582","8,44071138","7,47834059","35,70000076"
08/01/2010 22.00,"0,84891431","5,48620294","5,30699882","35,70000076"
08/01/2010 23.00,"0,7461251","4,33837962","4,17395718","35,70000076"
09/01/2010 0.00,"0,7973402","3,60040116","3,51593474","35,70000076"
09/01/2010 1.00,"0,74037397","2,79757339","2,78004226","65,19998169"
09/01/2010 2.00,"0,61548128","2,33455391","2,33357306","65,19998169"
09/01/2010 3.00,"0,5511479","2,48629979","2,46076503","65,19998169"
09/01/2010 4.00,"0,6720875","2,46295427","2,46206328","65,19998169"
09/01/2010 5.00,"0,68574479","1,98307478","1,9364258","65,19998169"
09/01/2010 6.00,"0,78673798","9,41214504","6,26353227","65,19998169"
09/01/2010 7.00,"0,69401097","3,85071829","3,62884981","65,19998169"
09/01/2010 8.00,"0,7504382","6,40705464","6,23238197","65,19998169"
09/01/2010 9.00,"0,70048011","8,45627506","7,67172218","65,19998169"
09/01/2010 10.00,"0,77901081","7,72089118","6,87223277","65,19998169"
09/01/2010 11.00,"0,89366027","6,9634562","5,99876616","65,19998169"
09/01/2010 12.00,"0,87281483","7,51077958","6,40759574","65,19998169"
09/01/2010 13.00,"0,65124205","5,33575339","4,68661601","65,19998169"
09/01/2010 14.00,"0,72725568","3,71712876","3,43416997","65,19998169"
09/01/2010 15.00,"0,69544901","6,23844874","5,92997814","65,19998169"
09/01/2010 16.00,"0,80147329","5,33056614","5,05910611","65,19998169"
09/01/2010 17.00,"0,96122874","9,3849086","8,40242358","65,19998169"
09/01/2010 18.00,"0,8764089","10,65853769","9,51989198","65,19998169"
09/01/2010 19.00,"0,93014006","18,18358462","14,84246404","65,19998169"
09/01/2010 20.00,"1,53268307","47,10351576","31,14372672","65,19998169"
09/01/2010 21.00,"1,31344533","33,71615064","24,40776984","65,19998169"
09/01/2010 22.00,"0,95817367","25,14832568","19,18124136","65,19998169"
09/01/2010 23.00,"0,88575412","8,46664957","6,81642531","65,19998169"
10/01/2010 0.00,"0,87407285","4,92720679","4,50491482","65,19998169"
10/01/2010 1.00,,"7,82983502","6,06625402",13
10/01/2010 2.00,"0,41488108",,,13
10/01/2010 3.00,"0,58461228","13,35754174","13,1746991",13
10/01/2010 4.00,"0,70407419","8,19558342","7,79501942",13
10/01/2010 5.00,"0,45964535","5,6340579","5,48870192",13
10/01/2010 6.00,"0,55822927","3,48886082","3,46272378",13
10/01/2010 7.00,"0,55519047","5,60682146","5,40433874",13
10/01/2010 8.00,"0,5848828","5,35909891","5,2550842",13
10/01/2010 9.00,"0,58647746","9,25520999","8,61397873",13
10/01/2010 10.00,"0,75476452","10,38098603","9,47835951",13
10/01/2010 11.00,"0,73740636","3,08550338","2,99808483",13
10/01/2010 12.00,"0,65831732","3,4006679","3,22391498",13
10/01/2010 13.00,"0,99335678","4,33578695","4,14799987",13
10/01/2010 14.00,"0,82461818","3,3358186","3,33423355",13
10/01/2010 15.00,"0,79594895","2,71586407","2,69827558",13
10/01/2010 16.00,"1,01164753","5,69501628","4,98253242",13
10/01/2010 17.00,"0,72946461","8,57040807","8,00527632",13
10/01/2010 18.00,"0,77101007","16,93459738","14,45439878",13
10/01/2010 19.00,"0,73710533","15,35099294","13,47450452",13
10/01/2010 20.00,"0,69086742","20,13812088","14,77886901",13
10/01/2010 21.00,"0,4433103","12,38740442","11,16039945",13
10/01/2010 22.00,"0,56914981","12,79595102","10,71133374",13
10/01/2010 23.00,"0,56731413","9,17220434","8,49457242",13
11/01/2010 0.00,"0,57089397","10,04766325","9,2616171",13
11/01/2010 1.00,"0,49499322","15,30689458","13,45893128","40,29999161"
11/01/2010 2.00,"0,55519047","13,99824721","13,50954574","40,29999161"
11/01/2010 3.00,"0,51373552","12,84134572","12,6776116","40,29999161"
11/01/2010 4.00,"0,51960157","10,99315681","10,25058954","40,29999161"
11/01/2010 5.00,"0,49526476","8,80645786","8,29599974","40,29999161"
11/01/2010 6.00,"0,3803458","12,15135463","10,89044034","40,29999161"
11/01/2010 7.00,"0,48557784","10,78175079","7,94167938","40,29999161"
11/01/2010 8.00,"0,74354396","73,55660936","29,83936032","40,29999161"
11/01/2010 9.00,"0,74832691","49,44844992","25,36300504","40,29999161"
11/01/2010 10.00,"0,89754115","42,23594616","21,2889728","40,29999161"
11/01/2010 11.00,"0,86980349","23,48431208","15,3460313","40,29999161"
11/01/2010 12.00,"0,89038147","28,91733656","21,93272408","40,29999161"
11/01/2010 13.00,"1,49514967","41,00643456","26,1079776","40,29999161"
11/01/2010 14.00,"1,37806449","21,60758848","18,08065018","40,29999161"
11/01/2010 15.00,"1,30595411","21,79695296","17,99888924","40,29999161"
11/01/2010 16.00,"1,10758419","12,25511314","10,22203765","40,29999161"
11/01/2010 17.00,"1,41491651","24,6451064","19,43561384","40,29999161"
11/01/2010 18.00,"0,95352598","15,15774328","10,60490609","40,29999161"
11/01/2010 19.00,"0,94796096","12,69608534","9,90146599","40,29999161"
11/01/2010 20.00,"1,02377119","16,80879161","13,2330954","40,29999161"
11/01/2010 21.00,"1,33155505","33,64997632","26,07943144","40,29999161"
11/01/2010 22.00,"1,36503774","34,5876976","24,7062904","40,29999161"
11/01/2010 23.00,"1,06134527","21,84494416","15,54331529","40,29999161"
12/01/2010 0.00,"0,99302626","17,75947434","12,31940031","40,29999161"
12/01/2010 1.00,,"13,45611108","9,32910497","15,80000019"
12/01/2010 2.00,"0,54202846",,,"15,80000019"
12/01/2010 3.00,"0,30209883","10,86735103","9,68342342","15,80000019"
12/01/2010 4.00,"0,29496458","6,68979546","6,03770213","15,80000019"
12/01/2010 5.00,"0,29712875","5,32667522","4,93061589","15,80000019"
12/01/2010 6.00,"0,16306273","5,61200871","5,47442502","15,80000019"
12/01/2010 7.00,"0,31984447","6,91287424","6,56074311","15,80000019"
12/01/2010 8.00,"0,2783468","29,38554712","22,16375104","15,80000019"
