"NetC","Regione-Provincia Lecce","","",""
"Stat","Baldassarre","","",""
,SO2,NO2,NOX,PM10

,,,,,

01/01/2012 1.00,"1,81690508","1,72227606","4,61074594",
01/01/2012 2.00,"2,91680075","3,97148977","6,85061952",
01/01/2012 3.00,"3,57962745","3,37706235","6,3927873",
01/01/2012 4.00,"2,94750398","3,56395653","6,5289695",
01/01/2012 5.00,"3,11185626","8,27004243","12,2538168",
01/01/2012 6.00,"3,20938351","4,68791426","7,56395613",
01/01/2012 7.00,"3,44959078","2,59185175","5,40189903",
01/01/2012 8.00,"3,12630478","6,70091374","14,48201762",
01/01/2012 9.00,"3,56698512","4,64119071","9,0087857",
01/01/2012 10.00,"3,59768835","2,8605107","6,58603696",
01/01/2012 11.00,"3,37192961","2,80340308","6,69628097",
01/01/2012 12.00,"3,2653714","2,46855261","6,07243552",
01/01/2012 13.00,"4,10519372","1,3251269","4,60944769",
01/01/2012 14.00,"4,17021155","0,97859602","3,81699634",
01/01/2012 15.00,"4,46098914","0,72940506","3,47718997",
01/01/2012 16.00,"4,26412743","0,87995785","3,89351841",
01/01/2012 17.00,"4,38152178","2,40885041","5,72614364",
01/01/2012 18.00,"4,02392017","7,62629689","11,8387847",
01/01/2012 19.00,"4,2713522","15,83533696","21,51938792",
01/01/2012 20.00,"4,13409076","18,63873813","24,75405216",
01/01/2012 21.00,"4,06546055","15,84960813","20,481822",
01/01/2012 22.00,"3,65909481","14,60625365","19,71660136",
01/01/2012 23.00,"3,8938835","17,79901067","26,8629308",
02/01/2012 0.00,"2,88790371","11,6821441","17,51693905",
02/01/2012 1.00,"3,04683742","10,08446542","15,11883408",
02/01/2012 2.00,"3,20938351",,,
02/01/2012 3.00,"3,14617086","17,93009548","22,28850904",
02/01/2012 4.00,"3,33400262","11,99623025","15,81790334",
02/01/2012 5.00,"3,16061938","7,74829778","11,20456282",
02/01/2012 6.00,"3,27981992","6,06625402","9,60020745",
02/01/2012 7.00,"2,79398783","4,56591527","8,17742515",
02/01/2012 8.00,"3,11185626","6,14282962","24,19764104",
02/01/2012 9.00,"3,47848781","6,9981265","30,77849648",
02/01/2012 10.00,"6,02143224","12,81259306","41,4214724",
02/01/2012 11.00,"3,85595652","30,65314576","62,59329696",
02/01/2012 12.00,"3,83428323","30,73230256","45,26182",
02/01/2012 13.00,"4,38874655","17,75488745","27,53606952",
02/01/2012 14.00,"4,57296491","12,14807555","19,57134672",
02/01/2012 15.00,"4,52058941","9,46408261","14,63636",
02/01/2012 16.00,"4,29121828","10,99297134","16,42618511",
02/01/2012 17.00,"4,72467487","19,33957408","25,4232904",
02/01/2012 18.00,"5,93293494","41,93165136","57,88008312",
02/01/2012 19.00,"5,62048508","31,3526892","47,25915256",
02/01/2012 20.00,"4,69577783","14,54135654","23,94604096",
02/01/2012 21.00,"4,41764358","13,12278256","24,32865128",
02/01/2012 22.00,"4,32011532","11,80804165","23,80336752",
02/01/2012 23.00,"4,11964224","13,19156485","30,46334152",
03/01/2012 0.00,"4,00766546","14,5257833","29,47502872",
03/01/2012 1.00,"4,26412743","14,20650034","26,8421856",
03/01/2012 2.00,"3,61394306","21,01773648","29,78630232",
03/01/2012 3.00,"3,70063418","10,48290519","16,11231693",
03/01/2012 4.00,"3,6952156","6,06885052","10,89069655",
03/01/2012 5.00,"3,660901","4,46078586","8,78700326",
03/01/2012 6.00,"3,4261113","4,65546762","8,91410728",
03/01/2012 7.00,"3,69882798","6,52829838","10,83752001",
03/01/2012 8.00,"3,81802852","12,51407824","32,4567736",
03/01/2012 9.00,"3,90833202","9,37972326","32,15976352",
03/01/2012 10.00,"6,48017348","21,02681848","83,35266488",
03/01/2012 11.00,"4,30205543","34,45200296","82,98043672",
03/01/2012 12.00,"4,31650293","21,65888744","38,49290024",
03/01/2012 13.00,"4,80594842","21,0164172","33,10008512",
03/01/2012 14.00,"4,81136598","35,013978","54,7997364",
03/01/2012 15.00,"5,13826436","16,1896535","25,01085288",
03/01/2012 16.00,"5,00100394","19,34737504","31,34527064",
03/01/2012 17.00,,,,
03/01/2012 18.00,"4,43028591","16,67505486","24,35587816",
03/01/2012 19.00,"4,00044171","22,49471824","34,2232704",
03/01/2012 20.00,"4,22439426","23,85357664","36,57984864",
03/01/2012 21.00,"3,94264763","16,17277819","25,41290824",
03/01/2012 22.00,"4,32734009","17,16565111","29,05870984",
03/01/2012 23.00,"4,20091478","18,085847","28,23253464",
04/01/2012 0.00,"3,09198917","14,05335296","27,98351576",
04/01/2012 1.00,"3,91013821","9,4095734","25,7825552",
04/01/2012 2.00,"2,65672639",,,
04/01/2012 3.00,"3,83247704","12,92551005","20,92796808",
04/01/2012 4.00,"3,62839158","8,75155286","16,51826894",
04/01/2012 5.00,"3,49113014","6,7709981","12,61697061",
04/01/2012 6.00,"3,37734818","6,10648824","11,80506275",
04/01/2012 7.00,"3,24911669","6,53867863","14,09033295",
04/01/2012 8.00,"3,30510559","8,590616","21,3287424",
04/01/2012 9.00,"3,68257327","12,38558802","42,59392992",
04/01/2012 10.00,"3,61574925","9,20580774","26,08214648",
04/01/2012 11.00,"3,77468296","20,25198048","44,07507984",
04/01/2012 12.00,,"13,7379743","24,7021796",
04/01/2012 13.00,,"8,94104162","17,62199389",
04/01/2012 14.00,"0,49727842","9,14350904","17,57270826",
04/01/2012 15.00,"0,80654405","8,8151479","15,5572117",
04/01/2012 16.00,"0,54252882","9,36933918","15,46253138",
04/01/2012 17.00,"0,55165131","13,3460143","19,50519152",
04/01/2012 18.00,"1,0206551","25,93796256","34,41907832",
04/01/2012 19.00,"1,25265009","29,97822888","49,65335896",
04/01/2012 20.00,"2,23445884","43,75904536","94,59224216",
04/01/2012 21.00,"1,92422604","33,77840536","61,99405704",
04/01/2012 22.00,"1,71676007","28,31954976","47,0814704",
04/01/2012 23.00,"1,33729195","23,72767144","42,4266108",
05/01/2012 0.00,"0,95812587","19,09168902","31,59558968",
05/01/2012 1.00,"1,05781119","15,40054242","26,96279456","41,9"
05/01/2012 2.00,"0,7726505","11,95339762","22,24051784","41,9"
05/01/2012 3.00,"0,86073592","7,83785013","15,42232584","41,9"
05/01/2012 4.00,"0,63659522","6,25963753","13,51577313","41,9"
05/01/2012 5.00,"0,58856536","6,73984971","14,03715641","41,9"
