Brindisi_Nautico,,,,,,
Parm,IT Nautico,,,,
,NOX,NO2,CO,O3,BENZENE,PM10



01/01/2011 1.00,"39,7","26,9","0,3","11,2","2,8",
01/01/2011 2.00,"76,6","42,4","0,7","8,4","3,5",
01/01/2011 3.00,"94,3","48,1","0,6","9,5",5,
01/01/2011 4.00,"40,3","30,9","0,3","9,7","4,1",
01/01/2011 5.00,"40,8","29,6","0,2","16,2","3,4",
01/01/2011 6.00,"18,7","14,9","0,1","42,5","2,3",
01/01/2011 7.00,"21,7","17,1","0,1","32,8","1,1",
01/01/2011 8.00,"19,5","15,7","0,1","20,1","1,8",
01/01/2011 9.00,"18,9","11,7","0,1","19,6",2,
01/01/2011 10.00,"24,5","16,6","0,1","25,9","1,9",
01/01/2011 11.00,"8,2","4,3","0,1","57,2","1,5",
01/01/2011 12.00,"8,1","3,7","0,1","61,5",1,
01/01/2011 13.00,"9,7","4,5","0,1","59,2","1,1",
01/01/2011 14.00,"9,1","4,6","0,1","60,4","1,1",
01/01/2011 15.00,"6,3","2,8","0,1","63,2","1,4",
01/01/2011 16.00,7,"4,6","0,1","59,1","1,2",
01/01/2011 17.00,27,"23,5","0,2","44,7","1,7",
01/01/2011 18.00,"113,8","71,9","0,4","18,5","2,7",
01/01/2011 19.00,81,"59,3","0,4","19,8","4,1",
01/01/2011 20.00,82,"52,4","0,5","25,7","4,1",
01/01/2011 21.00,"54,3","41,3","0,6","27,9","4,2",
01/01/2011 22.00,"81,1","51,3","0,7","23,1","4,3",
01/01/2011 23.00,"101,8","54,6","0,3","15,7","3,3",
02/01/2011 0.00,"108,5","58,3","0,4","8,5",3,
02/01/2011 1.00,"61,1","33,7","0,2","23,4","3,1",
02/01/2011 2.00,,,"0,1","48,3","2,1",
02/01/2011 3.00,"10,9","8,4",,"54,2","1,4",
02/01/2011 4.00,"7,4",6,"0,1",,"1,1",
02/01/2011 5.00,"4,7","2,5","0,1",,"1,1",
02/01/2011 6.00,"4,6","2,4","0,1",,"1,1",
02/01/2011 7.00,"4,2",2,"0,1",,1,
02/01/2011 8.00,"5,2","2,6","0,1",,1,
02/01/2011 9.00,"8,3",5,"0,1",,1,
02/01/2011 10.00,"7,1","4,2","0,1",,1,
02/01/2011 11.00,"6,5","3,1","0,1",,"1,2",
02/01/2011 12.00,"7,6","3,7","0,1",,"1,1",
02/01/2011 13.00,"7,1",3,"0,1",,"1,3",
02/01/2011 14.00,7,"2,9","0,1",,"1,1",
02/01/2011 15.00,"4,7",2,"0,1",,1,
02/01/2011 16.00,"4,9","1,6","0,1",,1,
02/01/2011 17.00,"5,4",2,"0,1",,1,
02/01/2011 18.00,6,"2,8","0,1",,1,
02/01/2011 19.00,"5,8","2,7","0,1",,1,
02/01/2011 20.00,"7,2","3,7","0,1",,1,
02/01/2011 21.00,"7,7","4,5","0,1",,1,
02/01/2011 22.00,"6,4","3,6","0,1",,1,
02/01/2011 23.00,"6,8","4,3","0,1",,1,
03/01/2011 0.00,"12,2","9,7","0,2",,"1,2",
03/01/2011 1.00,"10,5","7,9","0,2",,"1,5",
03/01/2011 2.00,"9,3","6,7","0,1",,"1,5",
03/01/2011 3.00,"7,7","5,1","0,1",,"1,4",
03/01/2011 4.00,"6,4","3,9","0,1",,"1,3",
03/01/2011 5.00,"5,6","3,2","0,1",,"1,2",
03/01/2011 6.00,"11,7",9,"0,2",,"1,6",
03/01/2011 7.00,"21,3",17,"0,2",,"1,5",
03/01/2011 8.00,"28,9","19,2","0,2",,"1,6",
03/01/2011 9.00,"19,7","14,4","0,2",,"1,8",
03/01/2011 10.00,"13,5","9,3","0,1",,"1,8",
03/01/2011 11.00,"23,7","15,9","0,2",,"1,8",
03/01/2011 12.00,"14,8",9,"0,2",,"2,1",
03/01/2011 13.00,"13,3","7,9","0,2",,"1,9","35,4"
03/01/2011 14.00,11,"5,9","0,1",,"1,3","28,8"
03/01/2011 15.00,"6,3","2,5","0,1",,"1,5","29,6"
03/01/2011 16.00,"6,5","2,8","0,1",,"1,4","31,3"
03/01/2011 17.00,"9,1","3,9","0,1",,"1,7","33,1"
03/01/2011 18.00,"7,1","3,4","0,1",,"1,8","30,5"
03/01/2011 19.00,"7,1","3,2",,,"1,6","28,5"
03/01/2011 20.00,"6,5","3,3",,,"1,4","27,2"
03/01/2011 21.00,6,"2,9",,,"1,3","26,9"
03/01/2011 22.00,"4,8","1,9",,,"1,2","25,7"
03/01/2011 23.00,,,,,1,"24,7"
04/01/2011 0.00,,,,,1,24
04/01/2011 1.00,,,,,"0,9","24,3"
04/01/2011 2.00,,,,,"0,9","24,3"
04/01/2011 3.00,"5,2",3,,,"0,9","23,9"
04/01/2011 4.00,,,,,"0,9","24,1"
04/01/2011 5.00,,,,,"0,9","24,2"
04/01/2011 6.00,"3,5","1,1",,,"0,9","24,8"
04/01/2011 7.00,"3,8","1,1",,,1,"25,3"
04/01/2011 8.00,12,"6,8",,,1,"25,3"
04/01/2011 9.00,"7,8","3,6",,,"1,1","26,4"
04/01/2011 10.00,"17,7","10,1",,,"1,1","27,5"
04/01/2011 11.00,"27,1","15,2",,,"1,3","29,4"
04/01/2011 12.00,"19,4","9,2",,,"1,5","28,4"
04/01/2011 13.00,10,"4,3",,,"1,2","25,7"
04/01/2011 14.00,"13,8","6,1",,,"1,1",27
04/01/2011 15.00,"11,2",6,,,"1,1","26,8"
04/01/2011 16.00,"12,4","7,7",,,"1,2","28,4"
04/01/2011 17.00,"21,1","15,1",,,"1,2","31,6"
04/01/2011 18.00,"39,6","31,5","0,1",,"1,4","36,8"
04/01/2011 19.00,"53,1",44,"0,2",,"2,6",54
