"NetC","Provincia di Lecce","","","","","","","","","","","",""
"Stat","Maglie","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM2.5



01/01/2011 1.00,"4,2","27,4","42,9","1,4","8,1","41,5"
01/01/2011 2.00,"4,9","23,9","41,6","1,2","7,6","41,5"
01/01/2011 3.00,4,"25,9","54,4","1,1","5,80E+00","41,5"
01/01/2011 4.00,"4,3","27,4","56,1","0,9","6,5","41,5"
01/01/2011 5.00,4,21,"58,8","0,9","6,30E+00","41,5"
01/01/2011 6.00,"3,6","22,5","36,9","0,7","6,90E+00","41,5"
01/01/2011 7.00,"2,8","18,4","41,8","0,7","4,30E+00","41,5"
01/01/2011 8.00,"4,3","15,9","42,7","0,9","9,3","41,5"
01/01/2011 9.00,"5,2","12,9","23,5","0,7","30,5","41,5"
01/01/2011 10.00,"0,2",9,"16,1","0,6","47,4","41,5"
01/01/2011 11.00,"0,4","6,9","14,1","0,6","59,8","41,5"
01/01/2011 12.00,"0,3","6,3","11,2","0,6","61,2","41,5"
01/01/2011 13.00,"0,7","5,8","11,5","0,6","64,6","41,5"
01/01/2011 14.00,"0,5","3,6",8,"0,5","67,3","41,5"
01/01/2011 15.00,"0,1","4,7","10,1","0,5",65,"41,5"
01/01/2011 16.00,"0,1","12,2","19,6","0,6","51,6","41,5"
01/01/2011 17.00,"0,3","14,4","22,3","0,7","45,3","41,5"
01/01/2011 18.00,"0,6","19,5","29,6","0,7","38,7","41,5"
01/01/2011 19.00,"0,3","24,4","39,9","0,8","3,17E+01","41,5"
01/01/2011 20.00,"0,3","37,4","61,9",1,15,"41,5"
01/01/2011 21.00,"1,2","25,1","36,8",1,"29,5","41,5"
01/01/2011 22.00,1,"19,4","28,5","0,8","31,2","41,5"
01/01/2011 23.00,"1,3","16,6","25,9","0,8",30,"41,5"
02/01/2011 0.00,1,10,"15,9","0,7","37,8","41,5"
02/01/2011 1.00,,"5,1","10,2","0,6","46,1","16,6"
02/01/2011 2.00,"7,3","3,8","8,7","0,5","50,8","16,6"
02/01/2011 3.00,"7,8","3,1","7,7",,"52,2","16,6"
02/01/2011 4.00,"7,4","2,6","7,5","0,5","52,2","16,6"
02/01/2011 5.00,"4,2","2,4","9,1","0,5",,"16,6"
02/01/2011 6.00,"1,1","2,9","9,7","0,5","54,7","16,6"
02/01/2011 7.00,"0,1","4,1","9,6","0,6","53,5","16,6"
02/01/2011 8.00,0,"5,2","11,5","0,6",55,"16,6"
02/01/2011 9.00,"2,3","5,8","12,3","0,6","50,8","16,6"
02/01/2011 10.00,"1,4","7,4","14,4","0,6","56,1","16,6"
02/01/2011 11.00,"0,7","9,1","17,4","0,6","56,1","16,6"
02/01/2011 12.00,"1,5","10,7","18,4","0,7","52,1","16,6"
02/01/2011 13.00,"12,2","10,3","16,3","0,8","52,7","16,6"
02/01/2011 14.00,"6,9","4,7","9,6","0,6","65,7","16,6"
02/01/2011 15.00,"7,5","6,3","11,6","0,6","64,7","16,6"
02/01/2011 16.00,"6,4","9,5","16,2","0,7","56,5","16,6"
02/01/2011 17.00,"4,6","17,3","26,5","0,8","42,6","16,6"
