Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
01/01/2014 1.00,"0,6","9,6","18,3",,"66,4","27,5",,,
01/01/2014 2.00,"0,4","8,8","16,1",,"69,7","27,5",,,
01/01/2014 3.00,"0,4","7,6","14,8",,"73,6","27,5",,,
01/01/2014 4.00,"0,1","7,3","14,4",,"70,2","27,5",,,
01/01/2014 5.00,"0,1","6,4","11,6",,"72,0","27,5",,,
01/01/2014 6.00,"0,6","6,9","12,1",,"71,3","27,5",,,
01/01/2014 7.00,"1,9","9,7","14,6","0,1","59,0","27,5",,,
01/01/2014 8.00,"3,8","9,3","14,9","0,1","52,0","27,5",,,
01/01/2014 9.00,"4,1","9,2","16,6","0,2","44,5","27,5",,,
01/01/2014 10.00,"4,3","9,8","16,9","0,2","43,4","27,5",,,
01/01/2014 11.00,"4,4","8,0","14,5","0,3","55,5","27,5",,, 
01/01/2014 12.00,"4,5","9,0","15,5","0,3","59,0","27,5",,,
01/01/2014 13.00,"4,6","13,2","21,1","0,3","53,7","27,5",,,
01/01/2014 14.00,"4,7","8,4","13,8","0,3","63,5","27,5",,,
01/01/2014 15.00,"4,7","5,9","11,6","0,2","69,1","27,5",,,
01/01/2014 16.00,"4,8","8,4","14,2","0,3","61,1","27,5",,,
01/01/2014 17.00,"5,3","20,3","32,8","0,5","33,6","27,5",,,
01/01/2014 18.00,"1,6","28,3","48,1","0,6","17,2","27,5",,,
01/01/2014 19.00,"1,1","27,8","60,2","0,6","7,6","27,5",,,
01/01/2014 20.00,"1,7","28,5","92,2","1,0","7,7","27,5",,,
01/01/2014 21.00,"3,2","33,3","151,6","1,4","9,7","27,5",,,
01/01/2014 22.00,"3,2","27,6","110,6","1,3","9,2","27,5",,,
01/01/2014 23.00,"2,6","18,6","65,5","0,9","6,2","27,5",,,
02/01/2014 0.00,"2,9","19,5","49,6","0,8","7,6","27,5",,,
02/01/2014 1.00,"3,2","16,7","63,0","1,0",,"46,3",,,
02/01/2014 2.00,"2,5",,,"0,8","8,3","46,3",,,
02/01/2014 3.00,"3,2","13,6","57,3",,"6,0","46,3",,,
02/01/2014 4.00,"4,3","12,5","23,0","0,7","16,4","46,3",,,
02/01/2014 5.00,,"10,5","24,0","0,7","7,4","46,3",,,
02/01/2014 6.00,"1,8","13,7","35,3","0,8","4,9","46,3",,,
02/01/2014 7.00,"0,9","19,6","54,9","0,9","5,1","46,3",,,
02/01/2014 8.00,"1,8","61,2","197,4","0,9","7,0","46,3",,,
02/01/2014 9.00,"1,2","30,1","74,9","0,8","14,6","46,3",,,
02/01/2014 10.00,"1,8","22,9","42,4","0,5","35,0","46,3",,,
02/01/2014 11.00,"1,6","11,0","17,4","0,3","57,7","46,3",,,
02/01/2014 12.00,"1,0","9,8","17,2","0,2","61,8","46,3",,,
02/01/2014 13.00,"0,8","11,5","21,8","0,3","59,9","46,3",,,
02/01/2014 14.00,"0,7","13,9","27,8","0,2","60,7","46,3",,,
02/01/2014 15.00,"0,4","9,1","14,9","0,2","64,0","46,3",,,
02/01/2014 16.00,"0,3","21,0","36,9","0,3","50,1","46,3",,,
02/01/2014 17.00,"0,9","44,0","109,0","1,1","10,4","46,3",,,
02/01/2014 18.00,"1,3","44,4","148,4","1,2","7,9","46,3",,,
02/01/2014 19.00,"1,6","46,3","166,4","1,3","8,8","46,3",,,
02/01/2014 20.00,"1,2","40,3","80,2","0,9","15,0","46,3",,,
02/01/2014 21.00,"1,8","38,5","72,3","0,9","13,3","46,3",,,
02/01/2014 22.00,"1,4","29,9","53,1","0,8","11,1","46,3",,,
02/01/2014 23.00,"0,1","30,6","72,3","1,2","7,8","46,3",,,
03/01/2014 0.00,,"24,4","71,5","1,3","7,6","46,3",,,
03/01/2014 1.00,"0,1","27,4","50,8","1,1","8,2","65,0",,,
03/01/2014 2.00,"0,1","22,8","37,5","1,2","8,2","65,0",,,
