,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
01/01/2009 1.00,"2,5","18,1","89,0","0,9","7,6",
01/01/2009 2.00,"3,5","18,8","115,2","1,1","8,0",
01/01/2009 3.00,"2,6","17,4","92,9","0,8","6,5",
01/01/2009 4.00,"1,8","18,1","72,6","0,6","5,8",
01/01/2009 5.00,"1,8","18,6","71,2","0,6","5,6","46,2"
01/01/2009 6.00,"1,4","17,2","64,0","0,5","6,2","46,2"
01/01/2009 7.00,"1,6","15,0","55,6","0,5","9,1","46,2"
01/01/2009 8.00,"1,4","15,6","52,3","0,5","12,5","46,2"
01/01/2009 9.00,"1,3","16,2","51,3","0,6","15,5","46,2"
01/01/2009 10.00,"1,2","19,3","51,7","0,5","18,5","46,2"
01/01/2009 11.00,"1,3","20,0","51,8","0,5","23,6","46,2"
01/01/2009 12.00,"1,4","15,4","44,3","0,4","28,6","46,2"
01/01/2009 13.00,"1,4","13,7","36,4","0,3","36,5","46,2"
01/01/2009 14.00,"1,5","10,9","25,9","0,2","46,3","46,2"
01/01/2009 15.00,"1,5","10,9","24,1","0,2","46,0","46,2"
01/01/2009 16.00,"1,5","11,2","27,5","0,2","42,8","46,2"
01/01/2009 17.00,"1,4","12,4","32,4","0,3","40,9","46,2"
01/01/2009 18.00,"1,4","14,6","35,0","0,3","42,2","46,2"
01/01/2009 19.00,"1,5","14,7","38,7","0,3","39,8","46,2"
01/01/2009 20.00,"1,4","17,2","44,6","0,3","40,3","46,2"
01/01/2009 21.00,"1,3","15,9","40,7","0,2","44,2","46,2"
01/01/2009 22.00,"1,4","13,9","39,9","0,2","42,5","46,2"
01/01/2009 23.00,"1,4","14,2","43,0","0,3","39,2","46,2"
02/01/2009 0.00,"1,5","12,2","42,2","0,2","39,2","46,2"
02/01/2009 1.00,"1,6","11,9","43,7","0,2","35,7",
02/01/2009 2.00,"1,4",,,"0,2","33,3",
02/01/2009 3.00,"1,4","12,4","44,8",,"28,0",
02/01/2009 4.00,,"11,5","37,0","0,2","33,6",
02/01/2009 5.00,"0,5","13,0","36,2","0,2",,"25,4"
02/01/2009 6.00,"0,5","13,7","39,1","0,2","31,1","25,4"
02/01/2009 7.00,"0,6","19,8","52,2","0,3","24,2","25,4"
02/01/2009 8.00,"1,0","27,3","68,4","0,3","16,2","25,4"
02/01/2009 9.00,"1,0","25,0","68,0","0,3","17,9","25,4"
02/01/2009 10.00,"0,9","22,2","62,7","0,4","22,0","25,4"
02/01/2009 11.00,"1,1","23,7","62,8","0,4","24,6","25,4"
02/01/2009 12.00,"1,1","25,1","62,0","0,4","23,6","25,4"
02/01/2009 13.00,"1,2","30,2","67,3","0,5","22,4","25,4"
02/01/2009 14.00,"1,1","26,1","63,5","0,4","28,5","25,4"
02/01/2009 15.00,"1,0","20,2","54,0","0,4","33,2","25,4"
02/01/2009 16.00,"1,1","30,4","64,2","0,5","25,3","25,4"
02/01/2009 17.00,"1,5","38,6","79,8","0,6","14,1","25,4"
02/01/2009 18.00,"1,5","37,8","83,9","0,7","10,8","25,4"
02/01/2009 19.00,"1,5","38,4","84,7","0,7","11,1","25,4"
02/01/2009 20.00,"1,5","35,4","85,9","0,7","7,2","25,4"
02/01/2009 21.00,"1,6","35,5","89,0","0,7","6,2","25,4"
02/01/2009 22.00,"1,6","32,3","86,4","0,7","6,8","25,4"
02/01/2009 23.00,"1,3","32,0","79,0","0,7","6,7","25,4"
03/01/2009 0.00,"1,4","31,9","76,2","0,8","8,0","25,4"
