,Lecce,,,,,
,Galatina,,,,,
Parm,NOX,NO2,O3,CO,SO2,PM2.5
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
01/01/2010 1.00,"39,409188","32,77259776","61,7397837","0,1359089","0,71646735","4,30000019"
01/01/2010 2.00,"40,27104112","33,48204536","58,3851912","0,13416257","0,72696482","4,30000019"
01/01/2010 3.00,"36,56625432","29,7902028","57,0572793","0,13166131","0,74539795","4,30000019"
01/01/2010 4.00,"38,30613608","29,89071664","49,21666995","0,12669958","0,83815445","4,30000019"
01/01/2010 5.00,"46,5607372","34,12338752","40,77175515","0,12920083","0,49110727","4,30000019"
01/01/2010 6.00,"49,76232384","35,61880096","36,4950138","0,12896317","0,40932521","4,30000019"
01/01/2010 7.00,"54,9443792","38,9189512","31,3705371","0,13313038","0,31095894","4,30000019"
01/01/2010 8.00,"46,25269488","33,48462656","55,0144791","0,12267101","0,29837356","4,30000019"
01/01/2010 9.00,"45,76111968","37,9047308","65,9964354","0,12213511","0,34424636","4,30000019"
01/01/2010 10.00,"32,7862112","28,43939392","76,09179375","0,11616215","0,3946499","4,30000019"
01/01/2010 11.00,"30,505482","26,24556512","76,78190415","0,11675747","0,47816187","4,30000019"
01/01/2010 12.00,"19,47471424","15,88469715","83,7258807","0,12090487","0,60790361","4,30000019"
01/01/2010 13.00,"25,80135016","22,07189856","77,97100395","0,12130213","0,28698113","4,30000019"
01/01/2010 14.00,"22,28265832","18,67773146","81,40272315","0,11131925","0,68151102","4,30000019"
01/01/2010 15.00,"22,97849248","19,305464","82,2202542","0,10572259","0,68879071","4,30000019"
01/01/2010 16.00,"24,28649168","20,76066808","82,88421015","0,1104455","0,41439496","4,30000019"
01/01/2010 17.00,"23,00313816","19,55578304","84,7197897","0,1136609","0,34442434","4,30000019"
01/01/2010 18.00,"18,56035569","15,22064617","87,06038355","0,10582161","0,23735153","4,30000019"
01/01/2010 19.00,"20,47727144","17,11487795","88,94557875","0,10540454","0,18527604","4,30000019"
01/01/2010 20.00,"18,66216969","15,27576722","93,41282265","0,10068163","0,26598415","4,30000019"
01/01/2010 21.00,"20,08817944","16,72319137","90,7898964","0,10375723","0,15658444","4,30000019"
01/01/2010 22.00,"22,99405616","19,7062192","89,44991475","0,10572259","0,10009416","4,30000019"
01/01/2010 23.00,"21,31317872","18,14532358","91,73750145","0,09685111","0,18432311","4,30000019"
02/01/2010 0.00,"22,2385676","18,95463494","88,37018085","0,09909374","0,10623887","4,30000019"
02/01/2010 1.00,"29,60668904","25,81043216","86,05773645","0,10101832","0,14334107",3
02/01/2010 2.00,,,"89,6826315","0,09693033","0,20424614",3
02/01/2010 3.00,"26,08604696","22,42858216","85,0799271",,"0,13892729",3
02/01/2010 4.00,"30,1851264","26,16126504","77,9193534","0,13350201",,3
02/01/2010 5.00,"23,74306304","19,82164664",,"0,1351866","0,00457142",3
02/01/2010 6.00,"13,65000891","10,7493271","82,78545765","0,13576211","0,03419154",3
02/01/2010 7.00,"22,58031848","19,03634426","75,20090655","0,13887499","0,0606488",3
02/01/2010 8.00,"21,74183","17,86971834","73,856496","0,14278007","0,0431564",3
02/01/2010 9.00,"22,88055984","18,82947734","70,367241","0,1672043","0,03014998",3
02/01/2010 10.00,"16,96572474","13,02551721","70,9732821","0,16423122","0,00052681",3
02/01/2010 11.00,"16,92227646","12,87960675","71,18576955","0,16312097","0,00052681",3
02/01/2010 12.00,"17,48645986","13,16299574","70,8042258","0,16750137","0,00668067",3
02/01/2010 13.00,"18,44297801","14,0676356","69,8139876","0,17580899","0,0051867",3
02/01/2010 14.00,"23,0167516","18,46308269","68,41946265","0,17640314","0,00052681",3
02/01/2010 15.00,"19,82164664","15,62076276","70,6238379","0,17275552","0,00079123",3
02/01/2010 16.00,"18,18293645","14,35491551","70,9224894","0,17569016","0,00457142",3
02/01/2010 17.00,"20,82357288","17,12071529","68,01387915","0,18738676","0,00712002",3
02/01/2010 18.00,"21,047296","17,17583442","69,95629095","0,19499887","0,00325135",3
02/01/2010 19.00,"19,6076556","15,9916965","71,9254557","0,1951177","0,03946672",3
02/01/2010 20.00,"19,24190912","15,69209566","71,5766499","0,2001936","0,00834957",3
02/01/2010 21.00,"17,87749827","14,36918286","73,3219557","0,18962705","0,00553757",3
02/01/2010 22.00,"14,27935327","11,01368213","74,97630945","0,17560162","0,01394104",3
02/01/2010 23.00,"13,75182291","10,52300366","75,30313035","0,17045581","0,00984354",3
03/01/2010 0.00,"13,53068864","10,23377924","74,2360248","0,17009932","0,01116361",3
03/01/2010 1.00,"17,48192077","13,80564762","71,49311925","0,16557912","0,01072427","6,0999999"
03/01/2010 2.00,"13,5747851","10,1501235","74,72649555","0,14942174","0,01028492","6,0999999"
03/01/2010 3.00,"17,43847248","13,9139433","70,395969","0,15616243","0,00237266","6,0999999"
03/01/2010 4.00,"18,81650633","15,24269535","71,0708376","0,14573451","0,00641625","6,0999999"
03/01/2010 5.00,"23,94604096","20,19324384","68,11143465","0,16611386","0,13237475","6,0999999"
03/01/2010 6.00,"19,75226016","16,25239005","68,4929784","0,16369532","0,02777529","6,0999999"
03/01/2010 7.00,"24,23850048","20,38130816","65,42532675","0,15697443","0,01740494","6,0999999"
03/01/2010 8.00,"32,76999744","27,9167296","56,2771944","0,17933777",,"6,0999999"
03/01/2010 9.00,"33,05467512","27,65732856","52,0750062","0,21456621",,"6,0999999"
03/01/2010 10.00,"29,04054584","23,5614804","50,27625435","0,24012048",,"6,0999999"
03/01/2010 11.00,"25,558182","19,7483788","47,5921614","0,25368108",,"6,0999999"
03/01/2010 12.00,"26,12883752","19,78210648","48,50222055","0,28024658",,"6,0999999"
03/01/2010 13.00,"30,39913656","23,82671304","47,59884465","0,29035761",,"6,0999999"
03/01/2010 14.00,"32,07353232","26,54517552","53,81095545","0,2573485","0,00105463","6,0999999"
03/01/2010 15.00,"29,20201424","24,46742424","58,21228455","0,22745227","0,00079123","6,0999999"
03/01/2010 16.00,"31,79661736","27,1294636","57,42649395","0,23248857","0,0002634","6,0999999"
03/01/2010 17.00,"43,07187256","37,17449976","50,2749177","0,25237279",,"6,0999999"
03/01/2010 18.00,"55,51115336","48,17220904","44,3253888","0,28341887",,"6,0999999"
03/01/2010 19.00,"54,21546744","46,3149496","43,9852812","0,2863139",,"6,0999999"
03/01/2010 20.00,"62,67629688","53,8640036","42,2125641","0,31123325",,"6,0999999"
03/01/2010 21.00,"64,2560104","54,7796604","41,7695943","0,30915139",,"6,0999999"
03/01/2010 22.00,"75,47740456","64,82603496","37,612134","0,311987",,"6,0999999"
03/01/2010 23.00,"70,2771852","59,71009656","41,9319474","0,27497379",,"6,0999999"
04/01/2010 0.00,"70,10407272","59,70168376","43,6806048","0,25554508",,"6,0999999"
04/01/2010 1.00,"74,24724288","63,06018824","40,374411","0,23780097",,"18,39999962"
04/01/2010 2.00,,,"39,4509654","0,21874972",,"18,39999962"
04/01/2010 3.00,"74,02415072","62,99793352","37,41636465",,"0,00131803","18,39999962"
04/01/2010 4.00,"74,26995744","63,08030248","37,2646848","0,21114227",,"18,39999962"
04/01/2010 5.00,"78,35020368","66,3953472",,"0,2081191","0,36147536","18,39999962"
04/01/2010 6.00,"79,5447448","67,33048728","33,8627709","0,20348589","0,21879128","18,39999962"
04/01/2010 7.00,"87,14825256","73,18761248","18,03262545","0,22597622","0,28391589","18,39999962"
04/01/2010 8.00,"93,01445976","74,85877696","10,7618699","0,28581178","0,57322391","18,39999962"
04/01/2010 9.00,"110,66822344","81,88902888","7,41334619","0,42926406","1,18422633","18,39999962"
04/01/2010 10.00,"107,41283312","78,241908","21,6743583","0,31542026","1,46161206","18,39999962"
04/01/2010 11.00,"81,83841824","66,45437064","41,57470275","0,22742781","1,49354586","18,39999962"
04/01/2010 12.00,"80,8371612","68,32851304","43,1110722","0,24520571","1,19934403","18,39999962"
04/01/2010 13.00,"68,96014224","59,11414528","50,509011","0,21995084","1,17194198","18,39999962"
04/01/2010 14.00,"76,31333096","65,94596984","47,080803","0,30046632","1,23347557","18,39999962"
04/01/2010 15.00,"75,84705152","66,00755536","46,1931477","0,23683402","0,96043751","18,39999962"
04/01/2010 16.00,"81,30472168","70,26489104","39,56773275","0,27328337","1,13826708","18,39999962"
04/01/2010 17.00,"90,52167064","77,18422784","28,55214075","0,33375503","1,34448315","18,39999962"
04/01/2010 18.00,"93,19667336","78,52207336","29,9954634","0,385735","1,15751889","18,39999962"
04/01/2010 19.00,"83,632792","71,6934992","36,26473095","0,3565634","0,72151268","18,39999962"
04/01/2010 20.00,"69,50613296","61,3462332","46,4676198","0,28716318","1,13278138","18,39999962"
04/01/2010 21.00,"62,59002744","56,1440636","48,6801147","0,27403946","1,12863101","18,39999962"
04/01/2010 22.00,"51,6247648","46,80197424","55,72124775","0,2382658","1,03852887","18,39999962"
04/01/2010 23.00,"46,94787896","42,69574392","57,6512307","0,22136282","0,94580186","18,39999962"
05/01/2010 0.00,"41,816396","37,82043072","61,3137315","0,1998674","0,86672808","18,39999962"
05/01/2010 1.00,"39,26458344","35,22192712","65,40198525","0,1883339","1,00049002","11,10000038"
05/01/2010 2.00,"35,40546","31,85109024","67,34132475","0,18930784","1,17142535","11,10000038"
05/01/2010 3.00,"27,84539288","24,59516496","76,24014195","0,17477214","1,08798762","11,10000038"
05/01/2010 4.00,"24,6930976","21,41304248","81,33321735","0,16693751","1,24003522","11,10000038"
05/01/2010 5.00,"25,17297136","21,8851344","82,695543","0,16582377","1,4739442","11,10000038"
05/01/2010 6.00,"27,2189452","23,64448032","79,4748948","0,16530651","1,23995793","11,10000038"
05/01/2010 7.00,"30,72532376","26,9349176","76,64049855","0,16542534","1,44264704","11,10000038"
05/01/2010 8.00,"32,11502272","28,078198","75,5017725","0,1682295","1,38214368","11,10000038"
05/01/2010 9.00,"30,80897376","26,61586216","74,22048375","0,17379703","1,48757709","11,10000038"
05/01/2010 10.00,"29,17608752","25,00047072","72,74972985","0,18016026","1,40868433","11,10000038"
05/01/2010 11.00,"24,44017824","20,52526264","75,4917177","0,17777434","1,77602168","11,10000038"
05/01/2010 12.00,"23,5407352","19,88520152","76,17522465","0,16944226","1,60332898","11,10000038"
05/01/2010 13.00,"24,42721488","20,51359944","76,78509615","0,16749438","1,48991212","11,10000038"
05/01/2010 14.00,"24,54069208","20,69841336","77,9492385","0,1697207","1,43505921","11,10000038"
05/01/2010 15.00,"25,14637544","21,37153296","77,99741775","0,170676","1,22569043","11,10000038"
05/01/2010 16.00,"25,40902688","21,84299392","78,14137695","0,17109307","1,88327348","11,10000038"
05/01/2010 17.00,"25,31499472","21,50189312","78,63003225","0,17833121","1,77784007","11,10000038"
05/01/2010 18.00,"23,7443632","20,065484","78,74785695","0,17361879","1,77518876","11,10000038"
05/01/2010 19.00,"18,70885882","15,2135125","81,554802","0,16818989","1,32819895","11,10000038"
05/01/2010 20.00,"20,39362144","16,8522399","80,03251725","0,16638064","1,69603768","11,10000038"
05/01/2010 21.00,"18,01433055","14,81728682","80,3203758","0,15969937","1,82277012","11,10000038"
05/01/2010 22.00,"17,61226754","14,40031022","77,2335921","0,16053351","2,02779122","11,10000038"
05/01/2010 23.00,"15,7212766","12,47495107","75,46428645","0,1568556","1,82024084","11,10000038"
06/01/2010 0.00,"13,4061792","10,31613673","74,52172875","0,15514538","1,83328488","11,10000038"
06/01/2010 1.00,"15,10716132","11,87964031","72,57029955","0,15027335","1,90417893","14,5"
06/01/2010 2.00,,,"69,25995615","0,15074984","1,87873054","14,5"
06/01/2010 3.00,"25,25208992","20,55899032","64,11800325",,"1,60151058","14,5"
06/01/2010 4.00,"24,78387936","20,45847648","62,29241865","0,14213583",,"14,5"
06/01/2010 5.00,"30,66174976","25,07958928",,"0,14554345","0,00017594","14,5"
06/01/2010 6.00,"34,18759248","27,64046472","60,29873535","0,14740629","0,00088174","14,5"
06/01/2010 7.00,"36,6116452","29,23379168","62,13800565","0,13854996","0,00017594","14,5"
06/01/2010 8.00,"30,59173232","24,29102312","65,3737959","0,14126441",,"14,5"
06/01/2010 9.00,"39,27559656","30,9866368","60,87461205","0,15107138","0,00105666","14,5"
06/01/2010 10.00,"37,34443832","29,25973752","63,6683103","0,15709443","0,00088174","14,5"
06/01/2010 11.00,"42,03040616","32,66688328","64,041495","0,18443581","0,02042441","14,5"
06/01/2010 12.00,"37,7698392","29,34273744","68,28587745","0,17036844","0,00845127","14,5"
06/01/2010 13.00,"37,9403896","29,84207536","71,4427455","0,17504475","0,07078015","14,5"
06/01/2010 14.00,"43,95510184","34,7829128","73,65454215","0,1797595","0,14032769","14,5"
06/01/2010 15.00,"35,73877896","28,10542488","79,7462148","0,15362739","0,00950793","14,5"
06/01/2010 16.00,"42,02000488","32,98465768","72,49816035","0,15760936","0,0007058","14,5"
06/01/2010 17.00,"42,85916256","33,23367656","58,01469975","0,16763418","0,01197314","14,5"
06/01/2010 18.00,"48,71758792","37,52212048","55,55207175","0,20301989","0,0052823","14,5"
06/01/2010 19.00,"54,850978","43,14060896","48,7507776","0,27818919","0,00017594","14,5"
