NetC,Provincia di Lecce,,,,,,,,,,
Stat,Galatina,,,,,,,,,,
Parm,NOX,NO2,O3,CO,SO2,PM2.5,VV,DV,TEMP,UMR,Pioggia
PtId,1,3,4,5,6,7,8,9,12,13,14
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,m/s,SETTORE,gradi C.,%,mm
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,Aver,Aver,Aver,Aver
,,,,,,,,,
,,,,,,,
01/01/2013 1.00,"23,6","17,6","37,1","0,7","3,4","34,2","1,9","293,9","8,1","86,4","0,0"
01/01/2013 2.00,"27,3","20,9","31,4","0,7","3,8","34,2","1,8","294,7","7,9","88,9","0,0"
01/01/2013 3.00,"25,8","19,7","35,0","0,7","4,2","34,2","1,9","293,4","7,9","88,3","0,0"
01/01/2013 4.00,"30,8","21,4","14,2","0,8","4,0","34,2","0,5","280,2","5,9","87,0","0,0"
01/01/2013 5.00,"32,8","20,1","8,4","0,9","4,4","34,2","0,1","243,8","4,4","88,9","0,0"
01/01/2013 6.00,"37,3","18,7","6,6","1,0","4,3","34,2","0,2","244,9","3,9","89,5","0,0"
01/01/2013 7.00,"34,9","17,1","7,0","1,0","4,3","34,2","0,1","295,2","3,4","90,2","0,0"
01/01/2013 8.00,"27,6","12,4","8,0","1,0","4,3","34,2","0,3","201,2","2,9","91,3","0,0"
01/01/2013 9.00,"24,6","10,0","8,1","0,9","4,1","34,2","0,0","240,5","2,9","92,6","0,0"
01/01/2013 10.00,"24,3","8,4","13,2","0,8","3,8","34,2","0,0","209,1","5,7","95,4","0,0"
01/01/2013 11.00,"22,8","11,7","34,0","0,7","3,9","34,2","0,7","250,2","10,8","90,6","0,0"
01/01/2013 12.00,"24,3","14,7","43,3","0,7","4,3","34,2","0,7","337,9","13,6","80,2","0,0"
01/01/2013 13.00,"14,3","9,3","65,2","0,6","4,6","34,2","1,8","268,7","14,3","67,4","0,0"
01/01/2013 14.00,"10,9","7,3","70,7","0,6","5,0","34,2","1,6","253,5","15,1","57,5","0,0"
01/01/2013 15.00,"11,1","7,7","73,5","0,5","5,1","34,2","1,4","257,8","15,5","47,7","0,0"
01/01/2013 16.00,"11,9","8,4","73,5","0,5","4,8","34,2","1,3","249,1","14,5","55,8","0,0"
01/01/2013 17.00,"11,4","7,8","73,5","0,5","4,1","34,2","1,6","256,1","12,6","65,5","0,0"
01/01/2013 18.00,"13,8","10,0","62,2","0,5","4,2","34,2","0,9","255,4","11,3","73,3","0,0"
01/01/2013 19.00,"24,7","18,8","35,8","0,6","4,1","34,2","0,2","241,0","8,9","77,1","0,0"
01/01/2013 20.00,"41,5","32,2","18,5","0,7","4,0","34,2","0,0","202,8","7,2","80,3","0,0"
01/01/2013 21.00,"33,5","22,3","21,4","0,8","3,9","34,2","0,0","162,5","6,5","83,6","0,0"
01/01/2013 22.00,"60,1","35,1","10,1","0,9","4,8","34,2","0,0","115,4","5,8","85,7","0,0"
01/01/2013 23.00,"50,1","29,6","9,8","1,0","4,5","34,2","0,1","138,0","5,4","87,3","0,0"
02/01/2013 0.00,"52,8","29,1","8,5","1,0","4,6","34,2","0,2","140,4","5,1","88,9","0,0"
02/01/2013 1.00,"62,7","31,0","7,4","1,1","5,2","45,1","0,2","146,4","4,9","90,0","0,0"
02/01/2013 2.00,,,"7,1","1,3","5,8","45,1","0,2","144,1","4,3","90,6","0,0"
02/01/2013 3.00,"78,6","30,1","8,3",,"5,9","45,1","0,5","145,9","4,3","92,1","0,0"
02/01/2013 4.00,"58,9","29,3","7,8","1,5",,"45,1","0,4","135,4","4,3","93,0","0,0"
02/01/2013 5.00,"37,7","21,1",,"1,3","4,5","45,1","0,4","135,9","4,4","93,7","0,0"
02/01/2013 6.00,"29,8","16,2","15,8","1,2","4,3","45,1","0,3","175,2","4,7","94,5","0,0"
02/01/2013 7.00,"30,3","16,9","12,3","1,1","4,2","45,1","0,2","140,3","4,3","94,1","0,0"
02/01/2013 8.00,"33,8","20,0","12,5","1,1","4,2","45,1","0,2","143,1","4,1","94,6","0,0"
02/01/2013 9.00,"44,4","24,5","10,2","1,0","4,3","45,1","0,7","144,1","4,9","95,9","0,0"
02/01/2013 10.00,"42,1","22,7","17,9","1,0","4,3","45,1","0,6","152,7","7,9","97,8","0,0"
02/01/2013 11.00,"38,4","22,6","29,3","0,9","4,0","45,1","0,9","136,6","11,6","98,8","0,0"
02/01/2013 12.00,"26,4","16,4","50,4","0,7","4,0","45,1","1,7","136,9","14,3","96,3","0,0"
02/01/2013 13.00,"17,5","11,9","61,9","0,6","4,1","45,1","1,9","154,9","14,9","81,3","0,0"
02/01/2013 14.00,"14,3","10,2","69,6","0,6","4,5","45,1","1,2","194,2","15,8","67,4","0,0"
02/01/2013 15.00,"12,2","8,4","72,7","0,5","4,6","45,1","1,3","194,5","16,9","59,2","0,0"
02/01/2013 16.00,"11,4","7,4","70,3","0,5","4,3","45,1","1,0","197,8","16,0","57,1","0,0"
02/01/2013 17.00,"11,7","7,9","70,4","0,5","4,0","45,1","1,4","254,8","14,3","63,4","0,0"
02/01/2013 18.00,"19,7","15,3","56,7","0,5","4,3","45,1","0,5","238,8","12,3","68,1","0,0"
02/01/2013 19.00,"31,2","24,3","34,2","0,6","5,1","45,1","0,3","187,2","9,8","71,0","0,0"
02/01/2013 20.00,"60,0","45,1","17,7","0,8","6,9","45,1","0,1","176,5","9,1","77,9","0,0"
02/01/2013 21.00,"49,6","36,9","19,1","0,9","5,9","45,1","0,4","144,1","8,1","82,9","0,0"
02/01/2013 22.00,"53,5","34,3","14,9","0,9","6,6","45,1","0,4","171,2","7,6","87,5","0,0"
02/01/2013 23.00,"59,8","36,2","10,5","1,1","7,7","45,1","0,3","95,4","6,8","88,9","0,0"
03/01/2013 0.00,"43,9","29,0","13,5","1,1","7,6","45,1","0,1","155,2","6,8","89,9","0,0"
03/01/2013 1.00,"60,3","38,4","10,0","1,3","9,9","50,6","0,2","179,9","6,6","90,3","0,0"
03/01/2013 2.00,"60,6","34,9","9,0","1,4","9,5","50,6","0,1","135,9","5,9","90,5","0,0"
03/01/2013 3.00,"54,5","31,6","8,6","1,5","9,0","50,6","0,3","194,3","5,6","90,8","0,0"
03/01/2013 4.00,"44,9","26,4","7,8","1,5","7,7","50,6","0,2","173,7","4,9","91,5","0,0"
03/01/2013 5.00,"38,8","23,1","8,2","1,4","7,3","50,6","0,3","173,1","5,1","92,6","0,0"
03/01/2013 6.00,"31,2","18,0","13,4","1,3","6,5","50,6","0,3","186,2","6,0","93,6","0,0"
03/01/2013 7.00,"25,6","12,8","11,5","1,2","4,7","50,6","0,2","40,5","6,5","93,9","0,0"
03/01/2013 8.00,"23,2","11,3","15,3","1,0","4,1","50,6","0,5","187,6","6,8","94,3","0,0"
