Stat,Galatina-VIALE STUDENTI,,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,,,,
01/01/2014 1.00,"2,2","5,3","5,9","0,6","64,7","20,2",,,
01/01/2014 2.00,"2,3","5,0","5,5","0,6","64,7","20,2",,,
01/01/2014 3.00,"2,5","6,4","7,3","0,6","56,2","20,2",,,
01/01/2014 4.00,"2,5","4,8","5,6","0,6","61,5","20,2",,,
01/01/2014 5.00,"2,4","4,9","5,2","0,6","59,6","20,2",,,
01/01/2014 6.00,"2,4","4,5","5,1","0,6","57,5","20,2",,,
01/01/2014 7.00,"2,3","4,1","4,5","0,5","60,3","20,2",,,
01/01/2014 8.00,"2,2","4,3","4,6","0,5","57,5","20,2",,,
01/01/2014 9.00,"2,1","4,9","5,4","0,5","53,1","20,2",,,
01/01/2014 10.00,"2,3","6,9","7,8","0,5","45,1","20,2",,,
01/01/2014 11.00,"2,1","6,8","7,8","0,6","44,3","20,2",,, 
01/01/2014 12.00,"1,9","8,4","9,4","0,6","44,9","20,2",,,
01/01/2014 13.00,"2,1","7,7","8,9","0,6","49,1","20,2",,,
01/01/2014 14.00,"2,1","7,9","9,4","0,6","43,6","20,2",,,
01/01/2014 15.00,"2,4","7,5","8,6","0,6","51,1","20,2",,,
01/01/2014 16.00,"1,2","6,2","7,2","0,6","49,7","20,2",,,
01/01/2014 17.00,"0,5","8,8","9,9","0,7","42,5","20,2",,,
01/01/2014 18.00,"0,1","12,3","13,2","0,7","37,7","20,2",,,
01/01/2014 19.00,,"34,5","42,5","1,1","9,6","20,2",,,
01/01/2014 20.00,,"37,0","48,1","1,1","9,9","20,2",,,
01/01/2014 21.00,,"39,3","67,3","1,3","7,8","20,2",,,
01/01/2014 22.00,,"26,5","57,9","1,3","8,1","20,2",,,
01/01/2014 23.00,,"23,9","56,1","1,3","7,5","20,2",,,
02/01/2014 0.00,,"22,6","45,6","1,2","7,6","20,2",,,
02/01/2014 1.00,,"21,5","47,3","1,4","8,1","31,0",,,
02/01/2014 2.00,,,,"1,4","8,1","31,0",,,
02/01/2014 3.00,,"15,1","46,8",,"7,1","31,0",,,
02/01/2014 4.00,,"13,5","30,1","1,1","6,5","31,0",,,
02/01/2014 5.00,,"13,1","20,5","0,9",,"31,0",,,
02/01/2014 6.00,,"11,8","22,0","0,9","6,4","31,0",,,
02/01/2014 7.00,,"11,7","19,7","0,9","6,5","31,0",,,
02/01/2014 8.00,,"14,7","20,1","0,8","8,2","31,0",,,
