,Comune Bari,,,,
,Rione Japigia,,,,
Parm,SO2,NO2,CO,PM10,BENZENE
,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
01/01/2009 1.00,"5,79025594","31,56813336","1,00556276",,
01/01/2009 2.00,,"33,19046536","2,15621462",,
01/01/2009 3.00,"3,82705948",,"0,72414303",,
01/01/2009 4.00,"3,660901","43,8862316","0,64924285",,
01/01/2009 5.00,"4,70661396","47,0764036","0,65206099",,
01/01/2009 6.00,"2,31899188","37,55781752",,"22,66189957",
01/01/2009 7.00,"4,0925514","23,87174064","0,32197804","22,66217995",
01/01/2009 8.00,"5,55546623","23,11768608","0,37175034","22,66230965",
01/01/2009 9.00,"5,17438616","22,30782024","0,37263457","22,66271973",
01/01/2009 10.00,"4,15937542","19,79382704","0,45839372","22,66341019",
01/01/2009 11.00,"4,17021155","14,99690393","0,37629617","22,66436005",
01/01/2009 12.00,"2,45083474","14,07412493","0,34177489","22,66341019",
01/01/2009 13.00,"3,5724037","14,59197292","0,32218891","22,66353989",
01/01/2009 14.00,"4,52781316","17,41614223","0,3207478","22,66327095",
01/01/2009 15.00,"3,09379536","17,3810991","0,38553112","22,66259003",
01/01/2009 16.00,"4,20994574","14,07412493","0,36683054","22,66407967",
01/01/2009 17.00,"4,28941209","11,34210063","0,31989153","22,66341019",
01/01/2009 18.00,"3,39721426","12,1428883","0,31170274","22,66558075",
01/01/2009 19.00,"3,63200396","15,65752287","0,34524426","22,66463089",
01/01/2009 20.00,"3,91916815","19,35773808","0,36352544","22,66327095",
01/01/2009 21.00,"4,51336464","25,36300504","0,4128329","22,66558075",
01/01/2009 22.00,"4,42667353","36,92574856","0,53061207","22,66625977",
01/01/2009 23.00,"3,12991615","28,31826872","0,40638812","22,66366959",
02/01/2009 0.00,"3,74759212","21,13064008","0,34785269","22,66312981",
02/01/2009 1.00,"3,72411264","16,76072202","0,36346369",,
02/01/2009 2.00,,"14,31812672","0,33531147",,
02/01/2009 3.00,"2,40207061",,"0,30981428",,
02/01/2009 4.00,"3,77829535","27,32408608","0,29406814",,
02/01/2009 5.00,"4,30024924","18,02744114","0,27006098",,
02/01/2009 6.00,"4,39416512","15,97420361",,"17,64903069",
02/01/2009 7.00,"4,29483066","19,67444176","0,32769586","17,65662003",
02/01/2009 8.00,"3,36289966","30,50907656","0,45220757","17,65554047",
02/01/2009 9.00,"4,32011532","33,52661408","0,47655956","17,6534996",
02/01/2009 10.00,"4,81678456","31,83158784","0,57399434","17,65513039",
02/01/2009 11.00,"4,38332797","28,19754504","0,48573394","17,64941978",
02/01/2009 12.00,"3,27440236","23,37207768","0,41400372","17,6510601",
02/01/2009 13.00,"3,86318027","22,44928912","0,33413365","17,65497971",
02/01/2009 14.00,"4,91973038","20,35710224","0,31193807","17,65443993",
02/01/2009 15.00,"5,67827915","24,21569032","0,2791375","17,65228081",
02/01/2009 16.00,"4,78969371","25,61089584","0,28300413","17,6534996",
02/01/2009 17.00,"4,99016678","40,20936","0,40317621","17,65472031",
02/01/2009 18.00,"4,46821289","50,44179128","0,45523424","17,64941978",
02/01/2009 19.00,"4,43028591","46,42357032","0,53637998","17,65485954",
02/01/2009 20.00,"4,72467487","36,9062844","0,37049214","17,65649033",
02/01/2009 21.00,"3,88485356","31,2761136","0,41163528","17,65390968",
02/01/2009 22.00,"4,39416512","36,0886176","0,55940621","17,6511898",
02/01/2009 23.00,"3,90471963","35,83684544","0,59027288","17,64780998",
03/01/2009 0.00,"3,53086433","26,387034","0,52270987","17,65187073",
03/01/2009 1.00,"2,81746629","19,91713192","0,44025001",,
03/01/2009 2.00,,"16,686741","0,42003493",,
03/01/2009 3.00,"4,56393497",,"0,40942178",,
03/01/2009 4.00,"4,99197298","28,71411008","0,36073759",,
03/01/2009 5.00,"5,10936732","23,74325424","0,32395505",,
03/01/2009 6.00,"4,3435948","27,4798376",,"5,75417185",
03/01/2009 7.00,"4,07087811","23,793884","0,42961589","5,75905609",
03/01/2009 8.00,"5,44890803","27,88866144","0,40784903","5,7571559",
03/01/2009 9.00,"3,75300968","29,6537816","0,46355117","5,75566387",
03/01/2009 10.00,"4,26051505","24,47396328","0,46324245","5,75512218",
03/01/2009 11.00,"4,65423846","23,76011808","0,51129054","5,75444317",
03/01/2009 12.00,"4,97210588","21,08262976","0,41107724","5,75675011",
03/01/2009 13.00,"4,97030071","27,26439344","0,43954635","5,75620699",
03/01/2009 14.00,"5,13826436","32,17553752","0,4533248","5,75620699",
03/01/2009 15.00,"4,21175193","35,8991384","0,41514309","5,75661421",
03/01/2009 16.00,"3,76565302","16,4167819","0,45152371","5,75634193",
03/01/2009 17.00,"4,58199587","9,80542432","0,38012669","5,75579977",
03/01/2009 18.00,"4,71383873","10,88784576","0,34670517","5,75552797",
03/01/2009 19.00,"4,08171425","12,33627562","0,36418832","5,75308704",
03/01/2009 20.00,"3,65548243","13,7756101","0,42722298","5,75484991",
03/01/2009 21.00,"4,81859075","18,13127421","0,35455144","5,75186491",
03/01/2009 22.00,"4,09977515","18,2364017","0,37692294","5,75322199",
03/01/2009 23.00,"4,35804332","23,36687704","0,34271621","5,75430822",
04/01/2009 0.00,"4,42486733","8,64901995","0,30152647","5,75634193",
04/01/2009 1.00,"3,91555679","6,03510563","0,27996465",,
04/01/2009 2.00,,"7,12272198","0,26187802",,
04/01/2009 3.00,"3,78732529",,"0,26804087",,
04/01/2009 4.00,"3,50377247","23,08523944","0,30372599",,
04/01/2009 5.00,"4,69939021","13,06048004","0,30573212",,
04/01/2009 6.00,"4,67771693","12,73730998",,"1,530864",
04/01/2009 7.00,"4,83123308","16,95020313","0,32075246","1,536834",
04/01/2009 8.00,"4,13228457","14,2934581","0,33015401","1,53602004",
04/01/2009 9.00,"2,84816952","12,98520842","0,35083393","1,53289902",
04/01/2009 10.00,"4,05642959","14,2480328","0,35863011","1,53249204",
04/01/2009 11.00,"4,50975327","20,05990096","0,45420787","1,53710496",
