,Comune Bari,,
,Piazza Kennedy,,
Parm,NO2,O3,PM10
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
01/01/2009 1.00,"32,19085264","16,55185665",
01/01/2009 2.00,"55,54403976","6,07229721",
01/01/2009 3.00,,"6,47765528",
01/01/2009 4.00,"36,18303216","22,2769281",
01/01/2009 5.00,"12,64451297","46,1704446",
01/01/2009 6.00,"10,42677652",,
01/01/2009 7.00,"11,15683166","49,82450655",
01/01/2009 8.00,"11,98260151","48,91718055",
01/01/2009 9.00,"10,9507888","50,31779025",
01/01/2009 10.00,"12,79214805","48,4514079",
01/01/2009 11.00,"10,95403346","49,80671115",
01/01/2009 12.00,"9,59776582","50,70270555",
01/01/2009 13.00,"12,35573405","46,6157685",
01/01/2009 14.00,"15,58582287","44,30138895",
01/01/2009 15.00,"12,72725094","48,98026245",
01/01/2009 16.00,"10,78855942","49,12581765",
01/01/2009 17.00,"9,73242034","49,36681365",
01/01/2009 18.00,"11,02379278","47,4033945",
01/01/2009 19.00,"12,13672401","47,4583767",
01/01/2009 20.00,"14,33986425","43,52992245",
01/01/2009 21.00,"37,13211072","18,43087334",
01/01/2009 22.00,"36,51724976","13,44955784",
01/01/2009 23.00,"27,84908304","22,3269627",
02/01/2009 0.00,"18,51901442","26,83604175",
02/01/2009 1.00,"15,37653726","25,59395475",
02/01/2009 2.00,"13,22531547","27,5945607",
02/01/2009 3.00,,"29,371986",
02/01/2009 4.00,"11,70031192","30,8437374",
02/01/2009 5.00,"9,13053038","33,4573071",
02/01/2009 6.00,"11,34502026",,
02/01/2009 7.00,"21,48950336","22,1045202",
02/01/2009 8.00,"34,98738208","11,62101864",
02/01/2009 9.00,"36,92806208","10,98996423",
02/01/2009 10.00,"37,56527432","14,54002683",
02/01/2009 11.00,"23,23154568","32,83560525",
02/01/2009 12.00,"20,41388864","39,55871535",
02/01/2009 13.00,"22,24875856","42,7835331",
02/01/2009 14.00,"20,01642208","47,81250915",
02/01/2009 15.00,"17,17084984","50,64576825",
02/01/2009 16.00,"27,62681304","37,3112082",
02/01/2009 17.00,"50,66081088","14,43161654",
02/01/2009 18.00,"49,0173704","17,23897256",
02/01/2009 19.00,"61,7592252","5,76844076",
02/01/2009 20.00,"57,03010352","9,05475239",
02/01/2009 21.00,"57,74718","5,47233288",
02/01/2009 22.00,"55,00542936","4,33320584",
02/01/2009 23.00,"40,77101","7,3201757",
03/01/2009 0.00,"30,8471564","12,46565576",
03/01/2009 1.00,"25,83737224","19,41205623",
03/01/2009 2.00,"21,78314832","22,8682461",
03/01/2009 3.00,,"27,9651918",
03/01/2009 4.00,"16,31912076","25,385976",
03/01/2009 5.00,"21,66471904","17,97197147",
03/01/2009 6.00,"21,92914864",,
03/01/2009 7.00,"21,5819868","21,8196342",
03/01/2009 8.00,"28,55640832","17,57914998",
03/01/2009 9.00,"23,3113908","31,4403222",
03/01/2009 10.00,"22,40776048","32,30082555",
03/01/2009 11.00,"20,5972112","36,0694404",
03/01/2009 12.00,"22,63811824","35,6612235",
03/01/2009 13.00,"26,03692768","32,8706973",
03/01/2009 14.00,"28,69432088","28,7575659",
03/01/2009 15.00,"35,83261992","19,88472161",
03/01/2009 16.00,"23,46551712","35,9583987",
03/01/2009 17.00,"15,83890858","46,4836995",
03/01/2009 18.00,"18,8986382","46,2681597",
03/01/2009 19.00,"22,5537608","43,57233615",
03/01/2009 20.00,"26,3986972","39,60942825",
03/01/2009 21.00,"38,6035668","28,43264025",
03/01/2009 22.00,"40,81643912","25,713954",
03/01/2009 23.00,"29,55739768","36,97403325",
04/01/2009 0.00,"12,63640609","55,58187705",
04/01/2009 1.00,"14,99801289","52,51376655",
04/01/2009 2.00,"6,09350958","61,0012746",
04/01/2009 3.00,,"54,52053705",
04/01/2009 4.00,"7,4027382","50,6343768",
04/01/2009 5.00,"7,93324363","50,542926",
04/01/2009 6.00,"7,48061205",,
04/01/2009 7.00,"10,36350844","43,13064315",
04/01/2009 8.00,"16,73119118","36,23384835",
04/01/2009 9.00,"16,70686098","36,84587445",
04/01/2009 10.00,"18,6358185","34,78025145",
04/01/2009 11.00,"18,57416606","36,50405115",
04/01/2009 12.00,"19,74224128","35,74387635",
04/01/2009 13.00,"17,0653973","37,7834646",
04/01/2009 14.00,"16,25097899","38,68849635",
04/01/2009 15.00,"10,03579546","45,5446131",
04/01/2009 16.00,"14,05270288","42,41769",
04/01/2009 17.00,"15,10722633","42,6716136",
04/01/2009 18.00,"23,6439832","35,80248945",
04/01/2009 19.00,"19,38370304","41,43615",
04/01/2009 20.00,"21,44569944","39,3542478",
04/01/2009 21.00,"21,92429216","39,4486512",
04/01/2009 22.00,"22,27309832","40,20230235",
04/01/2009 23.00,"19,81363536","43,97544585",
05/01/2009 0.00,"19,20363088","43,99172505",
05/01/2009 1.00,"17,18219947","44,0047524",
05/01/2009 2.00,"14,9125484","44,16588855",
05/01/2009 3.00,,"47,9732064",
05/01/2009 4.00,"9,54584929","45,41926725",
05/01/2009 5.00,"11,84470042","40,09161975",
05/01/2009 6.00,"17,91711491",,
05/01/2009 7.00,"35,87479864","16,0898346",
05/01/2009 8.00,"45,28761288","9,22603112",
05/01/2009 9.00,"44,81714616","13,22743853",
05/01/2009 10.00,"39,06269536","20,0301591",
05/01/2009 11.00,"43,5987624","21,20714925",
05/01/2009 12.00,"29,0041796","38,0794428",
05/01/2009 13.00,"16,53326667","54,53741475",
05/01/2009 14.00,"14,75355222","58,05184665",
05/01/2009 15.00,"12,89435401","61,5613509",
05/01/2009 16.00,"18,63906508","55,8679002",
05/01/2009 17.00,"48,17213256","23,6139372",
05/01/2009 18.00,"76,12180592","5,88986843",
05/01/2009 19.00,"85,5167812","4,7822165",
05/01/2009 20.00,"69,21550896","5,42105739",
05/01/2009 21.00,"56,60506592","7,17249981",
05/01/2009 22.00,"52,17282048","9,47859612",
05/01/2009 23.00,"39,99229064","15,49227026",
06/01/2009 0.00,"30,32640408","23,4059385",
06/01/2009 1.00,"29,98733","25,75331535",
06/01/2009 2.00,"23,69587488","30,3390822",
06/01/2009 3.00,,"34,10610105",
06/01/2009 4.00,"14,88983384","37,78891095",
06/01/2009 5.00,"9,7535097","44,94820785",
06/01/2009 6.00,"11,19089585",,
