,Provincia di Taranto,,,
,Martina Franca,,,
Parm,NO2,CO,O3,Benzene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
,,,,,,,
01/01/2005 1.00,"15,97161","0,444861","38,81029","1,378501"
01/01/2005 2.00,"15,649742","0,492433","42,255159","1,430876"
01/01/2005 3.00,"23,48368","0,658196","29,986864","1,350332"
01/01/2005 4.00,"21,837984","0,535396",,"1,50658"
01/01/2005 5.00,"17,427821","0,442967","35,457494","1,246901"
01/01/2005 6.00,"15,649742","0,354078","37,365451","1,054122"
01/01/2005 7.00,"15,213655","0,376465","36,492041","1,181321"
01/01/2005 8.00,"14,479056","0,344942","39,762227","1,130265"
01/01/2005 9.00,"11,561435","0,347328","47,923489","1,159314"
01/01/2005 10.00,"12,140293","0,361733","46,203762","1,306318"
01/01/2005 11.00,"13,48489","0,479018","44,696637","1,282991"
01/01/2005 12.00,"15,717231","0,637126","42,883463","1,600768"
01/01/2005 13.00,"19,366838","0,670295","43,934269","1,675591"
01/01/2005 14.00,"21,516117","0,808569","48,647935","1,760977"
01/01/2005 15.00,"10,78272","0,375971","65,392932","1,425595"
01/01/2005 16.00,"11,037098","0,371279","57,600001","1,157994"
01/01/2005 17.00,"15,003393","0,48379","50,179436","1,285192"
01/01/2005 18.00,"15,501782","0,492186","46,213237","1,463006"
01/01/2005 19.00,"17,578374","0,513092","45,736591","1,251301"
01/01/2005 20.00,"20,64394","0,607578","38,236129","1,257904"
01/01/2005 21.00,"18,798375","0,565027","38,202293","1,347691"
01/01/2005 22.00,"19,320109","0,5605","37,177225","1,284752"
01/01/2005 23.00,"15,493991","0,451117","41,647162","1,285632"
02/01/2005 0.00,"14,871017","0,424696","44,45289","1,360015"
02/01/2005 1.00,"14,271397","0,424119","46,832067","1,336688"
02/01/2005 2.00,,"0,358852","52,363625","1,209049"
02/01/2005 3.00,"30,082662",,"54,274276","1,063804"
02/01/2005 4.00,"15,987182","0,238147",,"0,997344"
02/01/2005 5.00,"12,428422","0,196559","61,835662","0,98194"
02/01/2005 6.00,"12,101358","0,201262","60,493727","1,131585"
02/01/2005 7.00,"12,6828","0,211825","58,755046","1,034756"
02/01/2005 8.00,"13,009866","0,241118","56,098283","1,1153"
02/01/2005 9.00,"13,936548","0,290052","51,85855","1,205528"
02/01/2005 10.00,"15,208457","0,356644","52,886313","1,426915"
02/01/2005 11.00,"15,870378","0,472416","54,30813","1,341969"
02/01/2005 12.00,"18,196159","0,494448","58,703593","1,371019"
02/01/2005 13.00,"20,35582","0,532077","59,101715","1,493815"
02/01/2005 14.00,"21,360365","0,511695","57,536337","1,437038"
02/01/2005 15.00,"13,277232","0,254156","68,164801","1,207289"
02/01/2005 16.00,"17,191611","0,388661","62,377327","1,131585"
02/01/2005 17.00,"24,319511","0,68853","47,250497","1,398307"
02/01/2005 18.00,"33,884828","1,093448","28,4811","1,788706"
02/01/2005 19.00,"39,971852","1,385312","14,452471","2,016255"
02/01/2005 20.00,"32,683001","1,638396","12,223594","2,156658"
02/01/2005 21.00,"36,392318","1,915821","9,19986","2,383327"
02/01/2005 22.00,"33,661601","1,826949","9,639948","2,276815"
02/01/2005 23.00,"35,200874","1,925393","8,399579","2,433062"
03/01/2005 0.00,"30,78033","1,224155","10,032642","2,119247"
03/01/2005 1.00,"29,292947","0,769151","19,106561","1,779023"
03/01/2005 2.00,"29,788749","0,596771","13,986649","1,426915"
03/01/2005 3.00,"22,533627","0,476377","15,186397","1,390384"
03/01/2005 4.00,"16,957993","0,407145",,"1,34417"
03/01/2005 5.00,"19,748397","0,353508","16,392921","1,174278"
03/01/2005 6.00,"59,598282","0,557575","6,939841","1,033875"
03/01/2005 7.00,"60,644355","0,762714","7,068482","1,100776"
03/01/2005 8.00,"58,767631","1,793448","10,36981","1,679552"
03/01/2005 9.00,"70,796308","3,436463","12,683989","2,286498"
03/01/2005 10.00,"48,475508","1,869693","13,868839","3,01536"
03/01/2005 11.00,"33,817332","0,892928","29,412725","1,746013"
03/01/2005 12.00,"35,281353","0,949123","30,968605","1,783865"
03/01/2005 13.00,"34,44552","1,014889","37,791983","1,852525"
03/01/2005 14.00,"33,160618","1,01588","37,31805","2,00041"
03/01/2005 15.00,"31,722585","0,745717","31,443893","1,554114"
03/01/2005 16.00,"38,035432","1,16565","18,801886","1,727527"
03/01/2005 17.00,"34,310532","1,020088","27,523738","1,882455"
03/01/2005 18.00,"25,985972","0,809419","42,257872","1,698038"
03/01/2005 19.00,"29,583687","0,936662","39,190798","1,503059"
03/01/2005 20.00,"29,282566","0,866769","45,21119","1,689675"
03/01/2005 21.00,"27,333168","0,790276","48,699388","1,650944"
03/01/2005 22.00,"23,000881","0,560298","55,583711","1,596807"
03/01/2005 23.00,"14,61144","0,353013","66,25684","1,171638"
04/01/2005 0.00,"11,639311","0,302264","68,221681","0,959933"
04/01/2005 1.00,"10,795699","0,270577","69,101852","1,093293"
04/01/2005 2.00,,"0,221231","70,357129","0,7874"
04/01/2005 3.00,"26,620335",,"69,999619","0,989862"
04/01/2005 4.00,"14,946289","0,247947",,"0,861783"
04/01/2005 5.00,"12,342755","0,221834","66,958284","0,997785"
04/01/2005 6.00,"12,007908","0,233938","64,753787","1,025073"
04/01/2005 7.00,"14,066334","0,335819","59,919585","1,072167"
04/01/2005 8.00,"20,418114","0,584015","50,115798","1,288713"
04/01/2005 9.00,"29,534376","1,040946","37,368145","1,622775"
04/01/2005 10.00,"29,856242","0,607209","39,471094","1,654905"
04/01/2005 11.00,,,"58,304135","1,53915"
04/01/2005 12.00,,,"41,395291","2,696298"
04/01/2005 13.00,"32,579179",0,"47,809738","2,836226"
04/01/2005 14.00,"34,403972",0,"47,475276","2,853831"
04/01/2005 15.00,"25,277347",0,"54,538331","2,633763"
04/01/2005 16.00,"28,337731",0,"52,130726","2,597672"
04/01/2005 17.00,"39,564327",0,"40,795415","2,818621"
04/01/2005 18.00,"57,005131","0,295812","15,472119","3,669839"
04/01/2005 19.00,"59,284197","0,696407","13,607498","4,869646"
04/01/2005 20.00,"53,469728","0,268771","14,260183","4,464722"
04/01/2005 21.00,"43,618874",0,"21,816142","3,592376"
04/01/2005 22.00,"33,181383",0,"34,278069","3,300127"
04/01/2005 23.00,"24,2624",0,"44,51246","2,856471"
05/01/2005 0.00,"20,405131",0,"52,198439","2,581828"
05/01/2005 1.00,"17,069609",0,"55,973695","2,164581"
05/01/2005 2.00,"17,889866",0,"54,226894","2,212115"
05/01/2005 3.00,"13,137053",0,"62,28388","1,826557"
05/01/2005 4.00,"11,717187",0,,"1,954196"
05/01/2005 5.00,"11,8885",0,"62,352947","1,719164"
05/01/2005 6.00,"15,605606",0,"52,871431","1,898739"
05/01/2005 7.00,"20,477826",0,"46,647908","2,020216"
05/01/2005 8.00,"26,292293",0,"42,091308","2,484999"
05/01/2005 9.00,"35,063308",0,"31,751283","3,238508"
05/01/2005 10.00,"35,016577","0,004775","34,190052","3,266677"
05/01/2005 11.00,"34,853045",0,"39,66475","3,160165"
05/01/2005 12.00,"29,677126",0,"44,084573","2,926893"
05/01/2005 13.00,"30,022376",0,"47,111027","2,914569"
05/01/2005 14.00,"32,028887",0,"48,888973","3,197136"
05/01/2005 15.00,"26,481772",0,"59,21138","3,151362"
05/01/2005 16.00,"36,236587",0,"48,620842","3,128475"
05/01/2005 17.00,"51,245175","0,356328","27,228538","3,477942"
05/01/2005 18.00,"88,603128","5,017218","19,663106","6,077374"
05/01/2005 19.00,"59,842271","2,873151","17,710467","7,000776"
05/01/2005 20.00,"57,415255","2,412157","13,103769","6,614339"
05/01/2005 21.00,"62,292655","2,559383","13,801138","6,137233"
05/01/2005 22.00,"45,638368","1,2433","11,10916","5,86787"
05/01/2005 23.00,"39,286572","0,52325","9,138923","5,194465"
06/01/2005 0.00,"38,55458","0,248842","8,660921","4,643416"
06/01/2005 1.00,"37,648655","0,279166","7,703563","4,398702"
06/01/2005 2.00,,"0,009019","34,62472","3,674241"
06/01/2005 3.00,"34,244684",,"49,738003","2,29398"
06/01/2005 4.00,"17,788625","0,293822",,"2,075674"
06/01/2005 5.00,"13,630244","0,25069","60,296022","1,96828"
06/01/2005 6.00,"12,477734","0,269142","62,604796","1,800149"
06/01/2005 7.00,"13,163012","0,263225","61,164029","1,743812"
06/01/2005 8.00,"13,549775","0,280665","61,772025","1,996449"
06/01/2005 9.00,"16,950202","0,36646","53,046092","1,883775"
06/01/2005 10.00,"20,828237","0,524581","50,008824","2,464752"
06/01/2005 11.00,"16,187058","0,41979","60,239165","2,354719"
06/01/2005 12.00,"18,746456","0,607886","57,570195","2,669855"
06/01/2005 13.00,"21,108574","0,648447","56,922937","2,526371"
06/01/2005 14.00,"17,072204","0,444158","65,352293","2,767565"
06/01/2005 15.00,"11,649697","0,295378","73,942823","2,243805"
06/01/2005 16.00,"15,2448","0,410058","72,340896","2,296621"
06/01/2005 17.00,"21,0411","0,548716","61,112556","2,704186"
06/01/2005 18.00,"25,988572","0,679044","51,260029","3,044849"
06/01/2005 19.00,"35,675891","1,004941","35,49542","3,028123"
06/01/2005 20.00,"42,149674","1,271047","27,340936","3,794838"
06/01/2005 21.00,"33,845898","0,940867","33,160909","3,447131"
06/01/2005 22.00,"24,875005","0,616449","45,036506","2,91545"
06/01/2005 23.00,"22,681596","0,50107","44,944437","2,584468"
07/01/2005 0.00,"17,596553","0,401571","54,62771","2,740276"
