,Provincia di TARANTO,,,,,,,
,MARTINA FRANCA,,,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene,Toluene,Xylene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
01/01/2006 1.00,"26,619093","2,338031","23,353894","0,555009","24,517593","3,046609","5,81653","2,936139"
01/01/2006 2.00,"35,11688","6,227419","25,58623","0,640802","20,941376","2,952421","7,491001","5,502645"
01/01/2006 3.00,"20,295057","2,400627","16,62574","0,417836","37,44262","2,867475","6,796505","6,161168"
01/01/2006 4.00,"7,364223","0,849271","6,159701","0,241199","50,221411","2,488079","4,763886","3,473245"
01/01/2006 5.00,"9,480885","0,365422","9,077317","0,32786","44,964726","2,381127","4,687066","2,776443"
01/01/2006 6.00,"15,999481","0,426327","15,592627","0,459666","41,509046","2,542216","5,254912","2,832666"
01/01/2006 7.00,"5,558834","0,729155","5,116212","0,169296","54,053569","2,245565","3,916788","2,021026"
01/01/2006 8.00,"3,527772","0,213163","3,968893","0,164955","50,849738","2,119247","3,777682","1,29372"
01/01/2006 9.00,"11,262928","3,273581","6,660679","0,162193","46,178024","2,194949","3,907445","1,950448"
01/01/2006 10.00,"3,245031","0,120116","3,756042","0,168192","50,387974","2,334473","4,264556","2,172947"
01/01/2006 11.00,"3,717129","0,434785","3,514636","0,17119","54,39886","2,018016","3,825435","1,439061"
01/01/2006 12.00,"5,470639","0,649641","4,581489","0,204261","53,464522","2,136852","3,941703","3,73163"
01/01/2006 13.00,"15,449561","2,368482","11,826209","0,345144","46,722383","2,666773","4,820983","2,470208"
01/01/2006 14.00,"12,155247","2,29912","8,636041","0,311759","57,831538","2,658412","5,019261","3,23101"
01/01/2006 15.00,"8,741608","0,864496","7,486126","0,209707","58,470679","2,313786","5,521707","3,775293"
01/01/2006 16.00,"4,254078","0,079514","4,892978","0,195184","63,727364","2,1637","3,135091","1,178882"
01/01/2006 17.00,"6,907687","0,681785","6,029915","0,24112","63,648817","2,137732","3,986342","2,003082"
01/01/2006 18.00,"4,575726","0,211471","4,493234","0,182793","64,569632","2,014055","4,391204","1,87389"
01/01/2006 19.00,"6,728704","0,747764","5,635362","0,242304","62,650842","2,478396","6,093705","3,277064"
01/01/2006 20.00,"15,026748","2,625632","11,008544","0,31018","56,195779","2,319948","5,648356","3,769312"
01/01/2006 21.00,"6,656073","0,708853","5,695062","0,206156","63,449758","2,495561","5,875702","4,725097"
01/01/2006 22.00,"6,66645","0,883105","5,321275","0,187528","61,161316","2,334473","6,34908","2,574281"
01/01/2006 23.00,"13,460004","2,214531","10,071489","0,272452","53,822009","2,395651","5,833139","3,875776"
