,Provincia di TARANTO,,,,,
,MARTINA FRANCA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene
,,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,
01/01/2008 1.00,"9,032131","0,297752","8,708722","0,384034","45,556482","0,317337"
01/01/2008 2.00,"23,444103","4,423988","16,672459","0,551588","33,91516","0,672085"
01/01/2008 3.00,"22,243098","4,841855","14,829485","0,418651","36,796717","0,69057"
01/01/2008 4.00,"13,314741","1,788204","10,580251","0,355422","42,275467","0,567773"
01/01/2008 5.00,"8,266916","0,822202","7,011105","0,285951","47,016225","0,299731"
01/01/2008 6.00,"4,853279","0,218239","4,594467","0,269036","50,926903","0,069101"
01/01/2008 7.00,"2,433125",0,"2,873489","0,234182","52,78341","0,082305"
01/01/2008 8.00,"2,391621",0,"2,499703","0,240109","54,235014","0,212145"
01/01/2008 9.00,"4,181446","0,289293","3,740466","0,266902","50,003398","0,236352"
01/01/2008 10.00,"8,220225","1,493836","5,933871","0,328076","47,410276","0,176054"
01/01/2008 11.00,"8,025679","1,71715","5,396553","0,357715","52,868718","0,202902"
01/01/2008 12.00,"9,620958","2,475064","5,830042","0,370202","55,845057","0,361791"
01/01/2008 13.00,"18,105767","4,794485","10,761948","0,44908","49,13272","0,375875"
01/01/2008 14.00,"38,341162","11,813651","20,241597","0,516971","42,611284","0,716979"
01/01/2008 15.00,"5,327972","0,666559","4,308937","0,292985","62,208051","0,475785"
01/01/2008 16.00,"4,967412","0,336664","4,454298","0,333451","62,262213","0,083626"
01/01/2008 17.00,"8,487402","1,270521","6,543872","0,376921","59,987298","0,397442"
01/01/2008 18.00,"12,603999","2,54612","8,706125","0,405136","56,220136","0,369273"
01/01/2008 19.00,"17,016306","3,361554","11,870332","0,435248","51,086704","0,49339"
01/01/2008 20.00,"19,381982","4,180373","12,981312","0,432245","48,471897","0,567773"
01/01/2008 21.00,"24,235249","6,513328","14,258417","0,455954","44,880795","0,259239"
01/01/2008 22.00,"27,389495","7,371057","16,098797","0,413198","42,811701","0,636435"
01/01/2008 23.00,"12,191562","2,718679","8,028637","0,323334","51,973641","0,239433"
02/01/2008 0.00,"11,032065","2,018286","7,942977","0,339299","50,779316","0,288288"
02/01/2008 1.00,"6,860996","1,081043","5,207062","0,260817","52,603304","0,278165"
02/01/2008 2.00,"0,270064","50,647961","0,158889",,,
02/01/2008 3.00,"8,656008","0,138726","8,812553","52,695393","0,165931",
02/01/2008 4.00,"3,3436","0,021993","3,971489","0,182934","0,153166",
02/01/2008 5.00,"2,682144","0,016917","3,335532","0,195717","54,393457","0,111354"
02/01/2008 6.00,"5,481016","0,54306","4,937107","0,247326","51,384595","0,123238"
02/01/2008 7.00,"13,156512","3,200836","8,254467","0,280992","48,410968","0,046654"
02/01/2008 8.00,"17,348332","4,523802","10,41931","0,354911","46,566672","0,668564"
02/01/2008 9.00,"31,360813","8,636504","18,131274","0,559046","37,431787","0,42517"
02/01/2008 10.00,"36,761449","11,135248","19,701687","0,561268","37,22732","0,407565"
02/01/2008 11.00,"31,713617","10,030525","16,345394","0,497511","44,065601","0,048855"
02/01/2008 12.00,"27,667059","8,534998","14,59067","0,499676","42,914604","0,469623"
02/01/2008 13.00,"59,007149","21,659765","25,814676","0,675602","33,040392","1,14831"
02/01/2008 14.00,"60,348224","20,918774","28,293603","0,70482","32,563746","1,513621"
02/01/2008 15.00,"29,980847","8,917338","16,319435","0,431134","47,125909","0,19762"
02/01/2008 16.00,"32,44771","8,731243","19,073522","0,508388","45,667524","0,335823"
02/01/2008 17.00,"43,910359","11,86102","25,741981","0,651227","38,999874","0,519358"
02/01/2008 18.00,"56,511777","15,978783","32,034066","0,886802","27,9855","1,018031"
02/01/2008 19.00,"67,785082","21,600546","34,689509","0,885373","22,64351","1,451563"
02/01/2008 20.00,"55,961829","17,829593","28,644016","0,686241","26,848031","0,887311"
02/01/2008 21.00,"58,950076","18,330351","30,865987","0,730704","21,760623","0,534323"
02/01/2008 22.00,"29,801865","6,630061","19,649776","0,477424","33,175813","0,766274"
02/01/2008 23.00,"17,825619","2,725447","13,656203","0,400248","37,592943","0,36267"
03/01/2008 0.00,"15,524787","1,872793","12,662038","0,376031","35,502182","0,581857"
03/01/2008 1.00,"14,437921","1,39233","12,311609","0,377303","35,923307","0,540925"
03/01/2008 2.00,"9,942608","0,922017","8,571148","0,311559","40,943025","0,600784"
03/01/2008 3.00,"6,259199","0,04737","6,577616","0,320929","39,407456","0,274204"
03/01/2008 4.00,"8,917998","0,348505","8,493274","0,300602","32,288876","0,342864"
03/01/2008 5.00,"22,499899","6,782321","12,36612","0,290598","34,695126","0,345505"
