,Provincia di TARANTO,,,
,MARTINA FRANCA,,,
Parm,NOX,NO2,CO,O3
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
,,,,,,
,,,,,,
,,,,,
,,,,,,
01/01/2009 1.00,"62,563448","34,406572","1,17664","4,533578"
01/01/2009 2.00,"47,150206","35,639546","0,778651","18,715218"
01/01/2009 3.00,"33,153237","25,856204","0,575868","33,322046"
01/01/2009 4.00,"28,227352","22,310401","0,490274","35,34781"
01/01/2009 5.00,"20,113474","17,214974","0,44796","39,094657"
01/01/2009 6.00,"22,427281","18,131274","0,392186","38,302502"
01/01/2009 7.00,"29,420554","19,587484","0,400246","38,107492"
01/01/2009 8.00,"12,256409","11,13314","0,389688","46,12522"
01/01/2009 9.00,"8,404397","7,083786","0,346729","52,053538"
01/01/2009 10.00,"9,633927","7,40566","0,343184","48,948542"
01/01/2009 11.00,"9,268181","7,226551","0,375583","49,507802"
01/01/2009 12.00,"10,964623","8,114296","0,349873","50,312145"
01/01/2009 13.00,"14,079956","10,227227","0,355031","49,403541"
01/01/2009 14.00,"11,890663","9,479658","0,352613","49,905902"
01/01/2009 15.00,"7,408319","6,55685","0,363332","52,068424"
01/01/2009 16.00,"8,085339","6,645106","0,382192","50,857858"
01/01/2009 17.00,"11,488602","9,282381","0,41419","47,166529"
01/01/2009 18.00,"14,616905","11,330422","0,446751","44,688498"
01/01/2009 19.00,"20,839787","17,121525","0,523238","37,320763"
01/01/2009 20.00,"16,614245","13,606891","0,461178","41,859768"
01/01/2009 21.00,"17,047434","14,292167","0,436837","39,334317"
01/01/2009 22.00,"21,314479","18,759435","0,444575","32,704575"
01/01/2009 23.00,"20,074566","17,046243","0,434741","32,030224"
02/01/2009 0.00,"28,411516","22,393478","0,509939","24,269793"
02/01/2009 1.00,"17,161568","13,175991","0,417817","35,235429"
02/01/2009 2.00,,,"0,401456","38,673513"
02/01/2009 3.00,"15,465126","13,988458",,"42,420363"
02/01/2009 4.00,"8,648226","8,036425","0,297882",
02/01/2009 5.00,"8,796081","7,922211","0,288196","43,51448"
02/01/2009 6.00,"11,146201","8,981276","0,32186","42,451505"
02/01/2009 7.00,"34,26604","20,104029","0,407523","34,646386"
02/01/2009 8.00,"74,516373","37,116528","0,747723","20,82357"
02/01/2009 9.00,"83,517383","42,954359","0,883565","18,042228"
02/01/2009 10.00,"89,4186","43,346319","0,887216","18,631268"
02/01/2009 11.00,"106,162538","46,912869","0,966689","18,846572"
02/01/2009 12.00,"100,287265","45,757773","0,857682","21,591366"
02/01/2009 13.00,"114,413887","50,811684","1,027266","18,864175"
02/01/2009 14.00,"94,181102","46,154915","0,762967","23,74439"
02/01/2009 15.00,"88,207233","47,294447","0,708503","22,483729"
02/01/2009 16.00,"96,204382","54,20692","0,873402","15,35973"
02/01/2009 17.00,"83,156819","48,093931","0,92469","18,536484"
02/01/2009 18.00,"87,063282","45,809682","0,927072","13,635936"
02/01/2009 19.00,"69,870599","40,114619","0,912384","11,413834"
02/01/2009 20.00,"67,520481","37,918609","0,790437","11,638621"
02/01/2009 21.00,"52,950278","31,64731","0,685559","17,18643"
02/01/2009 22.00,"36,517613","23,901606","0,441267","28,527123"
02/01/2009 23.00,"19,511673","14,577689","0,281687","41,067595"
03/01/2009 0.00,"15,493659","12,358337","0,237147","42,293081"
03/01/2009 1.00,"11,055411","9,121446","0,200785","46,137408"
03/01/2009 2.00,"9,467914","7,989701","0,201579","44,897036"
03/01/2009 3.00,"8,243571","7,392679","0,206025","43,804274"
03/01/2009 4.00,"7,6314","6,870934","0,212297","42,182042"
03/01/2009 5.00,"10,588501","8,026042","0,214758","40,569282"
03/01/2009 6.00,"42,504447","22,813984","0,226428","28,520361"
03/01/2009 7.00,"61,121188","40,000396","0,47088","12,751701"
03/01/2009 8.00,"171,971056","48,138058","1,142862","7,727936"
03/01/2009 9.00,"117,448825","43,655203","1,293471","3,769856"
03/01/2009 10.00,"110,862788","39,888795","1,165886","7,490966"
03/01/2009 11.00,"74,900284","32,23135","0,788372","13,440942"
03/01/2009 12.00,"66,846062","35,566868","0,678889","18,803239"
03/01/2009 13.00,"121,881893","48,787011","0,934058","13,025231"
03/01/2009 14.00,"83,610765","39,374829","0,675397","17,91359"
03/01/2009 15.00,"74,697957","36,732369","0,630936","18,87095"
03/01/2009 16.00,"76,959872","41,500761","0,757648","15,139005"
03/01/2009 17.00,"90,093019","43,772027","0,888805","17,083514"
03/01/2009 18.00,"84,243675","40,537726","0,939378","21,748433"
03/01/2009 19.00,"80,443555","39,577292","0,806951","25,744419"
03/01/2009 20.00,"67,935522","34,951685","0,763364","31,00246"
03/01/2009 21.00,"73,668137","37,832952","0,712711","30,066765"
03/01/2009 22.00,"55,435263","30,23262","0,48644","36,135912"
03/01/2009 23.00,"37,874253","23,413606","0,406015","41,407483"
04/01/2009 0.00,"32,836803","19,654958","0,386406","43,040547"
04/01/2009 1.00,"29,446501","18,79578","0,374735","43,486052"
04/01/2009 2.00,,,"0,404983","45,429203"
04/01/2009 3.00,"20,365094","16,35059",,"50,233602"
04/01/2009 4.00,"10,705228","8,259658","0,217667",
04/01/2009 5.00,"6,842838","5,689871","0,22818","54,290535"
04/01/2009 6.00,"6,614569","5,295318","0,220854","52,907979"
04/01/2009 7.00,"6,635322","5,300509","0,253826","52,396121"
04/01/2009 8.00,"8,300638","6,634722","0,244747","50,002043"
04/01/2009 9.00,"12,575466","9,178552","0,310932","46,47187"
04/01/2009 10.00,"16,424886","10,954033","0,377992","44,150928"
04/01/2009 11.00,"21,778789","14,237658","0,396947","41,024261"
04/01/2009 12.00,"31,194834","17,487529","0,450627","39,259843"
04/01/2009 13.00,"35,290663","20,293508","0,414151","39,272053"
04/01/2009 14.00,"20,157565","12,711351","0,326462","46,806351"
04/01/2009 15.00,"10,466584","7,815788","0,235348","49,34802"
04/01/2009 16.00,"16,445638","11,579613","0,269914","43,989771"
04/01/2009 17.00,"21,703571","14,798338","0,330842","38,710081"
04/01/2009 18.00,"33,176602","20,921677","0,399337","32,556984"
04/01/2009 19.00,"29,049627","19,218887","0,394638","35,884045"
04/01/2009 20.00,"22,12119","15,309697","0,326222","38,187392"
04/01/2009 21.00,"30,948377","20,433677","0,37624","32,421562"
04/01/2009 22.00,"30,694195","19,979423","0,358877","33,40466"
04/01/2009 23.00,"19,758111","13,689954","0,293091","41,545595"
05/01/2009 0.00,"23,415575","16,290884","0,260277","38,655918"
05/01/2009 1.00,"22,769682","15,784712","0,226987","37,84481"
