,Provincia di TARANTO,,
,MARTINA FRANCA,,
Parm,NO2,CO,O3
,,,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
01/01/2010 1.00,"5,985787","0,173404",
01/01/2010 2.00,"6,297275","0,215404",
01/01/2010 3.00,"8,661998","0,281427",
01/01/2010 4.00,"14,585483","0,327298",
01/01/2010 5.00,"7,865106","0,223062",
01/01/2010 6.00,"11,641904","0,269175",
01/01/2010 7.00,"11,052669","0,348741",
01/01/2010 8.00,"4,835872","0,244103",
01/01/2010 9.00,"8,308976","0,279735",
01/01/2010 10.00,"1,598979","0,253938",
01/01/2010 11.00,"2,224553","0,257566",
01/01/2010 12.00,"3,057787","0,281751",
01/01/2010 13.00,"3,815744","0,308353",
01/01/2010 14.00,"3,013658","0,298035",
01/01/2010 15.00,"1,528894","0,264498",
01/01/2010 16.00,"1,207021","0,304322",
01/01/2010 17.00,"2,523064","0,351159",
01/01/2010 18.00,"4,428339","0,4063",
01/01/2010 19.00,"6,408892","0,397997",
01/01/2010 20.00,"8,467319","0,407751",
01/01/2010 21.00,"8,783999","0,419925",
01/01/2010 22.00,"6,307659","0,371958",
01/01/2010 23.00,"4,599658","0,365912",
02/01/2010 0.00,"5,367999","0,352208",
02/01/2010 1.00,"4,417957","0,301663",
02/01/2010 2.00,,"0,273286",
02/01/2010 3.00,"11,792457",,
02/01/2010 4.00,"7,449787","0,218841",
02/01/2010 5.00,"44,748026","0,262077",
02/01/2010 6.00,"26,113178","0,191899",
02/01/2010 7.00,"24,646577","0,229327",
02/01/2010 8.00,"20,571245","0,219002",
02/01/2010 9.00,"29,526575","0,358147",
02/01/2010 10.00,"27,909425","0,443087",
02/01/2010 11.00,"31,590197","0,476885",
02/01/2010 12.00,"30,017175","0,377668",
02/01/2010 13.00,"32,002922","0,347661",
02/01/2010 14.00,"25,412315","0,289342",
02/01/2010 15.00,"27,063212","0,227553",
02/01/2010 16.00,"27,826368","0,319993",
02/01/2010 17.00,"36,353392","0,420985",
02/01/2010 18.00,"27,6862","0,430019",
02/01/2010 19.00,"34,04836","0,555452",
02/01/2010 20.00,"19,244835","0,453008",
02/01/2010 21.00,"18,531017","0,424856",
02/01/2010 22.00,"18,336328","0,449379",
02/01/2010 23.00,"8,70353","0,305877",
