MARTINA FRANCA,,,,
,NO2,CO,O3,PM10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,
01/01/2011 1.00,"29,386407","1,81134","4,275056",
01/01/2011 2.00,"44,849248","1,915375","2,853199",
01/01/2011 3.00,"32,545431","1,770606","4,331985",
01/01/2011 4.00,"34,632418","1,482167","1,965386",
01/01/2011 5.00,"38,860882","1,429771","2,9901",
01/01/2011 6.00,"38,040615","1,191616","1,038268",
01/01/2011 7.00,"22,629686","0,9227","0,642478",
01/01/2011 8.00,"27,774457","0,712688","0,435096",
01/01/2011 9.00,"33,51363","0,771846","2,320512",
01/01/2011 10.00,"34,24304","0,679221","19,397685",
01/01/2011 11.00,"29,261821","0,489492","41,953554",
01/01/2011 12.00,"26,445426","0,366865","51,993291",
01/01/2011 13.00,"31,460409","0,416727","53,17116",
01/01/2011 14.00,"38,474105","0,405149","51,631379",
01/01/2011 15.00,"16,394717","0,175277","66,413811",
01/01/2011 16.00,"22,396058","0,276353","58,381459",
01/01/2011 17.00,"32,83355","0,701616","45,26216",
01/01/2011 18.00,"55,972022","0,707702","23,760828",
01/01/2011 19.00,"59,927928","0,985238","8,421343",
01/01/2011 20.00,"44,343083","1,203025","2,662082",
01/01/2011 21.00,"39,08151","1,364949","3,540407",
01/01/2011 22.00,"35,844627","1,507774","2,556359",
01/01/2011 23.00,"35,252787","1,52924","2,130752",
02/01/2011 0.00,"32,311806","1,439742","2,083311",
02/01/2011 1.00,"27,156671","1,525268","4,590872",
02/01/2011 2.00,,"1,692348","4,826719",
02/01/2011 3.00,"42,040652","1,375937","2,40455",
02/01/2011 4.00,"30,697254","1,018874",,
02/01/2011 5.00,"23,068355","0,48214","26,214181",
02/01/2011 6.00,"14,424544","0,252691","43,100258",
02/01/2011 7.00,"19,122829","0,311257","39,642524",
02/01/2011 8.00,"20,231215","0,294524","35,997739",
02/01/2011 9.00,"26,917861","0,428728","31,926005",
02/01/2011 10.00,"28,32735","0,478168","34,093352",
02/01/2011 11.00,"30,554486","0,497183","40,721462",
02/01/2011 12.00,"31,000957","0,405488","48,601972",
02/01/2011 13.00,"29,329295","0,34709","59,34383",
02/01/2011 14.00,"26,149506","0,270944","63,111944",
02/01/2011 15.00,"10,325861","0,158883","73,970372",
02/01/2011 16.00,"15,255186","0,181024","66,957347",
02/01/2011 17.00,"18,115691","0,273903","55,407635",
02/01/2011 18.00,"22,961935","0,283114","50,06584",
02/01/2011 19.00,"24,602448","0,299003","46,627102",
02/01/2011 20.00,"31,670654","0,354612","40,050502",
02/01/2011 21.00,"33,048995","0,334075","40,619796",
02/01/2011 22.00,"32,44159","0,30213","43,620736",
02/01/2011 23.00,"24,324711","0,330018","47,235695",
03/01/2011 0.00,"20,5427","0,26579","49,438274",
03/01/2011 1.00,"16,69323","0,189307","52,517836",
03/01/2011 2.00,"7,968934","0,143079","62,732436",
03/01/2011 3.00,"4,207702",,"69,967762",
03/01/2011 4.00,"3,070765","0,287766","65,010924",
03/01/2011 5.00,"14,608848","0,324245","43,529922",
03/01/2011 6.00,"7,771658","0,348254","45,571227",
